Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
20.978,61.4177,0.222967,"1;1.27099;1.93833;2.46928;3.26149;3.81569;4.65906;5.52545;6.50497;7.22667;7.6164;8.27316;9.0985;9.84509;10.3834;10.9411;11.6598;12.191;13.1432;13.5778;14.1653;14.456;15.4023;16.0095;16.7634;17.1838;18.0588;18.6893;19.2253;19.7395;20.1796;20.875;21","15;14.6322;14.1596;13.8821;13.576;13.4774;13.3643;13.1717;13.1151;13.0609;13.023;12.9955;12.9813;12.9643;12.9789;13.0011;13.0422;13.0666;13.1136;13.1193;13.1381;13.1771;13.1606;13.2293;13.3562;13.4223;13.5415;13.6801;13.8561;14.0147;14.1998;14.8011;15",0.222967,"0;0;1"
35.7967,5.09392,0.371585,"1;1.25476;1.91714;1.92496;2.12207;2.28949;2.50437;2.6566;2.76041;2.8269;2.97604;3.07277;3.77931;4.21076;4.66188;5.2838;6.0455;6.85631;7.50619;8.00773;8.75559;9.33619;9.80109;10.5389;11.3269;12.2347;13.0904;13.9526;14.819;15.7099;16.3736;16.695;17.4816;17.9472;18.4685;18.743;19.0514;19.2892;19.6085;19.4574;20.0469;20.2568;20.764;21.2053;20.8465;21.1811;21.3533;21","15;14.8777;14.4608;14.003;13.0568;12.2796;11.6303;10.6546;9.68263;9.04398;8.29815;7.34533;6.83853;6.13673;5.42082;5.15317;4.81554;4.49228;4.24043;4.09641;3.7762;3.82242;3.87942;3.78604;3.68916;3.54194;3.75926;4.20027;4.1012;4.47546;5.20426;6.07318;6.14371;6.44867;6.9372;7.52425;8.21579;8.89378;9.81353;10.752;11.3729;11.5482;12.3358;13.1971;13.9835;14.5642;14.9241;15",0.607702,"0;0.05;0.95"
35.9689,4.8287,0.372485,"1;1.65099;2.25969;2.63956;2.92397;2.84982;2.90384;2.79445;2.83662;2.92047;2.9257;3.35653;3.57937;4.05598;4.47392;5.18475;5.78809;6.34977;7.11305;7.88298;8.20313;9.13126;9.88398;10.1822;11.1514;12.0917;12.9525;13.8616;14.807;15.3871;16.2168;16.8776;17.0494;17.7564;18.6067;18.9838;19.7967;20.2623;20.4171;21.0546;21.1524;21.0728;21.0791;20.9968;21.0298;20.7019;20.6151;20.98;21","15;14.8486;14.0962;13.5086;13.1067;12.2055;11.5667;10.596;10.3808;9.52305;8.8032;7.92967;7.27163;6.6953;6.25242;6.01796;5.49518;5.04624;4.40275;3.77735;3.61773;3.4341;3.60628;3.61373;3.65765;3.71416;3.91025;3.87788;4.17735;4.36735;4.5402;4.97205;5.21481;5.82365;6.33962;6.45874;6.94392;7.70181;8.22649;8.82004;9.38909;9.96403;10.8403;11.5968;12.4673;13.2823;13.8823;14.75;15",0.818106,"0;0.1;0.9"
37.3752,4.82705,0.385019,"1;1.89206;2.29726;2.65367;2.70542;2.77022;2.51001;2.91947;3.08742;3.40001;3.52704;3.88204;4.13994;4.38442;4.92888;5.2084;5.85708;6.06965;6.82434;7.52566;8.43374;9.26588;9.99415;10.6294;11.1802;11.9713;12.842;13.5601;14.4595;15.0911;15.8474;16.0977;16.3585;17.1288;17.5042;17.9421;18.7544;19.4978;19.7078;20.1575;20.9039;20.9954;20.9426;20.6639;20.7675;20.678;20.4372;20.7875;21.1709;21.2683;21.2387;21","15;14.5481;13.7523;13.1698;12.4638;12.0234;11.3712;10.6238;10.0433;9.30376;8.34362;7.64282;6.93215;6.19082;5.459;5.40295;4.83354;4.5969;3.97329;3.70778;3.79054;3.64423;3.74471;3.74206;3.73516;3.58298;3.61236;3.59404;3.61821;3.65436;3.19089;3.60038;3.78985;4.30657;4.67242;5.02508;5.24173;5.73418;6.05172;6.92527;7.39263;8.12029;8.89068;9.59395;10.386;10.8686;11.3739;12.2224;12.6371;13.4749;14.2728;15",1.05132,"0;0.15;0.85"
35.942,4.73758,0.368961,"1;1.55661;1.75062;2.11295;2.2013;2.54596;2.66315;2.56172;3.13035;3.37923;3.60222;3.5952;3.85277;4.32298;4.52535;4.77027;5.46359;6.40067;7.14799;8.09081;8.57097;9.2999;9.8217;10.5017;11.2515;12.1815;12.9736;13.5572;14.094;14.8393;15.6512;16.3703;17.1204;17.5562;18.3683;18.7138;19.3041;19.8359;20.299;20.7051;20.8448;21.149;21.3659;21.4053;21.319;20.9774;20.7576;21.041;21","15;14.5306;14.2881;13.7677;12.8971;12.0299;11.2369;10.7614;9.97431;9.27862;8.5333;7.57722;7.06724;6.38176;5.92788;5.52252;5.04133;4.71813;4.36346;4.06097;4.05374;3.62306;3.51082;3.30218;3.31633;3.2859;3.37917;3.55548;3.7673;3.79838;3.92071;4.55587;4.79479;5.59205;5.95798;6.28331;6.91885;7.22037;7.53299;8.21622;8.81531;9.56775;10.5318;11.0174;11.939;12.5543;13.4454;14.3874;15",1.24268,"0;0.2;0.8"
39.4702,4.69711,0.406413,"1;1.57509;1.60072;2.08361;2.16253;2.23475;2.40913;2.59938;3.13805;3.27007;3.25825;3.36979;3.40822;3.84388;4.22916;4.45271;4.74642;5.32711;6.08002;6.73345;7.27028;7.91656;8.62409;9.56059;10.3158;10.7961;11.7132;12.6236;12.8239;13.4938;13.9097;14.7415;15.718;16.5852;17.2432;17.6137;18.2473;19.1285;20.0256;20.409;20.9615;21.5583;21.4184;21.3062;21.1077;21.6817;21.9282;22.1103;22.2894;21.5216;21.8498;22.2841;22.1137;21.6931;21","15;14.5435;14.4546;13.589;12.945;12.2266;11.4169;10.4584;9.71332;8.7232;8.33854;7.46748;7.34035;6.52099;5.75971;5.4051;4.97142;4.5882;4.25259;3.97428;3.78593;3.64277;3.41478;3.46937;3.53636;3.7056;3.81643;3.7446;3.78205;4.32092;4.5646;4.28875;4.34255;4.63432;5.08106;5.2285;5.5216;5.19583;5.00233;5.67252;6.44283;6.86384;7.51558;8.13932;9.00969;9.60349;10.1517;10.8308;11.7311;12.3377;13.108;13.4549;13.8856;14.5038;15",1.47909,"0;0.25;0.75"
37.9521,4.6401,0.391319,"1;1.69139;2.05516;2.48514;2.57935;2.40869;2.62565;2.73212;2.88392;3.04454;3.28446;3.39854;3.85164;4.01441;4.43593;5.1082;5.70423;6.32089;6.84231;7.5194;7.79922;8.76339;9.52778;10.2391;10.6342;11.377;12.3359;13.133;13.7743;14.1776;15.032;15.7484;16.3913;16.9204;17.7407;18.3249;18.9429;19.3785;20.2754;20.3518;20.5643;20.739;21.0118;20.9108;21.0032;21.6408;22.2704;22.4333;22.4897;22.0001;21.3206;21","15;14.6703;14.3648;13.7092;13.0004;12.2692;11.5286;10.6936;9.90979;8.97083;8.40986;7.51495;6.70059;6.5921;5.72952;5.00308;4.5664;4.33878;4.05814;3.93745;3.78994;3.60292;3.33663;3.18492;3.25797;3.38633;3.4171;3.44719;3.11378;3.13449;3.31162;3.4888;3.65737;4.01168;4.53788;4.82981;5.59504;6.31898;6.62064;7.09458;8.03949;8.71145;9.58123;10.4278;10.6258;11.1924;11.8375;12.1304;13.1058;13.5612;14.2591;15",1.66595,"0;0.3;0.7"
39.2028,4.72741,0.408001,"1;1.43848;2.09789;2.3404;2.6431;2.84888;2.87895;2.88666;3.07074;3.019;3.10044;3.29054;3.27397;2.9668;3.37365;3.79058;4.01078;4.37126;4.75433;5.2837;6.11301;6.98568;7.71411;8.01014;8.91344;9.28853;9.6741;10.57;10.7574;11.6013;12.3343;12.8248;13.6518;14.1813;14.4332;15.4096;16.1769;16.8479;17.3279;17.9738;18.332;18.7288;19.161;19.6454;20.4528;21.1038;21.4516;22.1143;22.3889;22.6632;22.6923;22.7146;22.6277;22.4928;22.353;21.7993;21","15;14.7155;14.153;13.4612;12.7279;11.9019;11.4184;11.311;10.4005;9.71562;9.1485;8.5345;8.05758;7.51971;6.8455;6.44071;6.00408;5.07926;4.3742;4.28215;4.09132;3.97607;3.86308;3.77596;4.01627;3.93;3.91689;3.71916;4.109;3.6949;3.62311;3.73866;4.20074;4.18091;4.00992;3.94339;4.55944;4.74898;4.92499;5.13538;5.91367;5.84697;6.40488;6.75758;6.99755;7.38577;8.17799;8.85782;9.55191;10.3074;10.9123;11.4079;12.2236;13.2075;14.0526;14.8434;15",1.91979,"0;0.35;0.65"
38.6028,4.61642,0.401014,"1;1.3444;1.79912;2.05186;2.15148;2.11258;2.36078;2.49883;2.52536;2.56947;3.17071;3.60687;3.8531;4.17732;4.58446;4.73076;5.37427;5.76045;6.0557;7.01668;7.76608;8.68821;9.27406;10.1938;11.1031;11.8071;12.2778;13.0155;13.9259;14.2207;15.1217;15.9856;16.2725;17.0064;17.8374;18.416;18.8335;19.1115;19.9523;20.7171;21.2725;21.9435;22.2278;22.7433;22.6308;22.9466;22.6506;22.7919;22.6873;22.3996;22.688;22.5383;21.9922;21.6037;21","15;14.8127;14.1782;13.4133;12.8031;12.5002;11.6463;10.827;10.3933;9.81724;9.19372;8.31928;7.59382;7.05516;6.3226;5.59871;5.00731;4.31702;4.11422;4.1037;3.71669;3.48902;3.484;3.61738;3.76104;3.52843;3.6105;3.74825;3.75591;3.99975;4.15209;4.18556;4.41372;4.64266;5.13439;5.30832;5.50576;5.57632;6.09773;6.6086;6.93604;7.36741;8.16697;8.92735;9.17473;10.0064;10.7103;11.5033;11.7851;12.5202;13.3266;13.9718;14.7387;14.7388;15",2.08718,"0;0.4;0.6"
38.7694,4.78381,0.40457,"1;1.14897;1.53039;1.87414;2.12981;2.38581;2.30192;2.6278;2.60892;2.6433;2.85932;3.04087;3.28345;3.67135;3.9192;4.64886;5.0901;5.35835;6.11707;6.69723;6.92422;7.76161;8.49575;9.29782;10.2257;11.1665;11.6704;12.5378;13.311;13.7128;14.5159;15.1959;16.0131;16.787;17.7082;18.1956;18.938;19.681;20.5629;20.9519;21.301;21.7403;22.2484;22.4216;22.6139;23.0702;23.1443;22.8954;22.8659;22.8433;22.748;21.9406;21","15;14.9797;14.0859;13.5653;12.9969;12.243;11.3057;10.741;9.85168;8.91896;8.36024;7.67337;6.8639;6.35943;6.0881;5.67269;5.14239;4.81194;4.60373;4.14967;4.01218;3.83566;3.76236;3.62267;3.96938;3.63724;3.45579;3.83605;4.31183;4.48632;4.3851;4.79644;5.01012;4.84868;4.81167;5.21577;5.71096;5.92104;6.25229;6.92332;7.57715;8.20211;8.93732;9.53555;10.1262;10.9596;11.2254;12.1091;12.6663;13.4786;14.2512;14.828;15",2.37523,"0;0.45;0.55"
37.439,4.72725,0.388175,"1;1.27165;2.00094;2.04804;2.06843;2.3429;2.57721;2.54044;2.73464;3.26979;3.25205;3.29499;3.45702;3.44646;4.00787;4.18772;4.42131;4.72368;5.29788;5.84167;6.4413;6.86809;7.37534;8.35217;8.88887;9.52556;9.94895;10.5921;11.4899;12.1042;12.9435;13.8933;14.7472;15.4135;15.5353;16.3196;17.2144;17.8107;18.3007;18.825;19.3889;20.0717;20.1948;20.6011;20.8623;21.1098;21.3434;21.8485;21.9343;22.2539;22.0497;21.6776;21.5702;21.1148;21","15;14.9868;14.6045;13.8635;13.2162;12.6916;12.1129;11.3228;10.6847;9.89144;9.53938;9.05818;8.60531;7.96891;7.21588;6.28178;5.64397;5.08974;4.3337;4.23166;3.85167;3.53313;3.47322;3.57301;3.5939;3.60757;3.61674;3.37051;3.24705;3.16771;3.19621;3.25384;3.27666;3.44378;3.50463;4.04533;4.27999;5.02248;5.8604;6.27404;6.62453;7.32292;7.49517;8.21022;8.51907;9.03707;9.72786;10.5505;11.1141;11.9471;12.4229;13.0958;14.0679;14.9212;15",2.55771,"0;0.5;0.5"
38.3661,4.59304,0.394679,"1;1.68728;1.95986;2.15649;2.18307;2.19834;2.33366;2.47711;2.68425;2.8706;3.19657;3.33536;3.77666;4.05856;4.31234;4.37445;4.95747;5.78012;6.26294;6.79263;7.61021;8.30179;8.68609;9.56307;10.1415;11.0475;11.9253;12.8471;13.7154;14.1521;14.8425;15.3164;16.123;16.9785;17.1802;17.9071;18.6173;19.0843;19.4344;19.6418;20.1788;20.9191;21.5939;22.1941;22.1392;22.6641;22.1786;22.0656;21.6736;21.8851;22.0033;21.1584;20.8349;21","15;14.5607;14.2864;13.8061;12.8234;12.2294;11.3165;10.5314;9.7492;8.85716;8.01638;7.71169;6.89891;6.65004;5.73962;5.57235;4.96568;4.74122;4.04964;3.91944;3.46153;3.35573;3.36992;3.23511;3.23627;3.24803;3.36508;3.53571;3.46016;3.64837;3.77232;4.06675;4.44393;4.95786;5.00148;5.22969;5.41822;5.97976;6.41362;6.85952;7.29212;7.85616;8.41869;8.90389;9.82051;10.4434;11.0867;11.9498;12.4203;13.1117;13.7514;14.1158;14.2777;15",2.70378,"0;0.55;0.45"
40.6897,4.91928,0.420682,"1;1.43339;2.30573;2.61757;2.93175;2.76154;2.62388;2.71406;2.72772;2.81814;2.95297;3.13298;3.57313;4.03843;4.59347;5.0599;5.80153;6.11178;7.0375;7.96527;8.43584;9.3262;9.75241;10.418;11.2702;11.5264;12.1107;12.6854;13.6502;14.462;15.3851;16.147;16.9131;17.4277;17.5927;18.4373;19.0995;19.498;20.0521;20.3851;20.5939;21.0727;21.4926;22.1641;22.5746;22.8226;22.7992;22.6381;21.9345;21.2096;20.2914;19.8942;20.0773;20.6024;20.9613;21","15;14.9182;14.4313;13.7866;12.8435;11.9601;11.2883;10.5349;10.1517;9.25273;8.55331;7.61093;6.96208;6.20723;5.38475;4.50818;4.07168;3.87875;3.52515;3.45145;3.43771;3.6965;3.63548;3.25401;3.41879;3.56916;3.49208;3.68536;3.48157;3.58411;3.52683;3.94678;4.19003;4.67863;4.52878;4.6038;4.78748;5.21052;5.51869;6.30561;7.11873;7.64715;8.27069;8.79095;9.27253;9.97114;10.7119;11.0519;11.3951;11.7891;12.0657;12.8488;13.4714;14.219;14.824;15",3.11984,"0;0.6;0.4"
