Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
24.6522,61.6548,0.277502,"1;1.88761;2.87753;3.70992;4.46838;5.43366;6.20736;6.84538;7.7557;8.64849;9.54429;10.4434;11.4408;12.1328;12.892;13.8322;14.6782;15.2459;15.8133;16.7727;17.6099;18.3217;18.4149;18.2449;19.135;19.822;20.3733;21","15;15.4606;15.319;14.7648;15.4165;15.1553;15.7889;16.4912;16.8779;16.4274;15.983;15.5453;15.4728;16.1946;15.5437;15.2032;15.0077;15.5248;16.3482;16.6303;17.1771;16.5489;16.2521;15.2666;15.0616;15.1133;15.1987;15",0.277502,"0;0;1"
25.0917,25.5075,0.265995,"1;1.99907;2.91277;3.62676;4.58751;5.5478;6.42128;6.89739;7.52825;8.20684;9.01011;9.36474;10.1374;10.9603;11.3151;12.2556;12.794;13.3874;13.776;14.696;15.4192;15.9163;16.461;17.0751;18.0119;19.0067;19.8552;20.2632;20.6711;21","15;15.0432;14.823;14.6048;14.3274;14.6063;15.0932;15.9726;16.7485;16.2433;16.1337;15.9665;15.5053;15.5912;15.8994;15.5597;14.717;14.905;15.3966;15.0045;14.3139;14.4408;14.2063;13.4196;13.0699;12.9672;12.4381;13.3511;14.2641;15",1.52807,"0;0.05;0.95"
23.053,20.0484,0.23956,"1;1.3928;1.65467;2.52575;3.52103;4.40008;5.21509;6.08595;7.08062;8.08047;8.75603;9.7171;10.4227;10.6141;11.1656;12.1557;13.117;14.0987;14.288;15.0484;15.8467;16.7349;17.648;18.6338;19.3742;20.3311;20.9666;21","15;15.3614;15.7559;15.2648;15.3618;15.0946;15.6351;15.1435;15.2466;15.2289;14.8155;14.9831;14.2745;14.1298;13.6051;13.7455;13.4699;13.6605;13.9119;13.9734;14.5757;14.1162;14.524;14.3562;13.6841;13.9746;14.5684;15",2.22044,"0;0.1;0.9"
23.3545,22.3634,0.251153,"1;1.46961;2.39255;3.1783;3.47137;4.44288;5.43443;6.21122;7.18289;7.63808;8.58132;9.35594;9.57564;10.425;10.7437;11.1765;11.7111;12.624;13.245;14.0255;14.779;15.561;16.4993;17.1352;17.6499;18.3689;18.8948;19.3841;20.0059;21","15;14.9637;15.3235;15.3448;15.6574;15.8943;15.7646;15.1349;15.3712;15.1398;15.1175;14.8044;14.0072;13.5277;13.8155;14.3678;14.442;14.7129;14.4476;15.0729;15.7303;16.3535;16.6994;15.9276;15.5586;15.5939;15.5639;15.6329;14.9564;15",3.56799,"0;0.15;0.85"
25.5382,57.5277,0.287355,"1;2;2.67984;2.8684;3.74143;3.99138;4.25879;5.22876;5.10051;5.77918;6.55289;7.01105;7.8701;8.06761;8.86099;9.47453;9.73415;10.7222;11.6583;12.5959;13.5924;14.3182;14.861;15.2827;16.1944;16.993;17.9079;18.8259;19.352;20.1831;21","15;15;15.7334;16.7154;16.8696;17.1265;17.3586;17.1153;16.4984;16.2724;16.8848;16.2728;16.7847;16.7345;16.65;15.8603;14.8946;14.7404;15.092;14.7443;14.8281;14.1403;14.0702;13.8761;13.4652;14.0671;13.6636;14.0603;14.9107;15.3505;15",11.7354,"0;0.2;0.8"
23.6957,23.4736,0.245545,"1;1.99848;2.6917;3.31678;3.71337;4.52175;5.41903;5.64693;6.19493;6.8723;7.2844;7.93012;7.98587;8.8483;9.46558;10.463;11.3543;12.3391;13.1966;14.0238;14.835;15.835;16.835;17.7764;18.5897;19.572;20.4985;21","15;15.055;14.8834;15.2986;15.3956;15.0755;15.517;14.6309;13.8616;13.249;13.9802;13.9793;13.8796;13.3869;14.1736;14.2451;14.6985;14.5249;15.0394;14.4775;15.0622;15.0521;15.0484;14.711;14.1292;14.3163;14.6927;15",6.05256,"0;0.25;0.75"
23.2592,33.8158,0.252331,"1;1.90318;2.53113;2.77294;3.69616;4.37703;5.30077;6.16909;6.80301;7.13679;7.80265;8.74389;9.63529;10.5218;11.2111;12.1344;12.6425;13.1141;13.3524;14.351;15.3471;15.9364;16.8309;17.5192;18.3919;19.343;20.2153;21","15;14.5707;14.9003;15.0642;14.68;15.4124;15.0294;14.9572;15.3834;15.311;15.3564;15.6941;15.2409;15.7037;16.4282;16.8123;16.6453;16.612;15.6408;15.5881;15.5;15.9522;15.5937;14.8683;14.38;14.0711;14.5601;15",10.3214,"0;0.3;0.7"
22.2569,11.142,0.232386,"1;1.72823;2.33642;3.24713;3.71885;4.67349;5.61266;6.61229;7.61034;8.60278;9.57;10.5051;11.4126;11.9112;12.252;12.9667;13.8359;14.6366;14.9748;15.6712;16.6298;17.408;18.3137;19.2607;19.9824;20.7944;20.8891;21","15;14.6243;15.1011;15.202;15.5725;15.2747;14.9313;14.9586;15.021;15.1437;14.8897;14.542;14.5476;14.6642;15.1598;14.4933;14.0771;14.1521;14.4153;14.4899;14.2052;14.8332;15.2573;14.9362;15.278;14.8523;14.6772;15",4.05076,"0;0.35;0.65"
22.446,20.0703,0.230147,"1;1.98824;2.86852;3.6135;4.59585;5.58264;6.1981;6.62714;7.55132;8.53947;9.36332;10.1675;10.6922;11.189;11.5786;12.2914;12.5828;13.3447;13.6775;14.6701;15.5049;16.0429;16.8953;17.8785;18.7273;19.5755;20.2067;21","15;15.1529;14.6784;14.0114;13.8243;13.6623;13.6723;14.0344;13.865;13.7115;14.151;13.6498;13.6557;14.0325;14.3689;14.137;14.0368;14.085;14.6243;14.5032;14.4021;13.7149;14.2376;14.4202;14.949;14.4192;14.9448;15",8.1662,"0;0.4;0.6"
27.2472,24.814,0.283068,"1;1.39371;2.14858;2.96652;3.96108;4.34413;5.18609;6.04775;6.70884;7.33502;7.95716;8.66719;9.66715;10.6636;11.6059;11.7906;12.6793;13.3138;13.549;14.5161;14.5078;15.2472;15.4763;16.3791;16.7276;17.1236;17.6735;17.7615;18.7012;19.6942;20.5383;21.1211;21.1223;21","15;15.9192;15.7442;15.9981;16.1023;15.7398;15.2575;14.75;15.178;15.155;14.6038;14.0506;14.041;14.1253;13.7905;14.022;14.2732;14.3134;13.3741;13.6286;14.1786;14.8249;15.0713;14.8627;14.2035;13.4711;13.6855;12.701;12.3589;12.4766;13.0128;13.8254;14.6768;15",11.322,"0;0.45;0.55"
