Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
24.2585,17.1121,0.252403,"1;1.39946;1.97805;2.54749;3.03049;3.46878;4.41756;5.16466;5.83926;6.40089;6.85619;7.32742;7.94589;8.47749;9.43874;10.0906;11.0354;11.5663;12.5024;13.2672;14.0442;14.5357;15.3523;16.1274;16.6126;17.3434;17.6888;18.3131;18.9359;19.5773;20.1711;20.4922;21","15;14.3086;13.8671;13.5378;13.306;12.8763;12.6314;12.1324;11.837;11.6284;11.3073;10.8917;10.5735;10.1226;9.91653;9.53265;9.4828;9.11763;8.84416;9.00246;9.45021;9.99619;10.4767;10.9972;11.1487;11.2582;11.6887;12.4314;12.7562;13.2872;13.9169;14.3182;15",0.252403,"0;0;1"
25.1452,14.6894,2.96497,"1;1.91332;2.89022;3.81396;4.58732;5.36361;5.89616;6.62735;7.16541;7.75347;8.6072;9.01915;9.82341;10.7898;10.9055;11.6635;12.6359;13.2899;14.0486;14.7039;15.3003;15.6168;15.7109;16.5336;16.7285;17.4881;17.9048;17.9979;18.5964;18.826;18.9768;19.9178;20.0824;20.1268;21","15;14.5928;14.393;14.351;14.6173;15.1739;15.7208;15.7858;15.9836;16.6546;16.2482;15.929;16.4845;16.5186;16.6817;17.0337;16.8004;16.0439;15.883;16.5665;16.6029;15.6543;15.58;15.5462;15.7385;15.2235;14.8247;14.7415;15.0561;15.886;16.2373;16.4023;15.8841;15.368;15",3.35579,"0;0.0333333;0.966667"
23.8473,10.1498,2.41646,"1;1.74973;2.31412;3.24431;3.58382;3.95379;4.6392;5.28805;5.86806;6.4238;6.87352;7.41003;7.73983;8.4543;9.21457;9.69221;10.4516;11.2986;11.7703;12.6542;13.3513;14.0534;14.8588;15.6272;16.077;16.3873;17.2727;17.5079;18.0551;18.5286;19.3898;20.1414;21","15;15.2727;15.0048;14.6709;14.4879;14.3677;14.2335;14.0521;13.7548;14.513;15.0407;15.626;16.279;16.6681;16.7863;17.0293;16.7342;16.8358;17.2058;16.7381;16.1649;15.8872;15.4703;14.9781;14.4775;13.8713;13.4903;13.6866;14.3386;14.4613;14.8647;14.6634;15",2.93201,"0;0.0666667;0.933333"
31.5816,3.17784,0.333411,"1;1.98853;2.80336;3.08483;3.57311;3.54495;3.92367;4.45069;4.77427;5.65933;5.99625;6.35167;6.9406;7.64203;7.94552;8.70352;8.82357;9.36663;9.83011;10.3813;10.8404;11.7867;12.4939;13.4292;14.0731;14.4774;15.211;15.6157;15.9535;16.3756;17.0865;17.053;17.0373;17.0164;16.9729;17.9572;18.3683;18.9017;19.6799;19.6066;19.9706;20.6678;21","15;14.849;14.2693;13.7883;12.9496;12.2011;11.3491;10.5067;9.65027;9.36882;9.34801;8.56221;7.84423;7.25566;7.13051;6.90457;6.3658;6.01342;5.98327;5.97415;5.83904;5.86303;6.10226;6.00293;6.18672;5.69937;6.19485;6.48159;6.92271;7.14023;7.72694;8.5791;9.0922;9.578;10.4124;10.5887;10.8726;11.4267;12.0129;13.0102;13.9416;14.6585;15",0.617854,"0;0.1;0.9"
23.9507,6.79137,3.12585,"1;1.57549;2.53776;3.3968;4.1176;4.56723;5.14191;5.86476;6.06982;6.96978;7.40476;7.6293;8.14602;8.93325;9.73592;10.668;11.4514;12.3622;13.3506;13.8503;14.2079;14.8626;15.5965;16.464;17.3199;18.1301;19.0927;19.632;20.0208;20.4757;20.9989;21","15;15.1767;15.0082;14.8937;14.8403;14.6467;14.454;14.5746;14.8384;15.1678;16.0618;16.1957;16.6981;17.1778;17.3879;17.7098;17.2784;17.1049;16.9534;16.1763;15.901;15.2928;14.9086;14.6096;14.6758;14.1455;14.2723;14.6839;14.7972;14.0141;14.2492;15",3.61459,"0;0.133333;0.866667"
23.7057,4.89933,4.37339,"1;1.69716;2.11171;2.62623;3.28116;4.19614;4.62147;5.20225;6.17333;6.80341;7.35684;7.73416;8.3003;8.7061;9.34728;9.92129;10.2963;11.1037;11.9829;12.1573;12.9969;13.7403;14.2887;15.2376;15.669;16.068;16.9637;17.9452;18.1577;18.9444;19.9437;20.9429;21","15;14.7707;14.7471;14.2931;14.5154;14.5914;14.7396;15.4828;15.2484;15.9169;16.1461;16.5135;17.0788;17.2971;17.9489;17.5801;18.0773;18.6067;18.6081;18.1999;17.6567;16.9878;16.1516;15.8359;15.3219;15.2213;15.0726;14.881;14.8393;14.9199;14.9588;14.9978;15",4.46105,"0;0.166667;0.833333"
28.7264,7.88461,0.300639,"1;1.19271;1.71011;2.23356;2.57597;2.55019;2.87747;2.94128;3.50641;4.28539;5.15233;5.7739;6.35783;7.06119;7.63764;8.3641;8.82014;9.26965;10.1259;10.7679;11.6963;12.159;12.8391;13.3021;14.0988;14.4109;14.867;15.2615;15.8775;16.23;16.8463;17.1221;17.9957;18.2055;19.0597;19.4413;20.0059;20.4809;20.6666;21","15;14.6932;14.041;13.5123;12.9262;12.1006;11.5579;10.9109;10.187;9.57271;9.24818;8.7691;8.10526;7.84331;7.92891;7.85118;8.14449;9.00596;9.44184;8.99799;8.64587;8.97483;9.06469;8.79745;8.51048;8.8753;9.52605;9.73935;10.3806;10.9211;11.3756;11.0523;11.4501;11.4378;11.9574;12.8387;13.6212;14.1453;15.08;15",1.81743,"0;0.2;0.8"
24.3876,5.72809,4.64924,"1;1.75299;2.16905;2.94767;3.28233;3.92484;4.63395;5.04394;5.3742;5.88224;6.88193;7.73616;8.0884;8.33935;9.21314;9.31182;9.77726;10.3682;10.8482;11.3613;11.9997;12.5279;13.2131;13.8858;14.6074;15.5585;15.7559;16.3175;17.2473;17.8458;18.5086;18.5866;19.533;20.3227;21","15;15.0985;15.0398;14.7625;14.8477;15.1937;14.902;14.7929;14.8625;15.3673;15.3427;15.5607;16.0408;16.5741;16.6359;17.4008;17.4219;17.921;18.2813;18.5016;18.3448;18.0621;17.8556;17.1496;17.4497;17.1873;16.4202;15.6127;15.4798;14.8659;14.4217;14.1725;14.3025;14.8297;15",4.90097,"0;0.233333;0.766667"
22.747,5.95762,3.49538,"1;1.40593;1.98782;2.3916;3.323;3.98643;4.74085;5.60272;6.38945;7.31053;8.00136;8.80717;9.26325;9.98;10.4754;11.1615;11.9225;12.6942;13.3271;13.6883;13.9296;14.372;14.8225;15.8143;16.5344;17.4749;18.3451;19.187;19.8075;20.5289;21","15;15.0196;15.2324;15.2435;15.5715;15.6482;15.1066;15.2978;15.6715;16.0218;16.4123;16.7425;16.946;17.197;17.5422;18.0021;18.0815;17.7166;17.361;16.6796;16.2178;15.8334;15.463;15.3345;14.6407;14.7532;14.591;14.4439;14.1644;14.7732;15",4.15198,"0;0.266667;0.733333"
21.7264,8.75596,2.84956,"1;1.10954;1.95356;2.84215;3.46101;4.41401;4.82108;5.4375;6.29257;6.79327;7.7433;8.51711;9.40584;9.94106;10.5201;11.1125;11.6117;12.557;12.8603;13.5435;13.8973;14.7884;15.3505;16.1687;16.6834;17.3658;17.93;18.4861;19.0467;20.004;20.9343;21","15;14.9875;14.6988;14.6432;14.9581;15.1223;15.0902;15.3739;15.7309;15.7847;15.965;16.1065;16.4722;16.4391;17.1898;17.1739;17.181;17.3578;17.3313;16.9961;16.6677;16.243;15.8806;15.5621;15.2852;14.8864;14.3715;14.3539;14.339;14.6071;14.9741;15",4.62148,"0;0.3;0.7"
