Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
20.9311,61.3672,0.222868,"1;1.03768;1.49136;2.20272;2.6863;3.3022;3.75096;4.72643;5.46153;6.11661;6.83875;7.68289;8.1037;8.9742;9.60982;10.5099;10.7427;11.5514;12.4025;12.8901;13.7563;14.4404;15.3857;16.1825;16.5757;17.3065;17.7561;18.0343;18.8511;19.4445;19.9333;20.3042;20.8568;21","15;14.9576;14.4952;14.0716;13.8614;13.6865;13.5531;13.334;13.2676;13.2356;13.1631;13.1112;13.0702;13.012;12.9929;13.0005;12.9999;13.0281;13.0317;13.0368;13.1171;13.157;13.1899;13.3318;13.3925;13.4605;13.5153;13.5568;13.7273;13.8846;14.0771;14.2555;14.782;15",0.222868,"0;0;1"
34.4437,5.03956,0.35453,"1;1.38834;1.94099;2.21495;2.23829;2.45701;2.89247;2.7736;3.05657;3.07807;3.43305;3.31828;3.80938;4.29254;4.97557;5.34104;5.80806;6.23387;6.8256;7.15655;7.62627;8.45958;8.83634;9.61862;10.4834;11.0682;12.0394;12.2869;13.1176;13.5498;14.1628;14.7936;15.499;16.4178;16.876;17.4605;18.0031;18.6439;19.1307;19.5869;20.0764;20.2391;20.4405;20.507;20.6278;20.7506;20.9857;21","15;14.7891;14.1287;13.1843;12.4835;11.9425;11.1424;10.5724;9.75047;8.84021;8.23602;7.40601;6.8665;6.53425;6.10924;5.8222;5.45621;5.12022;4.81103;4.69342;4.34169;4.05019;3.74889;3.69515;3.59907;3.89914;3.99408;3.94161;4.04809;3.97885;3.97873;4.40675;4.79486;5.11279;5.81267;6.29103;6.60357;7.22816;8.06814;8.78051;9.52574;10.4837;11.3658;12.1666;12.4438;13.2592;14.1125;15",0.510698,"0;0.0333333;0.966667"
36.5467,4.69572,0.37531,"1;1.75881;2.00773;2.41322;2.33936;2.45726;2.39097;2.26969;2.49221;2.58484;3.12073;3.45662;3.87947;4.42175;4.78747;5.29741;5.93633;6.44979;6.86562;7.20892;7.8923;8.77639;9.47091;10.3892;11.2717;12.2056;12.9965;13.7581;14.7179;15.6263;16.3923;17.0936;17.6836;18.1462;18.5503;19.1316;19.3233;19.4147;20.0343;20.5801;21.0955;21.3439;21.62;21.8481;21.8839;21.7279;21.3664;21.0553;21.197;20.9229;21","15;14.3744;13.9816;13.2902;12.4803;11.7421;11.3259;10.8022;9.86782;9.37001;8.64279;8.09171;7.20533;6.6023;6.01977;5.33408;4.67174;4.28083;3.9851;3.77607;3.54832;3.49195;3.35716;3.30411;3.41292;3.27726;3.5095;3.62251;3.82619;4.09946;4.03288;4.11227;4.82281;5.56903;5.89803;6.49325;7.22032;7.45677;8.19265;8.495;9.09858;9.4689;10.0224;10.5226;11.2257;11.8523;12.4789;13.2713;14.0228;14.7114;15",0.663337,"0;0.0666667;0.933333"
36.4682,4.72787,0.377627,"1;1.44458;1.81973;1.92532;2.02326;2.15636;2.39939;2.60327;2.60884;2.77316;2.9011;2.78596;3.23529;3.80928;3.9286;4.21938;4.89653;5.2842;6.04672;6.50051;7.30845;8.13517;9.01132;9.60444;10.3107;11.2461;11.9287;12.7435;12.9903;13.8513;14.7008;15.2774;16.112;16.736;17.3442;17.7229;18.3953;18.8443;19.1474;19.2304;19.8746;20.2428;20.6524;20.6168;20.3988;20.4373;20.9875;21.1341;21.4155;21.567;21","15;14.9041;14.2627;14.031;13.4832;12.5845;12.0095;11.5101;10.6135;9.65394;9.06905;8.18449;7.49215;6.68883;6.36144;5.74617;5.27744;5.15075;4.68734;4.39912;3.89259;3.93393;3.59149;3.51024;3.61994;3.46764;3.49985;3.50553;3.59625;3.76579;4.06787;4.11144;4.19945;4.31502;4.62514;5.0511;5.61746;6.13089;6.33131;7.26724;7.92228;8.54499;9.37005;9.84285;10.7529;11.4845;11.9372;12.8398;13.7351;14.5685;15",0.812652,"0;0.1;0.9"
36.4052,4.77373,0.377207,"1;1.56919;2.05053;2.26016;2.39256;2.50043;2.70698;2.95728;2.78846;2.99866;2.89195;2.87447;3.24259;3.47625;3.85342;4.27428;4.74781;5.08523;5.59888;6.2922;6.65501;7.3921;8.14751;8.47366;9.45165;10.054;10.5539;11.0515;11.7822;12.2587;12.802;13.4199;13.7867;14.6996;15.3296;16.1339;16.9891;17.3511;18.2848;18.5992;19.2359;19.5993;19.7625;20.4318;20.5747;20.6704;21.0248;21.1844;21.3093;21.4978;21.1184;21.1621;21.4088;20.8077;21","15;14.7579;14.3941;13.7852;13.08;12.7694;12.1307;11.1796;10.2225;10.0061;9.12149;8.81294;8.05878;7.55195;6.97334;6.49799;5.84267;5.35158;4.73216;4.88571;4.48942;3.93418;3.71185;3.53032;3.62366;3.67673;3.93342;3.80655;3.66646;3.79476;3.772;4.01118;4.10794;4.51306;4.63883;4.95255;5.23091;5.41828;5.63978;6.36431;6.79122;7.29391;7.82543;8.42664;9.17694;9.51119;10.2915;10.812;11.5453;12.475;13.1734;13.4892;14.2268;14.8868;15",0.963408,"0;0.133333;0.866667"
37.4758,4.72491,0.384333,"1;1.32939;1.71889;1.83173;1.83959;2.24849;2.48922;2.60174;3.03758;3.01241;3.08585;3.07586;3.29779;3.93638;4.11572;4.43006;4.8777;5.31019;5.98829;6.67544;7.16126;7.70473;8.20029;8.60044;9.56994;10.5039;11.2844;12.0793;12.7442;13.2481;14.0891;14.6933;14.9819;15.8446;16.7085;17.4772;18.1739;18.7641;19.1992;20.1048;20.5965;21.0414;21.6332;22.1718;22.1974;22.1462;22.4128;22.2219;22.1361;21.9319;21.3435;21.2992;21.0955;21","15;14.7504;14.2296;13.8503;13.5433;12.8059;12.0596;11.1045;10.494;9.56268;8.79454;8.5079;7.5527;7.11778;6.74297;6.15069;5.29813;5.09645;4.75051;4.43021;4.37612;4.03981;3.43435;3.29482;3.09304;3.27961;3.38531;3.4742;3.08324;3.37655;3.72664;4.03846;4.51667;4.77453;4.94018;5.17887;5.4612;5.96989;6.24212;6.51562;7.26402;7.69545;8.41258;9.06865;10.0205;10.84;11.4328;12.1175;12.5876;13.0772;13.7093;13.989;14.7381;15",1.10776,"0;0.166667;0.833333"
37.4787,4.76782,0.3856,"1;1.71314;2.0322;2.01165;2.31446;2.66073;2.71839;3.04031;2.99189;3.00266;3.43278;3.45399;3.68084;4.13345;4.31342;4.46164;5.05903;5.84368;6.47763;7.05433;7.68192;8.46628;8.97206;9.96376;10.9066;11.7607;12.3733;13.2521;13.721;14.2901;14.8005;15.4464;16.1307;17.0493;17.3634;17.9101;18.6295;18.8022;19.2025;19.5814;20.2919;21.1289;21.2034;21.4542;21.7056;22.1767;22.4821;22.4155;22.1135;21.697;21.3502;21.2106;21.0619;21","15;14.3047;13.4486;12.7405;12.0857;11.465;10.7135;9.92758;9.10563;8.47635;7.82065;7.20377;6.37977;5.677;5.48409;5.20322;4.69658;4.65218;4.06735;3.99386;3.47249;3.42712;3.30178;3.38828;3.20214;3.5479;3.86814;3.94057;4.11438;4.12417;4.60958;5.22137;5.03372;5.08282;5.61425;5.76268;6.26165;6.35954;6.6634;7.11301;7.66151;8.18388;8.76247;9.25924;9.6378;10.4955;11.4217;11.7688;12.6223;13.3816;13.8057;14.7862;15.0458;15",1.26205,"0;0.2;0.8"
37.9489,4.61994,0.391778,"1;1.52838;1.95111;2.17285;2.5577;2.7711;2.85801;3.08515;2.78913;2.77969;3.06226;3.23615;3.54389;3.68489;3.85099;4.10137;4.41736;4.65534;5.14426;5.68401;5.82144;6.45848;7.34021;7.92694;8.55638;9.52067;10.1755;10.832;11.5332;12.16;13.1314;13.7478;14.2227;15.0423;15.6802;16.3972;17.3223;17.9565;18.4848;19.0018;19.5236;19.9801;20.5973;21.0209;21.5558;22.3705;22.4411;22.521;22.5002;22.5715;22.5385;22.4675;22.1162;21.8386;21.4421;21","15;14.8456;14.3884;14.0674;13.4694;12.921;12.2577;11.535;10.6642;10.3188;9.36709;8.79195;7.87565;7.28778;6.89366;6.39629;5.76064;5.52559;5.22605;4.47806;4.39247;4.17397;3.89942;3.60301;3.63914;3.62728;3.63537;3.36842;3.44846;3.62302;3.79571;3.59703;3.85146;3.98091;4.11194;4.62832;4.91534;5.27931;5.67449;5.89736;6.38112;6.7584;6.90796;7.53464;8.07012;8.20352;9.07543;9.47342;9.84631;10.7157;11.6959;12.5566;13.0021;13.6305;14.1597;15",1.37835,"0;0.233333;0.766667"
37.308,4.83617,0.387352,"1;1.69749;1.81992;1.85419;1.99905;1.89584;1.97091;2.49851;2.41386;2.46243;2.88062;3.16094;3.13053;3.51576;3.94579;4.32515;4.83248;5.02538;5.77922;6.64281;7.26483;8.13749;8.38239;9.27161;9.66579;10.3476;10.9054;11.7406;11.9808;12.3569;12.9737;13.7372;14.4073;15.2654;16.0519;16.5274;17.2839;17.8435;18.2169;19.0532;19.2764;19.6637;20.2967;20.6564;20.945;21.0797;21.4731;21.8984;21.897;22.1985;22.1773;22.1262;21.8686;21.7125;21.4989;21.1751;21","15;14.8506;14.4161;13.7596;13.1614;12.3288;12.0469;11.2435;10.8123;9.85188;9.21859;8.29108;7.75656;7.06288;6.41342;5.80527;5.02491;4.92888;4.49016;4.21202;4.40183;4.30065;4.26727;4.02939;3.93879;3.85661;3.74191;3.61453;3.30457;3.40085;3.67283;4.24304;4.64889;4.7558;4.62825;4.57726;4.64892;5.3049;5.58735;5.99899;6.05889;6.91519;7.63616;8.10075;8.57594;9.14137;9.79872;10.6665;11.1056;11.7022;12.1129;12.6068;13.4673;14.0461;14.4905;14.9611;15",1.57371,"0;0.266667;0.733333"
37.5551,4.57747,0.38617,"1;1.40597;1.82031;2.11876;2.30843;2.32517;2.54426;2.77138;2.73661;2.9505;2.96614;3.0463;3.44258;3.70121;4.02616;4.92272;5.76955;6.27428;7.09043;7.85522;8.32147;8.92523;9.83376;10.7754;11.5581;11.986;12.6921;12.989;13.1445;14.1057;14.4079;15.0866;16.0726;16.7203;17.5031;18.2218;18.9831;19.6983;20.462;20.6088;20.7578;21.2795;21.7291;21.8125;22.123;21.8237;22.2972;22.3032;21.9673;21.6773;21.2134;21","15;14.8447;14.0317;13.5704;12.6042;11.8658;11.1258;10.1835;9.9119;9.17958;8.52732;7.84889;7.1859;6.37051;5.46003;5.10991;4.76288;4.29445;4.07961;3.9278;4.05497;3.79234;3.59209;3.48876;3.62187;3.73806;3.78348;3.71062;3.76087;3.91206;4.09211;4.21505;4.29483;4.32653;4.84527;5.00862;5.30098;5.96861;6.48016;7.03025;7.74273;8.33226;9.13559;9.84209;10.0519;10.9091;11.5448;12.3282;12.8193;13.5593;14.3898;15",1.64356,"0;0.3;0.7"
