Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 20.1717,86.1769, 
-1,0,1, 53.6036,0.330123, 
0,0.614974,0.385026, 21.1512,2.16581, 0.383551
1,0.033989,0.966011, 29.7772,0.505905, 0.0201241
2,0.981601,0.0183995, 20.7597,7.81323, 0.0174
3,0.1069,0.8931, 24.0718,0.825196, 0.0114887
4,0.222105,0.777895, 22.7592,1.09698, 0.00623946
5,0.899727,0.100273, 20.8118,3.64785, 0.00463163
6,0.98808,0.0119197, 20.8446,4.00696, 0.00386322
7,0.292518,0.707482, 22.3604,1.25008, 0.00245042
8,0.00456806,0.995432, 43.2583,0.355055, 0.00176564
9,0.730893,0.269107, 21.0769,2.51416, 0.0016172
10,0.320215,0.679785, 22.0897,1.42026, 0.000840156
11,0.00691211,0.993088, 36.2715,0.408092, 0.000546329
12,0.330722,0.669278, 22.5045,1.20004, 0.00026505
13,0.0092815,0.990719, 33.0061,0.443681, 0.000264397
14,0.00149683,0.998503, 50.9672,0.340543, 0.000194515
15,0.114097,0.885903, 23.8532,0.893262, 0.000186514
16,0.0118449,0.988155, 34.0491,0.422133, 0.000140052
17,0.980297,0.0197026, 20.8188,4.70764, 6.32287e-05
18,0.0120506,0.987949, 35.6528,0.404659, 1.64384e-05
