ID,W1,W2,W3,F1,F2,F3
0,1,0,0,0,100,100
1,0,1,0,100,0,100
2,0,0,1,100,100,0
3,0.333333,0.333333,0.333333,33.3333,33.3333,33.3333
4,0,0.666667,0.333333,77.7778,11.1111,44.4444
5,0.333333,0,0.666667,44.4444,77.7778,11.1111
6,0.666667,0.333333,0,11.1111,44.4444,77.7778
7,0.333333,0.666667,0,44.4444,11.1111,77.7778
8,0,0.333333,0.666667,77.7778,44.4444,11.1111
9,0.666667,0,0.333333,11.1111,77.7778,44.4444
10,0.111111,0.777778,0.111111,70.3704,3.7037,70.3704
11,0.111111,0.111111,0.777778,70.3704,70.3704,3.7037
12,0.777778,0.111111,0.111111,3.7037,70.3704,70.3704
13,0.444444,0.111111,0.444444,25.9259,59.2593,25.9259
14,0.444444,0.444444,0.111111,25.9259,25.9259,59.2593
15,0.111111,0.444444,0.444444,59.2593,25.9259,25.9259
16,0.222222,0.222222,0.555556,48.1481,48.1481,14.8148
17,0.555556,0.222222,0.222222,14.8148,48.1481,48.1481
18,0.222222,0.555556,0.222222,48.1481,14.8148,48.1481
19,0.333333,0.555556,0.111111,38.2716,16.0494,60.4938
20,0.444444,0.555556,0,30.8642,19.7531,75.3086
21,0.111111,0.888889,0,79.0123,1.23457,90.1235
22,0.333333,0.111111,0.555556,38.2716,60.4938,16.0494
23,0.111111,0,0.888889,79.0123,90.1235,1.23457
24,0.555556,0.111111,0.333333,16.0494,60.4938,38.2716
25,0.444444,0.333333,0.222222,23.4568,34.5679,45.679
26,0,0.444444,0.555556,75.3086,30.8642,19.7531
27,0.222222,0.333333,0.444444,45.679,34.5679,23.4568
28,0.222222,0.444444,0.333333,45.679,23.4568,34.5679
29,0.555556,0,0.444444,19.7531,75.3086,30.8642
30,0.888889,0,0.111111,1.23457,90.1235,79.0123
31,0.222222,0.777778,0,60.4938,4.93827,82.716
32,0.777778,0,0.222222,4.93827,82.716,60.4938
33,0.333333,0.222222,0.444444,34.5679,45.679,23.4568
34,0.111111,0.555556,0.333333,60.4938,16.0494,38.2716
35,0.111111,0.333333,0.555556,60.4938,38.2716,16.0494
36,0.666667,0.111111,0.222222,8.64198,64.1975,53.0864
37,0.222222,0.666667,0.111111,53.0864,8.64198,64.1975
38,0.444444,0.222222,0.333333,23.4568,45.679,34.5679
39,0.555556,0.333333,0.111111,16.0494,38.2716,60.4938
40,0.222222,0.111111,0.666667,53.0864,64.1975,8.64198
41,0.222222,0,0.777778,60.4938,82.716,4.93827
42,0.333333,0.444444,0.222222,34.5679,23.4568,45.679
43,0.555556,0.444444,0,19.7531,30.8642,75.3086
44,0,0.555556,0.444444,75.3086,19.7531,30.8642
45,0.444444,0,0.555556,30.8642,75.3086,19.7531
46,0.037037,0.37037,0.592593,70.7819,37.4486,15.2263
47,0.296296,0.0740741,0.62963,44.856,67.0782,11.5226
48,0.0740741,0.407407,0.518519,64.6091,31.2757,20.1646
49,0.259259,0.37037,0.37037,41.1523,30.0412,30.0412
50,0.592593,0.148148,0.259259,12.7572,57.2016,46.0905
51,0.62963,0.185185,0.185185,10.2881,54.7325,54.7325
52,0.37037,0.037037,0.592593,37.4486,70.7819,15.2263
53,0.518519,0.0740741,0.407407,20.1646,64.6091,31.2757
54,0.296296,0.296296,0.407407,37.4486,37.4486,26.3374
55,0.259259,0.592593,0.148148,46.0905,12.7572,57.2016
56,0.592593,0.37037,0.037037,15.2263,37.4486,70.7819
57,0.37037,0.592593,0.037037,37.4486,15.2263,70.7819
58,0.259259,0.703704,0.037037,52.2634,7.81893,74.4856
59,0.185185,0.62963,0.185185,54.7325,10.2881,54.7325
60,0.407407,0.185185,0.407407,27.572,49.7942,27.572
61,0.185185,0.0740741,0.740741,60.9053,72.0165,5.34979
62,0.37037,0.37037,0.259259,30.0412,30.0412,41.1523
63,0.740741,0.0740741,0.185185,5.34979,72.0165,60.9053
64,0.0740741,0.518519,0.407407,64.6091,20.1646,31.2757
65,0.037037,0.925926,0.037037,89.3004,0.411523,89.3004
66,0.037037,0.037037,0.925926,89.3004,89.3004,0.411523
67,0.925926,0.037037,0.037037,0.411523,89.3004,89.3004
68,0.185185,0.740741,0.0740741,60.9053,5.34979,72.0165
69,0.148148,0.148148,0.703704,62.1399,62.1399,6.58436
70,0.703704,0.037037,0.259259,7.81893,74.4856,52.2634
71,0.259259,0.148148,0.592593,46.0905,57.2016,12.7572
72,0.518519,0.407407,0.0740741,20.1646,31.2757,64.6091
73,0.407407,0.407407,0.185185,27.572,27.572,49.7942
74,0.481481,0.037037,0.481481,25.1029,69.5473,25.1029
75,0.259259,0.259259,0.481481,42.3868,42.3868,20.1646
76,0.481481,0.148148,0.37037,21.3992,54.7325,32.5103
77,0.148148,0.814815,0.037037,69.5473,2.88066,80.6584
78,0.148148,0.481481,0.37037,54.7325,21.3992,32.5103
79,0.148148,0.37037,0.481481,54.7325,32.5103,21.3992
80,0.481481,0.481481,0.037037,25.1029,25.1029,69.5473
81,0.037037,0.481481,0.481481,69.5473,25.1029,25.1029
82,0.185185,0.407407,0.407407,49.7942,27.572,27.572
83,0.0740741,0.851852,0.0740741,79.4239,1.64609,79.4239
84,0.851852,0.0740741,0.0740741,1.64609,79.4239,79.4239
85,0.703704,0.148148,0.148148,6.58436,62.1399,62.1399
86,0.185185,0.185185,0.62963,54.7325,54.7325,10.2881
87,0.0740741,0.0740741,0.851852,79.4239,79.4239,1.64609
88,0.814815,0.037037,0.148148,2.88066,80.6584,69.5473
89,0.296296,0.185185,0.518519,39.9177,51.0288,17.6955
90,0.481481,0.37037,0.148148,21.3992,32.5103,54.7325
91,0.407407,0.518519,0.0740741,31.2757,20.1646,64.6091
92,0.148148,0.703704,0.148148,62.1399,6.58436,62.1399
93,0.259259,0.037037,0.703704,52.2634,74.4856,7.81893
94,0.148148,0.037037,0.814815,69.5473,80.6584,2.88066
95,0.37037,0.259259,0.37037,30.0412,41.1523,30.0412
96,0.037037,0.592593,0.37037,70.7819,15.2263,37.4486
97,0.37037,0.481481,0.148148,32.5103,21.3992,54.7325
98,0.62963,0.0740741,0.296296,11.5226,67.0782,44.856
99,0.407407,0.0740741,0.518519,31.2757,64.6091,20.1646
