Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.304206,0.695794, 22.269,9.39745,11.1345, 0.355969
1,0,0.257476,0.742524, 32.6839,3.64652,2.4436, 0.312716
2,0.465143,0.119223,0.415634, 28.0288,8.84755,14.0144, 0.26809
3,0.764933,0,0.235067, 23.7737,19.1674,11.8869, 0.266449
4,0.764933,0,0.235067, 21.4156,37.9633,10.7078, 0.266449
5,0.764933,0,0.235067, 24.0519,12.9646,12.026, 0.266449
6,0.764933,0,0.235067, 23.6293,97.9293,3.21193, 0.266449
7,0.799039,0,0.200961, 21.0265,7.3421,10.5133, 0.261842
8,0.764933,0,0.235067, 23.5611,16.7866,11.7805, 0.266449
9,0.764933,0,0.235067, 24.252,2.49303,12.126, 0.266449
10,0.764933,0,0.235067, 21.6571,8.41773,10.8286, 0.266449
11,0.764933,0,0.235067, 25.6389,38.8192,2.64964, 0.266449
12,0.764933,0,0.235067, 26.9814,9.66295,13.4907, 0.266449
13,0.764933,0,0.235067, 27.6468,7.5361,3.2326, 0.266449
14,0.764933,0,0.235067, 32.5573,2.39759,16.2787, 0.266449
15,0.764933,0,0.235067, 22.4713,7.06891,11.2356, 0.266449
16,0.764933,0,0.235067, 26.7325,2.49928,13.3662, 0.266449
17,0.764933,0,0.235067, 21.0098,12.5173,10.5049, 0.266449
18,0.764933,0,0.235067, 21.8352,12.713,10.9176, 0.266449
19,0.764933,0,0.235067, 24.09,2.80006,12.045, 0.266449
