Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.65868,0.34132, 25.0056,4.54438,12.5028, 0.313691
1,0,0.28174,0.71826, 30.6429,2.30679,2.34124, 0.28139
1,0,0.28174,0.71826, 23.729,16.8088,11.8645, 0.220633
2,0,0.278584,0.721416, 25.5655,9.26455,12.7827, 0.218162
2,0.773136,0.226864,0, 24.7231,30.6158,12.3616, 0.0733197
3,0,0.28174,0.71826, 27.8485,2.46104,13.9242, 0.220633
3,0.174659,0.825341,0, 27.9942,15.4734,13.9971, 0.108933
4,0,0.28174,0.71826, 24.4815,2.91555,12.2408, 0.220633
4,0.64589,0.35411,0, 23.4008,4.34242,11.7004, 0.114444
5,0,0.275329,0.724671, 30.2279,5.6225,15.114, 0.215613
5,0.764933,0,0.235067, 25.1452,38.7,12.4507, 0.0694301
6,0,0.28174,0.71826, 25.1847,6.57184,12.5924, 0.220633
6,0.764933,0,0.235067, 22.6842,36.6939,11.3421, 0.0694301
7,0,0.28174,0.71826, 32.1231,9.08915,4.62165, 0.220633
7,0.764933,0,0.235067, 25.1457,1.74949,12.5729, 0.0694301
8,0.764933,8,0,0.260325,0.739675, 40.5566,6.31539,10.3497,8,0.7112738,0,0.260325,0.739675, 22.5146,6.14569,11.2573, 0.210006
9,0,0.257667,0.742333, 24.6027,15.6722,12.3013, 09,0,0.089,0,0.238177,0.761823, 25.4533,4.05047,12.7267, 0.110,0,010,0,0.260325,0.739675, 27.7083,10.2358,13.3011, 010,0.76410,0,0.260325,0.739675, 25.7889,7.42028,12.3309, 0.11,0,0.11,0,0.260325,0.739675, 39.3003,1.22474,2.38033, 0.210006
11,0,0.260325,0.739675, 35.1868,0.858284,2.45103, 0.210006
12,0,0.0761258,0.923874, 26.1196,4.85832,13.0598, 0.0760312
12,0,0.109468,0.890532, 30.3275,4.09167,2.5998, 0.0694912
13,0,0.292734,0.707266, 37.6004,1.62538,3.32689, 0.29237
13,0,0.109468,0.890532, 27.3012,52.1762,11.0643, 0.0694912
14,0,0.109468,0.890532, 24.0867,27.1098,12.0433, 0.0694912
14,0.764933,0,0.235067, 27.8923,10.2595,13.9462, 0.0694301
15,0,0.109468,0.890532, 27.7951,1.07731,13.8975, 0.0694912
15,0.764933,0,0.235067, 27.8896,0.911684,13.9448, 0.0694301
16,0,0.109468,0.890532, 25.9542,24.2881,10.6163, 0.0694912
16,0.764933,0,0.235067, 22.3734,7.35561,11.1867, 0.0694301
17,0,0.109468,0.890532, 29.0669,18.5359,9.79321, 0.0694912
17,0.764933,0,0.235067, 34.4641,1.74032,3.74253, 0.0694301
18,0,0.109468,0.890532, 26.6831,0.775706,13.3416, 0.0694912
18,0.764933,0,0.235067, 24.5227,1.68563,12.2614, 0.0694301
19,0,0.109468,0.890532, 22.6414,5.70931,11.3207, 0.0694912
19,0.764933,0,0.235067, 28.2017,10.5339,14.1008, 0.0694301
