ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.0154,0.959798,10.0077
1,0,1,0,20.3631,0.959532,10.1816
2,0,0,1,24.5904,2.81677,2.21509
3,0,0.53724,0.46276,23.0793,1.3451,2.50313
4,0,0.846378,0.153622,22.9797,1.11233,2.92948
5,0.855398,0,0.144602,20.1228,0.991811,10.0614
6,0,0.843467,0.156533,22.7405,1.10109,3.14097
7,0.80445,0,0.19555,21.1518,1.13809,4.77264
8,0.682305,0.170678,0.147016,21.3219,1.06092,5.11719
9,0.720133,0.150356,0.129511,20.3394,0.990274,10.1697
10,0,0.103907,0.896093,24.005,1.79928,2.2775
11,0,0.336313,0.663687,23.6036,1.49331,2.38093
12,0,0.929231,0.0707695,22.8182,1.09663,3.10345
13,0,0.932248,0.0677519,22.511,1.04826,3.67564
14,0.363403,0.536948,0.0996486,21.3578,1.02253,4.95289
15,0,0.722529,0.277471,22.8412,1.16827,3.10769
16,0.642388,0,0.357612,22.0015,1.31368,2.95666
17,0.682305,0.170678,0.147016,21.2908,1.11109,4.42858
18,0.474787,0.282166,0.243047,21.7672,1.05154,3.84962
19,0,0.207965,0.792035,24.2345,1.69045,2.31176
20,0,0.929231,0.0707695,22.6282,1.06669,3.27446
21,0.642388,0,0.357612,21.5071,1.06421,3.93358
22,0,0.28487,0.71513,23.9671,1.64747,2.31387
23,0,0.130281,0.869719,23.978,1.9697,2.25688
24,0.895556,0,0.104444,20.305,0.987747,10.1525
25,0,0.90362,0.0963798,22.3789,1.06429,3.74996
26,0.786472,0.114716,0.0988122,20.0993,0.988608,10.0497
27,0,0.273511,0.726489,23.6894,1.45647,2.40118
28,0,0.266848,0.733152,23.3582,1.36216,2.43415
29,0,0.228161,0.771839,24.1089,1.80689,2.29642
30,0.812475,0.100746,0.0867789,20.2442,0.985164,10.1221
31,0,0.684576,0.315424,22.6028,1.13747,2.84346
32,0.80445,0,0.19555,21.3999,1.02747,5.02841
33,0,0.812436,0.187564,23.3029,1.13965,2.81982
34,0.682305,0.170678,0.147016,21.0695,1.0403,5.19783
35,0.682305,0.170678,0.147016,20.9169,1.06173,5.42044
36,0,0.356597,0.643403,23.9524,1.51747,2.36397
37,0,0.90362,0.0963798,22.7372,1.07051,3.30262
38,0,0.227023,0.772977,23.6782,1.71829,2.32568
39,0,0.79493,0.20507,23.4043,1.17428,2.72654
40,0.680478,0,0.319522,21.9053,1.35946,3.28809
41,0,0.919414,0.0805862,23.1224,1.10846,3.05617
42,0,0.918746,0.0812539,22.5907,1.046,3.64653
43,0.471796,0.283772,0.244432,21.4968,1.14015,3.65299
44,0,0.919414,0.0805862,23.0476,1.06464,3.4314
45,0.895556,0,0.104444,20.2595,0.989161,10.1297
46,0,0.45832,0.54168,23.4489,1.30047,2.52347
47,0.491131,0,0.508869,22.3666,1.44456,2.72887
48,0,0.11988,0.88012,24.3935,1.78343,2.29538
49,0,0.334573,0.665427,23.4138,1.55113,2.39177
50,0,0.905698,0.094302,23.1003,1.07735,3.46186
51,0,0.905698,0.094302,22.2112,1.05564,3.41914
52,0.895556,0,0.104444,20.2722,0.992078,10.1361
53,0.680478,0,0.319522,21.5893,1.18205,3.54839
54,0,0.918746,0.0812539,22.1857,1.06646,3.37173
55,0,0.725882,0.274118,23.4228,1.14376,2.88085
56,0,0.784612,0.215388,23.0938,1.14322,2.85636
57,0.882031,0,0.117969,20.1761,1.00537,10.088
58,0,0.312177,0.687823,23.4427,1.45757,2.3989
59,0.895694,0,0.104306,20.2507,0.999455,10.1253
60,0,0.237706,0.762294,23.9258,1.58478,2.31589
61,0,0.407308,0.592692,23.6408,1.28172,2.5539
62,0.895556,0,0.104444,20.1505,0.980908,10.0752
63,0.80445,0,0.19555,21.6282,1.08979,3.85269
64,0,0.812143,0.187857,23.0148,1.11405,2.9471
65,0.882031,0,0.117969,20.8481,1.01109,6.44438
66,0.882031,0,0.117969,20.1858,0.984986,10.0929
67,0,0.916411,0.0835893,22.594,1.07653,3.24676
68,0,0.916892,0.0831084,22.8939,1.05914,3.46311
69,0,0.916411,0.0835893,22.5586,1.05945,3.41389
70,0.895556,0,0.104444,20.2441,0.985891,10.1221
71,0.571769,0,0.428231,22.3532,1.21736,3.20185
72,0,0.1409,0.8591,24.4282,1.94853,2.26863
73,0.882031,0,0.117969,20.0961,0.986061,10.0481
74,0.855271,0,0.144729,20.1774,0.985792,10.0887
75,0,0.307075,0.692925,23.8764,1.53313,2.36396
76,0,0.0991737,0.900826,24.2519,1.9646,2.27635
77,0,0.299433,0.700567,24.0155,1.79355,2.28398
78,0.895556,0,0.104444,20.2476,0.990951,10.1238
79,0,0.688812,0.311188,23.4546,1.17678,2.81978
80,0,0.725882,0.274118,23.0495,1.15019,2.7993
81,0,0.790379,0.209621,23.0803,1.13864,2.85582
82,0.515805,0,0.484195,21.7062,1.17138,3.53802
83,0,0.232131,0.767869,23.558,1.47674,2.36179
84,0,0.23683,0.76317,23.4939,1.60567,2.38009
85,0.882031,0,0.117969,20.325,0.994208,10.1625
86,0.882031,0,0.117969,20.2708,0.983256,10.1354
