ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.0029,0.959644,0.407334
1,0,1,0,20.1912,0.958531,0.8345
2,0,0,1,20.884,1.17806,0.222758
3,0,0.498882,0.501118,20.6749,0.984736,0.255556
4,0.766131,0,0.233869,20.5538,0.990786,0.271447
5,0,0.166572,0.833428,21.9015,1.05273,0.236853
6,0.670342,0.16446,0.165197,21.0326,1.05014,0.431298
7,0.675471,0.161902,0.162627,20.5239,0.981941,0.460048
8,0,0.963,0.0369999,20.522,0.973354,0.378933
9,0.837428,0,0.162572,20.8273,0.981421,0.457937
10,0.0982341,0.145214,0.756552,20.6487,0.99992,0.259824
11,0.112229,0.860114,0.0276574,20.7775,1.00881,0.526892
12,0,0.927376,0.0726236,20.5346,0.975561,0.403641
13,0,0.116983,0.883017,21.2817,1.06766,0.234688
14,0,0.973124,0.0268764,20.4251,0.969122,0.316573
15,0,0.982939,0.0170615,20.5351,0.996833,0.352984
16,0.0948449,0.905155,0,20.4356,0.971501,0.296542
17,0.081797,0.898045,0.0201578,20.3116,0.964956,0.404184
18,0.0509354,0.936512,0.0125524,20.5303,1.01684,0.854784
19,0.754879,0,0.245121,20.4159,0.974404,0.378022
20,0.702329,0.0138718,0.283799,20.4876,0.975971,0.270395
21,0.468853,0.0646341,0.466513,20.4157,1.01283,0.462322
22,0.716713,0.0321798,0.251107,20.2249,0.96867,0.271445
23,0.063648,0.457436,0.478915,21.2584,1.01834,0.477902
24,0,0.112928,0.887072,21.3171,1.02583,0.235416
25,0,0.0892122,0.910788,20.9077,1.13364,0.228266
26,0,0.145851,0.854149,21.5044,1.00628,0.241853
27,0,0.1209,0.8791,20.9856,0.996335,0.243783
