Iteration,w1,w2,w3,f1,f2,f3,MaxRegret,Source
-1,1,0,0,20.1494,101.356,10.0747,0,corner
-1,0,1,0,31.6239,1.7663,15.8119,0,corner
-1,0,0,1,25.4269,143.952,2.21921,0,corner
0,0,0.465335,0.534665,30.7455,2.83391,0.44189,0.459625,planned
0,0,0.465335,0.534665,30.7167,2.83298,0.44088,0,tree_path
1,0.671335,0.328665,0,21.1904,3.27268,1.53356,0.227379,planned
1,0.671335,0.328665,0,21.1904,3.27268,1.53356,0,tree_path
1,0.671335,0.328665,0,21.1904,3.27268,1.53356,0,tree_path
1,0.671335,0.328665,0,21.1904,3.2722,1.53459,0,tree_path
1,0.671335,0.328665,0,21.1981,3.26275,1.55127,0,tree_path
1,0.671335,0.328665,0,21.1905,3.27221,1.53459,0,tree_path
2,0.657841,0.159218,0.18294,20.7589,4.36837,1.29452,0.22042,planned
2,0.657841,0.159218,0.18294,20.7589,4.36837,1.29452,0,tree_path
2,0.657841,0.159218,0.18294,20.7644,4.37659,1.2833,0,tree_path
2,0.657841,0.159218,0.18294,20.7596,4.36837,1.29464,0,tree_path
2,0.657841,0.159218,0.18294,20.7589,4.36837,1.29452,0,tree_path
2,0.657841,0.159218,0.18294,20.7643,4.37661,1.28315,0,tree_path
2,0.657841,0.159218,0.18294,21.1645,4.24139,1.36858,0,tree_path
2,0.657841,0.159218,0.18294,20.8435,4.47827,1.25351,0,tree_path
2,0.657841,0.159218,0.18294,20.8927,4.48888,1.24437,0,tree_path
3,0.112583,0.412946,0.474471,21.5558,2.78032,1.76926,0.0377227,planned
3,0.112583,0.412946,0.474471,21.5558,2.78032,1.76926,0,tree_path
3,0.112583,0.412946,0.474471,21.557,2.78036,1.76925,0,tree_path
3,0.112583,0.412946,0.474471,21.5368,2.77854,1.77175,0,tree_path
3,0.112583,0.412946,0.474471,21.8827,2.83888,1.73533,0,tree_path
3,0.112583,0.412946,0.474471,21.5365,2.77854,1.77169,0,tree_path
3,0.112583,0.412946,0.474471,21.5558,2.78032,1.76926,0,tree_path
4,0.133343,0.403285,0.463371,21.4393,2.90775,1.67734,0.0446788,planned
4,0.133343,0.403285,0.463371,21.4393,2.90775,1.67734,0,tree_path
4,0.133343,0.403285,0.463371,21.4418,2.90788,1.67722,0,tree_path
4,0.133343,0.403285,0.463371,21.4393,2.90775,1.67734,0,tree_path
4,0.133343,0.403285,0.463371,21.646,3.02191,1.61466,0,tree_path
4,0.133343,0.403285,0.463371,21.5482,2.90509,1.69453,0,tree_path
4,0.133343,0.403285,0.463371,21.4466,2.90741,1.6795,0,tree_path
5,0.124934,0.407198,0.467868,21.6298,2.7114,1.86305,0.0418611,planned
5,0.124934,0.407198,0.467868,21.6298,2.7114,1.86305,0,tree_path
5,0.124934,0.407198,0.467868,21.6318,2.71134,1.86361,0,tree_path
5,0.124934,0.407198,0.467868,21.6298,2.7114,1.86305,0,tree_path
5,0.124934,0.407198,0.467868,21.6429,2.71383,1.85856,0,tree_path
6,0.141881,0.399313,0.458807,21.5475,2.8059,1.7549,0.0475393,planned
6,0.141881,0.399313,0.458807,21.5475,2.8059,1.7549,0,tree_path
6,0.141881,0.399313,0.458807,21.5475,2.8059,1.7549,0,tree_path
6,0.141881,0.399313,0.458807,21.6615,2.81264,1.75131,0,tree_path
6,0.141881,0.399313,0.458807,21.5571,2.80703,1.75254,0,tree_path
7,0.132198,0.403818,0.463984,21.3079,3.04544,1.61289,0.0442949,planned
7,0.132198,0.403818,0.463984,21.3079,3.04544,1.61289,0,tree_path
7,0.132198,0.403818,0.463984,21.3079,3.04544,1.61289,0,tree_path
7,0.132198,0.403818,0.463984,21.533,3.04244,1.63744,0,tree_path
7,0.132198,0.403818,0.463984,21.392,3.04925,1.61251,0,tree_path
8,0.931362,0.0319397,0.0366984,20.505,7.36928,1.10041,0.040674,planned
8,0.931362,0.0319397,0.0366984,20.505,7.36928,1.10041,0,tree_path
8,0.931362,0.0319397,0.0366984,20.5724,7.74871,1.04518,0,tree_path
8,0.931362,0.0319397,0.0366984,20.5124,7.62642,1.06836,0,tree_path
8,0.931362,0.0319397,0.0366984,20.505,7.36928,1.10041,0,tree_path
8,0.931362,0.0319397,0.0366984,20.6097,7.3691,1.11427,0,tree_path
9,0.118921,0.409996,0.471082,21.4357,2.91458,1.67926,0.0398464,planned
9,0.118921,0.409996,0.471082,21.4357,2.91458,1.67926,0,tree_path
9,0.118921,0.409996,0.471082,21.4357,2.91458,1.67926,0,tree_path
9,0.118921,0.409996,0.471082,21.4345,2.91454,1.67938,0,tree_path
9,0.118921,0.409996,0.471082,21.43,2.91306,1.68251,0,tree_path
9,0.118921,0.409996,0.471082,21.4389,2.91472,1.6792,0,tree_path
9,0.118921,0.409996,0.471082,21.4931,2.96036,1.64482,0,tree_path
10,0.125119,0.407112,0.467769,21.6823,2.75495,1.77758,0.0419231,planned
10,0.125119,0.407112,0.467769,21.6938,2.75381,1.78304,0,tree_path
10,0.125119,0.407112,0.467769,21.6772,2.75476,1.77749,0,tree_path
10,0.125119,0.407112,0.467769,21.8396,2.74548,1.81133,0,tree_path
10,0.125119,0.407112,0.467769,21.6881,2.75564,1.7763,0,tree_path
11,0.925169,0.0348212,0.0400093,20.4611,8.12553,1.07347,0.0482061,planned
11,0.925169,0.0348212,0.0400093,20.4801,8.12845,1.06838,0,tree_path
11,0.925169,0.0348212,0.0400093,20.412,8.12399,1.07158,0,tree_path
12,0.936565,0.0295187,0.0339168,20.5134,6.82775,1.10033,0.0378021,planned
12,0.936565,0.0295187,0.0339168,20.5134,6.82775,1.10033,0,tree_path
12,0.936565,0.0295187,0.0339168,20.5134,6.82775,1.10033,0,tree_path
12,0.936565,0.0295187,0.0339168,20.5064,6.82719,1.10144,0,tree_path
12,0.936565,0.0295187,0.0339168,20.6158,6.82507,1.12024,0,tree_path
12,0.936565,0.0295187,0.0339168,20.5484,6.83032,1.09742,0,tree_path
12,0.936565,0.0295187,0.0339168,20.7679,6.90411,1.08457,0,tree_path
12,0.936565,0.0295187,0.0339168,20.5999,6.8264,1.11371,0,tree_path
13,0.936565,0.0295187,0.0339168,20.436,9.58755,1.02705,0.0378021,planned
13,0.936565,0.0295187,0.0339168,20.436,9.58755,1.02705,0,tree_path
13,0.936565,0.0295187,0.0339168,20.4463,9.75507,0.998123,0,tree_path
13,0.936565,0.0295187,0.0339168,20.436,9.58755,1.02705,0,tree_path
13,0.936565,0.0295187,0.0339168,20.4457,9.75505,0.998147,0,tree_path
13,0.936565,0.0295187,0.0339168,20.5524,9.45178,1.06506,0,tree_path
13,0.936565,0.0295187,0.0339168,20.5564,9.4519,1.06504,0,tree_path
13,0.936565,0.0295187,0.0339168,20.6192,9.77483,0.989313,0,tree_path
14,0.936718,0.0294473,0.0338348,20.4218,9.74291,1.01484,0.0377549,planned
14,0.936718,0.0294473,0.0338348,20.4188,9.7428,1.01478,0,tree_path
14,0.936718,0.0294473,0.0338348,20.4523,9.74536,1.01079,0,tree_path
14,0.936718,0.0294473,0.0338348,20.5338,9.75062,1.00782,0,tree_path
15,0.105761,0.41612,0.478119,21.3727,3.00807,1.61146,0.0354368,planned
15,0.105761,0.41612,0.478119,21.3715,3.00806,1.61126,0,tree_path
15,0.105761,0.41612,0.478119,21.3702,3.00801,1.61126,0,tree_path
15,0.105761,0.41612,0.478119,21.4205,3.01032,1.61062,0,tree_path
16,0.119203,0.409865,0.470932,21.7415,3.04339,1.63042,0.0399407,planned
17,0.922981,0.0358396,0.0411794,20.6733,7.56578,1.08395,0.049616,planned
17,0.922981,0.0358396,0.0411794,20.6733,7.56578,1.08395,0,tree_path
17,0.922981,0.0358396,0.0411794,20.6733,7.56578,1.08395,0,tree_path
17,0.922981,0.0358396,0.0411794,20.606,7.56601,1.07403,0,tree_path
18,0.939818,0.0280046,0.032177,20.4886,13.2957,0.959093,0.0360799,planned
18,0.939818,0.0280046,0.032177,20.4886,13.2957,0.959093,0,tree_path
18,0.939818,0.0280046,0.032177,20.8723,13.5682,0.937916,0,tree_path
18,0.939818,0.0280046,0.032177,20.4886,13.2957,0.959093,0,tree_path
18,0.939818,0.0280046,0.032177,20.5118,13.2966,0.959036,0,tree_path
18,0.939818,0.0280046,0.032177,20.4887,13.2957,0.959039,0,tree_path
19,0.104096,0.416895,0.479009,21.5207,2.85942,1.71114,0.034879,planned
19,0.104096,0.416895,0.479009,21.5207,2.85942,1.71114,0,tree_path
19,0.104096,0.416895,0.479009,21.5207,2.85942,1.71114,0,tree_path
19,0.104096,0.416895,0.479009,21.535,2.85924,1.71414,0,tree_path
19,0.104096,0.416895,0.479009,21.5876,2.87395,1.6962,0,tree_path
20,0.932728,0.0313042,0.0359682,20.4601,8.82186,1.03797,0.0433372,planned
20,0.932728,0.0313042,0.0359682,20.4601,8.82186,1.03797,0,tree_path
20,0.932728,0.0313042,0.0359682,20.4601,8.82186,1.03797,0,tree_path
