Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769,10.0858, 0
-2,0,1, 0, 53.6036,0.330123,26.8018, 0
-1,0,0, 1, 25.0371,265.625,2.16954, 0
0,0,0.65868,0.34132, 38.0963,3.88848,4.75629, 0.313691
1,0.402865,0.143991,0.453145, 24.8341,3.68244,12.4171, 0.171248
1,0.480906,0.519094,0, 23.0292,3.31953,11.5146, 0.167765
1,0,0.08921,0.91079, 32.8781,4.66828,2.48787, 0.0890991
2,0.281742,0.473103,0.245156, 23.6234,3.70049,11.8117, 0.0942119
2,0,0.08921,0.91079, 38.2483,5.49807,7.82491, 0.0834424
2,0.231465,0.506219,0.262316, 23.8802,4.10098,11.9401, 0.0773999
2,0.764933,0,0.235067, 28.3264,6.72327,4.58262, 0.0694301
3,0.257579,0.489018,0.253403, 25.7139,2.57717,12.8569, 0.0861322
3,0,0.08921,0.91079, 34.9575,3.86655,3.2613, 0.0834424
3,0.248715,0.494856,0.256428, 26.6886,4.93679,3.75433, 0.0831683
3,0.764933,0,0.235067, 22.4835,5.45909,11.2417, 0.0694301
4,0.624586,0.247278,0.128136, 23.3837,3.93305,11.6919, 0.102084
4,0.698816,0.198384,0.1028, 24.3014,3.76657,12.1507, 0.0818993
4,0.764933,0,0.235067, 23.7584,2.78276,11.8792, 0.0694301
4,0.739231,0.171764,0.0890058, 21.4391,11.8224,10.7196, 0.0630637
5,0.267259,0.482642,0.250099, 22.9795,2.68146,11.4897, 0.0893692
5,0.243686,0.498169,0.258145, 23.19,4.25553,11.595, 0.0814866
5,0.698816,0.198384,0.1028, 22.4631,3.01774,11.2315, 0.0728373
5,0.764933,0,0.235067, 21.5645,34.1599,10.7822, 0.0694301
6,0.240384,0.500344,0.259272, 22.6656,2.68713,11.3328, 0.0803825
6,0.226876,0.509242,0.263883, 26.9872,2.36882,13.4936, 0.0758653
6,0.764933,0,0.235067, 24.0146,2.38014,12.0073, 0.0694301
6,0.243686,0.498169,0.258145, 21.7632,3.97399,10.8816, 0.0539314
7,0.563926,0.287233,0.148841, 21.5639,4.02665,10.7819, 0.118579
7,0.21911,0.514357,0.266533, 30.8695,3.33013,3.4844, 0.0732684
7,0.764933,0,0.235067, 22.4174,4.00819,11.2087, 0.0694301
7,0.240384,0.500344,0.259272, 26.2344,2.78532,13.1172, 0.0532006
8,0.591942,0.26878,0.139278, 22.0137,5.97751,11.0069, 0.110961
8,0.764933,0,0.235067, 20.9909,17.5881,10.4955, 0.0694301
8,0.199946,0.52698,0.273074, 27.944,4.48245,3.64179, 0.0668601
8,0.243686,0.498169,0.258145, 28.646,4.49635,2.85763, 0.0539314
9,0.662518,0.222292,0.115189, 23.7408,3.85854,11.8704, 0.0917696
9,0.22032,0.51356,0.26612, 28.2105,3.99299,3.2514, 0.0736731
9,0.764933,0,0.235067, 22.5979,3.31297,11.299, 0.0694301
9,0.184263,0.605197,0.21054, 25.2644,2.61746,12.6322, 0.0522193
10,0.659783,0.224094,0.116123, 25.8314,2.13466,12.9157, 0.0925135
10,0.252625,0.492281,0.255094, 25.1147,4.71065,12.5573, 0.0844756
10,0.764933,0,0.235067, 24.7835,32.1481,3.13159, 0.0694301
10,0.568346,0.284322,0.147332, 27.8832,2.17929,13.9416, 0.0667662
11,0.620128,0.250214,0.129658, 23.1291,4.53642,11.5646, 0.103297
11,0.295099,0.464305,0.240597, 22.6647,4.25448,11.3324, 0.0986784
11,0.659783,0.224094,0.116123, 25.2165,7.98241,3.4397, 0.084528
11,0.662518,0.222292,0.115189, 21.8077,4.41541,10.9039, 0.0838332
12,0.24028,0.500412,0.259307, 24.7962,2.62057,12.3981, 0.0803476
12,0.227235,0.509005,0.26376, 22.97,3.4578,11.485, 0.0759855
12,0.764933,0,0.235067, 22.7933,2.69147,11.3966, 0.0694301
12,0.747452,0.166348,0.0861996, 28.1978,2.34908,14.0989, 0.0627463
13,0.275127,0.47746,0.247413, 23.1424,2.57491,11.5712, 0.092
13,0.659783,0.224094,0.116123, 21.4481,9.84038,10.724, 0.084528
13,0.230697,0.506725,0.262578, 25.0237,2.7749,12.5118, 0.077143
13,0.764933,0,0.235067, 22.206,7.19541,11.103, 0.0694301
14,0.282468,0.472624,0.244908, 22.1203,3.76137,11.0601, 0.0944547
14,0.230427,0.506903,0.262671, 28.2975,3.61761,2.95707, 0.0770527
14,0.764933,0,0.235067, 22.333,8.86953,11.1665, 0.0694301
14,0.252625,0.492281,0.255094, 22.5426,2.60001,11.2713, 0.056006
15,0.660948,0.223327,0.115725, 28.3636,4.01461,4.24893, 0.0921967
15,0.211543,0.519341,0.269116, 22.8664,2.55965,11.4332, 0.0707381
15,0.764933,0,0.235067, 23.7413,2.64277,11.8706, 0.0694301
15,0.526918,0.31161,0.161472, 21.4114,4.65493,10.7057, 0.0584027
16,0.645335,0.233611,0.121054, 23.5189,2.47435,11.7595, 0.0964422
