Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769,10.0858, 0
-2,0,1, 0, 53.6036,0.330123,26.8018, 0
-1,0,0, 1, 25.0371,265.625,2.16954, 0
0,0,0.65868,0.34132, 24.3043,3.60962,12.1522, 0.313691
1,0,0.274096,0.725904, 24.1342,3.46384,12.0671, 0.273755
1,0,0.274096,0.725904, 25.6973,25.9011,12.4428, 0.217469
2,0,0.272286,0.727714, 23.9467,2.29492,11.9733, 0.271948
2,0,0.274096,0.725904, 22.2043,3.51575,11.1021, 0.217469
3,0,0.269527,0.730473, 26.0749,2.42793,13.0375, 0.269192
3,0,0.272286,0.727714, 23.031,10.3602,11.5155, 0.216034
4,0,0.290394,0.709606, 25.4839,3.99042,12.742, 0.290033
4,0,0.266249,0.733751, 29.9623,2.20189,14.9811, 0.211244
5,0,0.285961,0.714039, 28.1189,2.93439,14.0595, 0.285605
6,0,0.309668,0.690332, 32.8075,2.29143,16.4038, 0.309284
6,0,0.252478,0.747522, 23.4007,16.943,11.7004, 0.200318
7,0,0.348837,0.651163, 29.6453,8.55572,14.8226, 0.348403
7,0,0.274096,0.725904, 36.2858,2.47303,18.1429, 0.217469
8,0,0.274096,0.725904, 23.8038,4.94811,11.9019, 0.217469
9,0,0.270082,0.729918, 30.8753,5.18008,15.4376, 0.214285
9,0.764933,0,0.235067, 24.3448,2.80786,12.1724, 0.0694301
10,0,0.274096,0.725904, 31.8364,2.74852,15.9182, 0.217469
10,0.764933,0,0.235067, 22.2849,50.6591,11.1424, 0.0694301
11,0,0.274096,0.725904, 26.3066,3.21148,13.1533, 0.217469
11,0.764933,0,0.235067, 22.978,5.00846,11.489, 0.0694301
12,0,0.274096,0.725904, 29.2571,9.76161,10.8561, 0.217469
12,0.764933,0,0.235067, 22.6837,9.09121,11.3418, 0.0694301
13,0,0.251758,0.748242, 22.5235,3.8759,11.2618, 0.199747
13,0.764933,0,0.235067, 25.3717,8.26318,12.6858, 0.0694301
14,0,0.256098,0.743902, 22.1126,11.4584,11.0563, 0.20319
14,0.764933,0,0.235067, 23.9272,42.9873,11.9636, 0.0694301
15,0,0.257345,0.742655, 28.2118,3.0104,14.1059, 0.204179
15,0.764933,0,0.235067, 22.6337,3.2498,11.3168, 0.0694301
16,0,0.274096,0.725904, 25.3447,2.43791,12.6724, 0.217469
16,0.764933,0,0.235067, 23.9781,12.929,11.9891, 0.0694301
17,0,0.274096,0.725904, 23.0668,4.14373,11.5334, 0.217469
17,0.764933,0,0.235067, 30.7969,3.32278,15.3984, 0.0694301
18,0,0.261944,0.738056, 23.3194,3.82384,11.6597, 0.207828
18,0.764933,0,0.235067, 22.3878,13.4866,11.1939, 0.0694301
19,0,0.264305,0.735695, 26.6871,3.70177,13.3435, 0.209701
19,0.764933,0,0.235067, 24.6236,3.79923,12.3118, 0.0694301
20,0,0.274096,0.725904, 24.4953,18.915,12.2476, 0.217469
20,0.764933,0,0.235067, 24.2337,6.36543,12.1168, 0.0694301
21,0,0.274096,0.725904, 25.8037,6.98741,12.9018, 0.217469
21,0.764933,0,0.235067, 22.234,34.3462,11.117, 0.0694301
22,0,0.274096,0.725904, 23.5782,4.01897,11.7891, 0.217469
22,0.764933,0,0.235067, 22.2166,37.1625,11.1083, 0.0694301
23,0,0.267092,0.732908, 25.9712,13.3047,11.2191, 0.211913
23,0.764933,0,0.235067, 25.4822,24.3922,12.7411, 0.0694301
24,0,0.262239,0.737761, 24.6799,3.3271,12.3399, 0.208062
24,0.764933,0,0.235067, 22.5863,54.5734,11.2932, 0.0694301
