ID,Weights
0,0;0;1
1,0;0.0333333;0.966667
2,0;0.0666667;0.933333
3,0;0.1;0.9
4,0;0.133333;0.866667
5,0;0.166667;0.833333
6,0;0.2;0.8
7,0;0.233333;0.766667
8,0;0.266667;0.733333
9,0;0.3;0.7
10,0;0.333333;0.666667
11,0;0.366667;0.633333
12,0;0.4;0.6
13,0;0.433333;0.566667
14,0;0.466667;0.533333
15,0;0.5;0.5
16,0;0.533333;0.466667
17,0;0.566667;0.433333
18,0;0.6;0.4
19,0;0.633333;0.366667
20,0;0.666667;0.333333
21,0;0.7;0.3
22,0;0.733333;0.266667
23,0;0.766667;0.233333
24,0;0.8;0.2
25,0;0.833333;0.166667
26,0;0.866667;0.133333
27,0;0.9;0.1
28,0;0.933333;0.0666667
29,0;0.966667;0.0333333
30,0;1;0
31,0.0333333;0;0.966667
32,0.0333333;0.0333333;0.933333
33,0.0333333;0.0666667;0.9
34,0.0333333;0.1;0.866667
35,0.0333333;0.133333;0.833333
36,0.0333333;0.166667;0.8
37,0.0333333;0.2;0.766667
38,0.0333333;0.233333;0.733333
39,0.0333333;0.266667;0.7
40,0.0333333;0.3;0.666667
41,0.0333333;0.333333;0.633333
42,0.0333333;0.366667;0.6
43,0.0333333;0.4;0.566667
44,0.0333333;0.433333;0.533333
45,0.0333333;0.466667;0.5
46,0.0333333;0.5;0.466667
47,0.0333333;0.533333;0.433333
48,0.0333333;0.566667;0.4
49,0.0333333;0.6;0.366667
50,0.0333333;0.633333;0.333333
51,0.0333333;0.666667;0.3
52,0.0333333;0.7;0.266667
53,0.0333333;0.733333;0.233333
54,0.0333333;0.766667;0.2
55,0.0333333;0.8;0.166667
56,0.0333333;0.833333;0.133333
57,0.0333333;0.866667;0.1
58,0.0333333;0.9;0.0666667
59,0.0333333;0.933333;0.0333333
60,0.0333333;0.966667;0
61,0.0666667;0;0.933333
62,0.0666667;0.0333333;0.9
63,0.0666667;0.0666667;0.866667
64,0.0666667;0.1;0.833333
65,0.0666667;0.133333;0.8
66,0.0666667;0.166667;0.766667
67,0.0666667;0.2;0.733333
