Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 20.1717,86.1769, 
-1,0,1, 53.6036,0.330123, 
0,0.614974,0.385026, 25.1739,2.1591, 0.383551
1,0.912645,0.087355, 20.6785,3.6835, 0.0721461
2,0.0384768,0.961523, 26.7467,0.611818, 0.0198956
3,0.99022,0.00977972, 21.466,2.94851, 0.00839573
4,0.379625,0.620375, 21.5042,2.38901, 0.00658691
5,0.174141,0.825859, 23.7228,0.870134, 0.00967701
6,0.298653,0.701347, 23.1111,1.08676, 0.00289555
7,0.00648189,0.993518, 39.995,0.369805, 0.00271813
8,0.011235,0.988765, 33.3876,0.444028, 0.0010116
9,0.335148,0.664852, 22.9914,1.04636, 0.000903857
10,0.0504554,0.949545, 27.2436,0.607621, 0.000648806
11,0.359602,0.640398, 22.99,1.06817, 0.000476968
12,0.0154727,0.984527, 31.6715,0.457869, 0.000450307
13,0.00181049,0.99819, 44.7823,0.355729, 0.000331854
14,0.0190732,0.980927, 30.1553,0.490868, 0.000284444
15,0.0215945,0.978406, 29.8658,0.517978, 0.000142577
16,0.180497,0.819503, 22.2812,1.30163, 8.39964e-05
17,0.00693885,0.993061, 38.8067,0.376555, 5.12679e-05
18,0.0076853,0.992315, 37.3263,0.39137, 6.28335e-05
