Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.304206,0.695794, 34.6932,0.990481,2.3508, 0.355969
1,0.521371,0.096862,0.381767, 22.6126,5.04884,11.3063, 0.295174
2,0.524119,0.144766,0.331115, 21.278,4.11999,10.639, 0.292741
3,0.512725,0.148232,0.339043, 26.1213,3.44755,2.93704, 0.287644
4,0.716367,0.0862826,0.19735, 22.9485,1.95058,11.4742, 0.269294
5,0.520619,0.14583,0.333551, 26.9812,3.00983,2.83419, 0.291175
6,0.690567,0.0941311,0.215302, 22.3541,9.4405,11.1771, 0.272441
7,0.509192,0.149306,0.341501, 27.3497,3.72349,3.37768, 0.286064
8,0.667297,0.10121,0.231493, 21.2773,7.85545,10.6387, 0.275279
9,0.471204,0.160863,0.367933, 31.6677,3.39755,3.19671, 0.269072
10,0.560626,0.13366,0.305714, 23.0834,8.75211,11.5417, 0.288289
11,0.524119,0.144766,0.331115, 22.3857,4.42179,11.1929, 0.292741
12,0.504183,0.15083,0.344986, 21.7213,2.43426,10.8606, 0.283824
13,0.479098,0.158461,0.362441, 26.3774,5.10918,4.27522, 0.272603
14,0.677934,0.0979743,0.224092, 22.501,5.32448,11.2505, 0.273981
15,0.509229,0.149295,0.341476, 23.3886,6.4859,11.6943, 0.286081
16,0.524119,0.144766,0.331115, 21.481,3.1774,10.7405, 0.292741
17,0.471966,0.160631,0.367403, 25.8644,4.60705,2.97759, 0.269413
18,0.723548,0.0840982,0.192354, 21.6475,5.32929,10.8237, 0.268418
19,0.480312,0.158092,0.361596, 22.2047,2.08952,11.1024, 0.273146
