Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.65868,0.34132, 23.8796,1.94491,11.9398, 0.313691
1,0,0.268592,0.731408, 38.6985,0.686673,2.36765, 0.268258
1,0,0.268592,0.731408, 27.2533,28.1691,11.3975, 0.215889
1,0.820927,0.179073,0, 24.103,1.62512,12.0515, 0.0578741
2,0,0.268592,0.731408, 37.9466,0.700215,2.34509, 0.215889
2,0.764933,0,0.235067, 24.2389,1.26509,12.1195, 0.0694301
2,0.81274,0.18726,0, 22.9741,1.41335,11.487, 0.06052
2,0.728133,0.179073,0.0927934, 23.7305,2.61832,11.8653, 0.0503667
3,0.764933,0,0.235067, 23.3491,2.36824,11.6745, 0.0694301
3,0.728133,0.179073,0.0927934, 22.8728,3.57928,11.4364, 0.0503667
3,0.735423,0.174272,0.0903054, 23.5731,3.69084,11.7865, 0.0490163
3,0.859232,0.140768,0, 21.9565,5.35525,10.9783, 0.0454945
4,0.764933,0,0.235067, 24.8528,55.8173,2.83778, 0.0694301
4,0.742411,0.169669,0.0879202, 21.8814,1.66114,10.9407, 0.0477216
4,0.788285,0.139453,0.0722625, 24.8166,2.86331,12.4083, 0.0392229
4,0.901363,0.0986367,0, 24.7547,26.036,12.3773, 0.0318782
5,0.15241,0.84759,0, 26.1664,0.910766,13.0832, 0.0950561
5,0.764933,0,0.235067, 22.0034,36.0532,11.0017, 0.0694301
5,0.728133,0.179073,0.0927934, 21.3391,3.4514,10.6696, 0.0503667
5,0.861675,0.0911122,0.0472132, 23.2354,2.35893,11.6177, 0.0256265
6,0.741625,0.258375,0, 26.4151,13.56,4.67587, 0.0835036
6,0.741625,0.258375,0, 25.4869,1.98992,12.7435, 0.077743
6,0.764933,0,0.235067, 25.015,9.51474,12.5075, 0.0694301
6,0.767186,0.15335,0.079464, 22.6116,14.5311,11.3058, 0.0431317
7,0.701239,0.298761,0, 21.5126,3.51596,10.7563, 0.0965561
7,0.741625,0.258375,0, 22.3009,2.04679,11.1504, 0.077743
7,0.761696,0.238304,0, 22.2725,6.10697,11.1363, 0.0717039
7,0.764933,0,0.235067, 23.2364,10.6844,11.6182, 0.0694301
8,0.764933,0,0.235067, 31.7481,8.54527,6.24211, 0.0694301
8,0.780794,0.144387,0.0748194, 26.3038,1.45905,13.1519, 0.0406108
8,0.884944,0.115056,0, 24.0151,27.9115,12.0075, 0.0346195
8,0.888564,0.111436,0, 23.4209,6.33449,11.7104, 0.0335302
9,0.716936,0.283064,0, 21.3293,6.34617,10.6647, 0.0744854
9,0.764933,0,0.235067, 23.6633,12.4442,11.8316, 0.0694301
9,0.832184,0.167816,0, 26.9154,5.99936,4.10278, 0.0504946
9,0.728133,0.179073,0.0927934, 22.788,8.37667,11.394, 0.0503667
10,0.741625,0.258375,0, 23.0621,7.92704,11.5311, 0.077743
10,0.764933,0,0.235067, 23.1828,16.0708,11.5914, 0.0694301
10,0.783147,0.142837,0.0740161, 21.5282,4.43322,10.7641, 0.0401747
10,0.925598,0.0744021,0, 24.3638,20.1366,12.0272, 0.0240458
11,0.760713,0.239287,0, 26.5778,1.11404,13.2889, 0.0773345
11,0.764933,0,0.235067, 28.2395,1.15522,14.1198, 0.0694301
11,0.845279,0.154721,0, 24.1985,15.3794,12.0993, 0.0465545
11,0.888564,0.111436,0, 21.4131,5.09369,10.7065, 0.0225894
12,0.728232,0.271768,0, 20.99,4.06153,10.495, 0.087832
12,0.764933,0,0.235067, 24.3603,8.38648,3.53812, 0.0694301
12,0.780121,0.219879,0, 30.4735,1.18483,15.2368, 0.0661598
12,0.634219,0.365781,0, 23.5943,2.04053,11.7971, 0.0234732
13,0.741625,0.258375,0, 27.1515,21.7185,11.9652, 0.077743
13,0.764933,0,0.235067, 22.8328,76.0362,11.4164, 0.0694301
13,0.888564,0.111436,0, 23.9208,1.7016,11.9604, 0.0225894
13,0.845279,0.154721,0, 22.6674,2.85111,11.3337, 0.0216321
14,0.741625,0.258375,0, 21.8537,1.85997,10.9269, 0.077743
14,0.764933,0,0.235067, 22.565,25.7296,11.2825, 0.0694301
14,0.888564,0.111436,0, 24.9453,3.79071,12.4726, 0.0225894
14,0.845279,0.154721,0, 27.4378,19.2614,3.33907, 0.0216321
15,0.764933,0,0.235067, 24.2144,4.93327,12.1072, 0.0694301
15,0.910039,0.0899608,0, 26.7486,38.8393,13.3743, 0.0270685
15,0.888564,0.111436,0, 21.8746,3.83627,10.9373, 0.0225894
15,0.845279,0.154721,0, 21.9733,8.80386,10.9866, 0.0216321
16,0.741625,0.258375,0, 25.2465,3.64099,12.6232, 0.077743
16,0.764933,0,0.235067, 20.8281,29.0514,10.414, 0.0694301
16,0.884645,0.0759822,0.039373, 24.487,4.71962,12.2435, 0.021371
