Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.65868,0.34132, 25.2552,2.10296,12.6276, 0.313691
1,0,0.282286,0.717714, 23.7538,7.71787,11.8769, 0.281935
1,0,0.282286,0.717714, 25.1716,2.76938,12.5858, 0.222974
2,0,0.271683,0.728317, 29.8063,1.30932,14.9032, 0.271346
2,0,0.281988,0.718012, 23.9089,4.1951,11.9545, 0.222739
3,0,0.323161,0.676839, 26.5972,21.7791,13.2986, 0.32276
3,0,0.271683,0.728317, 36.982,0.914656,2.42417, 0.214599
4,0,0.311447,0.688553, 28.6371,5.91175,14.3185, 0.31106
4,0,0.270575,0.729425, 28.8904,7.27413,12.6861, 0.213724
5,0,0.316757,0.683243, 23.8127,13.9103,11.9064, 0.316363
5,0,0.282286,0.717714, 26.6282,29.8786,13.3141, 0.222974
6,0,0.277125,0.722875, 23.7626,4.05217,11.8813, 0.276781
6,0,0.282286,0.717714, 37.0278,1.10451,2.42963, 0.222974
7,0,0.268989,0.731011, 29.349,1.28908,14.1772, 0.268655
7,0.769454,0.230546,0, 24.2857,8.31855,12.1429, 0.0745095
8,0,0.31044,0.68956, 39.289,0.725865,2.41922, 0.310054
8,0.764933,0,0.235067, 23.537,3.80727,11.7685, 0.0694301
9,0.764933,0,0.235067, 23.8898,9.55796,11.9449, 0.0694301
9,0.792494,0.207506,0, 26.0059,5.54942,13.0013, 0.0670635
10,0.736068,0.263932,0, 25.2931,1.67254,12.6466, 0.0852995
10,0.764933,0,0.235067, 22.3574,94.3599,11.1787, 0.0694301
11,0.76904,0.23096,0, 22.1205,6.598,11.0602, 0.0746434
11,0.764933,0,0.235067, 30.1721,1.79255,15.0861, 0.0694301
12,0.764933,0,0.235067, 24.5229,1.92151,12.2614, 0.0694301
12,0.652303,0.229021,0.118676, 26.7093,0.923776,13.3546, 0.0612336
13,0.764933,0,0.235067, 34.1527,0.980131,17.0763, 0.0694301
13,0.649988,0.230546,0.119466, 24.9191,2.04116,12.4596, 0.0616413
14,0.764933,0,0.235067, 22.7321,11.9935,11.366, 0.0694301
14,0.668257,0.218513,0.11323, 29.1996,0.836411,14.5998, 0.0584239
15,0.764933,0,0.235067, 30.3907,0.716363,15.1954, 0.0694301
15,0.649988,0.230546,0.119466, 24.5909,59.1081,11.6636, 0.0616413
16,0.764933,0,0.235067, 27.6039,2.74278,13.8019, 0.0694301
16,0.649988,0.230546,0.119466, 22.714,6.49115,11.357, 0.0616413
17,0.764933,0,0.235067, 29.0426,74.6143,9.60623, 0.0694301
17,0.684966,0.207507,0.107527, 26.0877,4.94341,13.0438, 0.0554812
18,0.764933,0,0.235067, 23.5501,17.3087,11.775, 0.0694301
18,0.649988,0.230546,0.119466, 23.803,3.06655,11.9015, 0.0616413
19,0.764933,0,0.235067, 25.5782,5.36457,12.7891, 0.0694301
19,0.729798,0.177977,0.0922252, 24.4996,13.1484,12.2498, 0.0475857
