Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.65868,0.34132, 27.3196,44.8266,11.6049, 0.313691
1,0,0.297512,0.702488, 26.4241,8.6263,13.2121, 0.297142
1,0,0.297512,0.702488, 27.0675,18.5035,4.53037, 0.193031
1,0.25464,0.74536,0, 25.1566,4.84523,12.5783, 0.158815
2,0,0.298657,0.701343, 27.7714,1.99256,13.8857, 0.298286
2,0,0.297512,0.702488, 31.6238,0.684905,15.8119, 0.193031
2,0.624914,0.0556842,0.319402, 26.3994,3.0223,13.1997, 0.0969447
2,0.632499,0.109336,0.258165, 24.3643,7.7701,12.1821, 0.0813676
2,0.767035,0.232965,0, 24.93,5.88624,12.465, 0.0752913
3,0,0.30577,0.69423, 32.3849,0.809825,16.1924, 0.30539
3,0,0.297512,0.702488, 28.1368,42.8041,14.0684, 0.193031
3,0.632499,0.109336,0.258165, 23.7409,52.1685,11.8704, 0.0813676
3,0.632499,0.109336,0.258165, 25.0914,6.11421,12.5457, 0.0813676
3,0.772994,0.227006,0, 24.5597,2.08977,12.2798, 0.0733657
4,0,0.34418,0.65582, 26.7899,1.41003,13.395, 0.343752
4,0,0.297512,0.702488, 28.9674,1.03292,14.4837, 0.193031
4,0.632499,0.109336,0.258165, 28.8568,22.091,4.93372, 0.0813676
4,0.632499,0.109336,0.258165, 25.9578,36.4024,12.9789, 0.0813676
4,0.764933,0,0.235067, 23.7686,6.05312,11.8843, 0.0694301
5,0,0.296303,0.703697, 24.021,39.4586,12.0105, 0.295935
5,0,0.297512,0.702488, 24.5656,2.80775,12.2828, 0.193031
5,0.632499,0.109336,0.258165, 33.8132,70.089,9.13778, 0.0813676
5,0.632499,0.109336,0.258165, 25.2524,50.7208,12.6262, 0.0813676
5,0.764933,0,0.235067, 24.9434,3.55126,12.4717, 0.0694301
6,0,0.301302,0.698698, 29.4229,1.12966,14.7115, 0.300928
6,0,0.276079,0.723921, 27.6425,34.5458,12.8666, 0.179125
6,0.632499,0.109336,0.258165, 24.373,1.34338,12.1865, 0.0813676
6,0.632499,0.109336,0.258165, 24.4971,14.0862,12.2486, 0.0813676
6,0.764933,0,0.235067, 24.5198,93.4225,12.2599, 0.0694301
7,0,0.319705,0.680295, 26.0311,78.2373,13.0156, 0.319307
7,0,0.297512,0.702488, 27.2924,3.34078,13.6462, 0.193031
7,0.632499,0.109336,0.258165, 23.8008,112.546,11.9004, 0.0813676
7,0.632499,0.109336,0.258165, 23.6905,72.7596,11.8452, 0.0813676
7,0.764933,0,0.235067, 26.2922,4.97983,13.1461, 0.0694301
8,0,0.364528,0.635472, 25.8734,1.27732,12.9367, 0.364075
8,0,0.297512,0.702488, 28.0477,2.20699,14.0239, 0.193031
8,0.632499,0.109336,0.258165, 25.2223,41.8261,12.6111, 0.0813676
8,0.632499,0.109336,0.258165, 25.3122,6.30347,12.6561, 0.0813676
8,0.764933,0,0.235067, 27.4018,22.0891,3.44412, 0.0694301
9,0,0.287584,0.712416, 29.2578,1.30318,14.6289, 0.287226
9,0,0.297512,0.702488, 24.9596,9.82116,12.4798, 0.193031
9,0,0.287584,0.712416, 26.7151,35.9761,13.3576, 0.0847971
9,0.632499,0.109336,0.258165, 26.48,45.1442,13.24, 0.0813676
9,0.632499,0.109336,0.258165, 23.5951,76.0466,11.7976, 0.0813676
