Length, Risk, TravelTime, Paths.x, Paths.y , Fitness, Weights
25.0371,265.625,2.16954,"1;1.04201;1.04046;1.03811;1.08996;1.13306;1.24568;1.34963;1.73069;2.15104;2.48523;2.9168;3.33581;3.52755;4.00665;4.32791;4.51771;4.98001;5.34721;5.57489;5.86968;6.18643;6.52809;6.87052;7.16237;7.54555;7.96572;8.41794;8.66346;8.96993;9.34502;9.80984;9.99162;10.2951;10.7767;10.9548;11.3799;11.7156;12.1151;12.275;12.6637;12.8332;13.2223;13.5304;13.9481;14.3417;14.639;15.0788;15.5027;15.862;16.3395;16.6492;16.9903;17.3835;17.6102;17.9984;18.386;18.591;19.0586;19.4311;19.7167;19.9916;20.4602;20.6855;21.151;21.1325;21.1027;21.0279;21.0248;21","15;14.7189;14.4255;14.1166;13.695;13.2356;12.8798;12.8555;12.7266;12.5507;12.4387;12.3248;12.1904;12.1428;12.0036;11.8941;11.8262;11.7246;11.6242;11.549;11.4427;11.3489;11.2521;11.127;11.0467;10.9323;10.7902;10.6351;10.5492;10.4341;10.2866;10.1308;10.0659;9.9655;9.85434;9.85958;9.91591;9.96834;10.0991;10.161;10.3135;10.3743;10.5204;10.6174;10.7275;10.8505;10.9448;11.0528;11.1724;11.2769;11.4237;11.5368;11.6762;11.7946;11.8568;11.9706;12.1256;12.1895;12.3384;12.4544;12.5618;12.6432;12.7708;12.8369;12.9886;13.2707;13.7565;14.2459;14.6685;15",2.16954,"0;0;1"
28.6662,1.46811,2.19849,"1;1.00054;1.02327;1.04027;1.06689;1.08468;1.07558;1.39009;1.56417;1.83085;1.99987;2.23714;2.48509;2.74448;2.99353;3.18351;3.50273;3.75728;4.04062;4.22658;4.56399;4.63178;4.96102;5.19695;5.55158;5.61878;6.01602;6.20808;6.63122;7.02638;7.29981;7.59688;8.03857;8.46532;8.91112;9.3646;9.47976;9.89494;10.2507;10.5535;10.902;11.2462;11.6824;12.0559;12.5299;12.933;13.2695;13.5949;13.8224;14.1612;14.5887;14.7641;15.1616;15.3103;15.5924;15.8042;15.9653;16.301;16.6467;16.8723;17.18;17.2985;17.6325;17.7924;18.0655;18.3578;18.6683;18.7952;19.1183;19.2992;19.5127;19.7955;20.0901;20.2627;20.5119;20.8071;21.0625;21.0557;20.9623;20.9523;20.9876;20.9939;21","15;14.7216;14.3097;14.0206;13.5967;13.229;12.8851;12.5119;12.3265;12.0068;11.8685;11.6131;11.3743;11.102;10.8391;10.6497;10.3505;10.1419;9.87425;9.70739;9.39436;9.33395;9.04482;8.83748;8.56158;8.50695;8.25703;8.13266;7.88589;7.63832;7.50936;7.37618;7.17055;6.99733;6.90086;6.756;6.7117;6.6361;6.5851;6.55026;6.53706;6.53217;6.54715;6.58205;6.64691;6.76073;6.86976;6.9555;7.02669;7.15319;7.31894;7.4147;7.63515;7.71987;7.90455;8.02914;8.13146;8.3311;8.54664;8.70283;8.93484;9.0336;9.31063;9.44992;9.73387;9.97209;10.3246;10.4698;10.7875;10.9675;11.1929;11.5231;11.86;12.0862;12.3471;12.6832;12.9993;13.2501;13.6438;14.0236;14.42;14.7178;15",2.17415,"0;0.0333333;0.966667"
30.1224,1.13916,2.21732,"1;1.01334;1.09328;1.11566;1.13253;1.13497;1.1095;1.15703;1.26658;1.3905;1.58947;1.80073;2.08021;2.25812;2.3545;2.59785;2.90139;3.11005;3.30963;3.64787;3.83505;4.06658;4.27197;4.58226;4.86891;5.17246;5.55328;5.97065;6.23452;6.57923;6.92595;7.2322;7.59664;7.95609;8.42442;8.80496;9.27056;9.60633;10.062;10.3142;10.7998;11.1428;11.4843;11.7009;12.0463;12.4725;12.8566;13.3218;13.7896;14.1767;14.5311;14.9539;15.2934;15.7054;15.9928;16.3085;16.7118;16.9808;17.262;17.609;17.8289;18.0785;18.4038;18.4838;18.7611;18.8563;19.106;19.3499;19.4974;19.6689;19.8043;19.9701;20.0575;20.3077;20.5794;20.8152;20.9636;20.9029;20.8711;20.8913;20.894;20.9506;20.9598;21","15;14.9375;14.5;14.3468;13.8511;13.5707;13.1357;12.8459;12.6316;12.4029;12.0666;11.7449;11.3977;11.1235;10.936;10.6134;10.2543;9.98915;9.77494;9.41023;9.22047;8.94667;8.69827;8.43942;8.16634;7.84495;7.54131;7.28216;7.11416;6.77048;6.57639;6.4402;6.30716;6.08464;5.95642;5.82578;5.71938;5.642;5.59615;5.55967;5.55228;5.5692;5.59225;5.63111;5.69384;5.81107;5.90675;6.04219;6.17845;6.29411;6.47367;6.68965;6.86303;7.07893;7.26298;7.46377;7.7529;7.9791;8.17772;8.4558;8.63487;8.82368;9.16305;9.25777;9.55788;9.6732;10.0406;10.3928;10.5852;10.8499;11.0419;11.3462;11.4746;11.8903;12.279;12.6095;12.8459;13.1108;13.3005;13.6768;14.0888;14.4749;14.6153;15",2.14544,"0;0.0666667;0.933333"
31.6264,0.943973,2.24622,"1;1.03188;1.05046;1.05881;1.06954;1.10739;1.27234;1.38879;1.49354;1.59183;1.77586;1.86366;1.9249;2.07254;2.14287;2.3443;2.48967;2.61535;2.72215;2.87322;3.16038;3.38361;3.56379;3.67958;4.05397;4.39706;4.51184;4.8212;5.18685;5.54331;5.82058;6.18181;6.53512;6.65399;6.96159;7.25936;7.52588;7.81905;8.26535;8.68859;9.02031;9.34209;9.66709;9.8381;10.2921;10.7459;11.0018;11.3478;11.83;11.9863;12.2838;12.7632;13.195;13.5782;13.7095;14.1689;14.5303;14.9137;15.1649;15.4466;15.6938;16.0251;16.272;16.4611;16.8252;17.0292;17.3635;17.5584;17.86;18.1737;18.3013;18.5351;18.7372;18.992;19.2374;19.3543;19.5352;19.6603;19.8501;19.9299;20.0859;20.1968;20.308;20.4137;20.5655;20.5873;20.6468;20.6929;20.7941;20.8729;20.9116;21","15;14.7365;14.3007;13.8216;13.4545;13.1161;12.7666;12.3493;11.9853;11.6059;11.164;10.964;10.83;10.5191;10.3658;9.94044;9.69858;9.5109;9.3435;9.02763;8.7388;8.47574;8.25473;8.07206;7.74712;7.45094;7.33591;7.0562;6.75107;6.5062;6.2921;6.04214;5.83246;5.75942;5.57283;5.4115;5.29443;5.2009;5.09645;4.97183;4.90885;4.84393;4.79669;4.78089;4.74342;4.74047;4.72148;4.70694;4.76295;4.77669;4.80842;4.9227;5.03787;5.16722;5.19524;5.33403;5.48251;5.6147;5.73209;5.87495;6.039;6.28599;6.5252;6.6867;6.95906;7.11936;7.36584;7.53592;7.79197;8.14044;8.27664;8.61047;8.92861;9.25869;9.68974;9.92658;10.2349;10.503;10.9065;11.1727;11.5472;11.8323;12.1625;12.4458;12.9129;12.9934;13.2748;13.586;14.0118;14.4202;14.6636;15",2.116,"0;0.1;0.9"
33.1822,0.840565,2.2463,"1;1.03687;1.02426;0.998971;0.977183;1.04068;1.03475;1.117;1.17157;1.1518;1.25341;1.36417;1.51321;1.70496;1.80351;1.91959;2.05623;2.24104;2.38525;2.58458;2.8849;3.07381;3.36269;3.37867;3.55879;3.91873;4.07854;4.3771;4.71863;5.07072;5.38399;5.80013;6.18577;6.58097;7.00917;7.17995;7.51818;7.9012;8.34952;8.76819;9.1708;9.47002;9.86507;10.2072;10.5636;10.8544;11.2137;11.5554;12.0295;12.4762;12.9393;13.0715;13.4584;13.8306;14.0244;14.4457;14.6007;14.8451;15.0734;15.5207;15.8323;16.2502;16.6235;17.0065;17.2913;17.6279;17.7526;18.0926;18.2632;18.5603;18.654;18.9374;18.9948;19.2399;19.4786;19.6128;19.8985;20.1259;20.2522;20.4463;20.7005;20.8157;20.9178;21.0713;21.1442;21.1966;21.1681;21.0888;21.0369;20.9992;21","15;14.7996;14.3462;13.9617;13.6677;13.1944;13.1262;12.8715;12.5535;12.1863;11.8401;11.4404;11.0451;10.6339;10.4161;10.1334;9.9594;9.53017;9.21466;8.87499;8.5109;8.28721;7.88274;7.86426;7.63127;7.32801;7.17088;6.89471;6.55546;6.24265;6.01633;5.77806;5.53553;5.31814;5.07112;4.97475;4.80079;4.63312;4.46601;4.36053;4.28698;4.23392;4.17443;4.16019;4.17268;4.14172;4.11504;4.10403;4.16352;4.19528;4.26012;4.28172;4.37133;4.44693;4.50672;4.65076;4.73631;4.82437;4.9551;5.15904;5.36903;5.60727;5.91748;6.19024;6.43051;6.73994;6.87306;7.21066;7.43034;7.82834;7.89684;8.30508;8.40132;8.81537;9.21825;9.45726;9.8568;10.2472;10.4561;10.9061;11.3134;11.6984;11.9501;12.3966;12.8633;13.1233;13.459;13.9291;14.1987;14.6636;15",2.05887,"0;0.133333;0.866667"
34.1233,0.786766,2.27126,"1;0.961376;0.981218;0.996779;1.06868;1.12013;1.10041;1.12945;1.1374;1.17024;1.20943;1.25271;1.34705;1.38421;1.47599;1.58048;1.67923;1.82134;1.91019;2.05271;2.2783;2.47525;2.71356;2.96929;3.20876;3.47731;3.73043;3.91271;4.09204;4.35224;4.62792;4.87243;5.22531;5.57808;5.94221;6.31817;6.57741;6.91205;7.30158;7.6116;7.93883;8.40336;8.82589;9.261;9.52868;9.96935;10.1433;10.4486;10.7784;11.1182;11.5304;11.9159;12.1843;12.5157;12.8468;13.1562;13.5656;14.0109;14.4456;14.7176;15.115;15.2834;15.3902;15.7662;16.1815;16.4678;16.8153;17.1386;17.2354;17.5203;17.8135;17.9725;18.2923;18.5577;18.8143;19.0071;19.2069;19.4785;19.7274;19.8415;20.0487;20.2288;20.2896;20.3968;20.5124;20.6384;20.7607;20.8586;20.9315;21.0183;21.1425;20.9723;20.9752;20.9797;20.954;21","15;14.6569;14.1714;13.752;13.3433;12.8827;12.6231;12.2655;12.192;11.9018;11.7272;11.3954;10.9466;10.7238;10.3332;10.031;9.63666;9.32568;9.15209;8.85042;8.46557;8.18089;7.88079;7.55745;7.28547;7.00767;6.74869;6.5308;6.35872;6.12905;5.97257;5.76448;5.53013;5.28701;5.07573;4.87534;4.69171;4.51322;4.30317;4.21118;4.10377;3.99305;3.89766;3.76703;3.72875;3.68937;3.67441;3.6634;3.65797;3.64952;3.67137;3.73269;3.75715;3.8204;3.86456;3.9302;4.00328;4.18065;4.33813;4.47147;4.64762;4.73067;4.78414;4.97411;5.23253;5.43361;5.70064;5.97212;6.04395;6.26819;6.56057;6.71946;7.03286;7.40823;7.76013;8.06086;8.40352;8.80415;9.22357;9.47298;9.89147;10.2103;10.3505;10.603;10.9559;11.2328;11.5743;11.9162;12.1492;12.4978;12.8741;13.319;13.8033;14.0624;14.529;15",2.02384,"0;0.166667;0.833333"
34.9971,0.740572,2.25826,"1;0.990332;0.989139;0.95205;0.902217;0.817844;0.822312;0.856689;0.951706;0.981972;1.07071;1.12188;1.19438;1.2445;1.33375;1.39245;1.50647;1.63655;1.74651;1.86092;1.99815;2.24312;2.4406;2.62027;2.70691;2.93503;3.12119;3.40909;3.63456;3.95107;4.23438;4.35279;4.6441;5.03783;5.36428;5.7718;6.10645;6.42617;6.73768;7.18554;7.63484;8.09996;8.50991;8.72603;9.12168;9.54283;9.9846;10.4702;10.634;11.0301;11.2378;11.7124;12.0942;12.5358;12.9988;13.4726;13.6308;14.0684;14.5005;14.6625;14.9142;15.1899;15.5503;15.9696;16.3154;16.7133;16.9126;17.1843;17.3907;17.5929;17.7559;18.0027;18.3252;18.5944;18.8656;19.0049;19.2257;19.4092;19.5433;19.7494;19.8474;20.0201;20.2165;20.3016;20.3355;20.4724;20.5953;20.6814;20.783;20.8643;20.9101;20.9436;20.9508;21.016;21.033;21.0022;20.995;20.9904;20.9968;20.995;21","15;14.8116;14.4466;14.1736;13.7203;13.2615;12.9875;12.7719;12.4307;12.3496;11.9114;11.6221;11.1959;10.9421;10.5976;10.4046;10.0037;9.5864;9.28664;9.01545;8.69082;8.31123;7.94124;7.66698;7.53968;7.22628;6.97557;6.64785;6.41537;6.07392;5.80785;5.72491;5.49676;5.20687;4.98535;4.69953;4.50973;4.33566;4.20219;3.9938;3.78885;3.62396;3.52111;3.4646;3.38152;3.29081;3.26006;3.25682;3.2579;3.26481;3.27668;3.29622;3.34363;3.37235;3.47575;3.59558;3.65024;3.76224;3.90039;3.95652;4.05464;4.17576;4.35127;4.6153;4.81338;5.08656;5.22064;5.42969;5.59237;5.75595;5.90045;6.14072;6.46977;6.78528;7.11603;7.28806;7.61757;7.88376;8.10865;8.504;8.70918;9.071;9.4442;9.65285;9.74068;10.14;10.5543;10.9451;11.3238;11.6844;11.9749;12.2095;12.5984;12.9961;13.2945;13.7471;14.0307;14.3426;14.5725;14.8587;15",1.95472,"0;0.2;0.8"
35.9612,0.706736,2.28516,"1;0.953082;0.933048;0.912455;0.931433;0.923819;0.925953;0.859346;0.851584;0.865114;0.909981;0.936742;1.01306;1.11564;1.2355;1.37386;1.52576;1.70038;1.85634;2.0191;2.19367;2.48962;2.76293;2.84202;3.0985;3.41124;3.66138;3.81622;4.0468;4.40188;4.71006;4.91509;5.2175;5.5334;5.85694;6.16056;6.29736;6.70026;6.90986;7.3337;7.4515;7.63811;8.06937;8.43651;8.81557;9.02635;9.34696;9.77874;10.2651;10.7227;11.1654;11.37;11.6401;12.0214;12.3275;12.7456;13.1117;13.4216;13.7897;14.0454;14.3187;14.6702;15.0887;15.3891;15.7726;16.1348;16.5414;16.931;17.266;17.5805;17.8777;18.1971;18.4446;18.7481;18.9287;19.1482;19.3246;19.4242;19.6297;19.725;19.8369;19.9285;20.066;20.2341;20.2846;20.4045;20.5309;20.607;20.6961;20.7655;20.825;20.8487;20.8691;20.8745;20.7997;20.8068;20.8659;20.8834;20.9119;21","15;14.5408;14.3578;13.8878;13.4639;13.2677;12.9698;12.5865;12.1397;11.9924;11.5324;11.3172;10.8819;10.507;10.0978;9.65719;9.24865;8.8002;8.42265;8.09011;7.79176;7.44677;7.07136;6.96866;6.66676;6.30521;5.98317;5.83951;5.62606;5.29009;5.06653;4.92386;4.7123;4.46516;4.24982;4.07031;3.99197;3.77403;3.67465;3.48361;3.43594;3.36263;3.19959;3.08633;2.96138;2.89952;2.85379;2.76025;2.7498;2.73288;2.72536;2.742;2.77375;2.82658;2.86074;2.93685;3.03759;3.09561;3.19737;3.29261;3.3915;3.51267;3.65298;3.78165;3.93516;4.14999;4.40055;4.65182;4.97729;5.23634;5.50727;5.8315;6.08994;6.4484;6.67201;6.90961;7.18455;7.37733;7.73395;7.92979;8.2151;8.41262;8.76024;9.21195;9.3698;9.84726;10.2321;10.5011;10.9136;11.2685;11.6218;12.0895;12.5279;12.7121;13.1031;13.4611;13.8644;14.1684;14.5388;15",1.91686,"0;0.233333;0.766667"
37.1061,0.669515,2.2855,"1;0.943942;0.922234;0.916073;0.915803;0.967206;0.966421;0.946484;0.890228;0.868328;0.846036;0.896894;0.946682;1.05766;1.16507;1.33754;1.439;1.60546;1.7226;1.88815;2.01775;2.25659;2.36655;2.54159;2.77291;3.05487;3.24393;3.55167;3.85937;4.20101;4.47631;4.80132;4.92764;5.27644;5.67989;6.10283;6.52298;6.95499;7.18509;7.55248;7.88523;8.28301;8.66289;9.07578;9.33383;9.75614;10.2337;10.6057;11.0397;11.3271;11.6797;12.164;12.6287;12.7937;13.244;13.4591;13.7535;14.124;14.496;14.6952;15.0099;15.3565;15.7255;16.0484;16.4581;16.7463;17.0617;17.2616;17.5771;17.9574;18.2761;18.4451;18.7254;18.9754;19.2068;19.46;19.6369;19.7827;19.9811;20.0822;20.207;20.3134;20.4594;20.5933;20.6358;20.75;20.809;20.8636;20.9587;21.0209;21.0228;21.0867;21.0822;21.0304;21.0091;21.0341;21.0242;20.9938;21.0066;21.0226;21","15;14.7142;14.291;14.127;13.6999;13.2401;12.7556;12.3741;11.925;11.6336;11.2117;10.9645;10.6606;10.2623;9.89528;9.50271;9.02975;8.55899;8.28293;7.92521;7.71023;7.35225;7.16506;6.88703;6.56728;6.21478;5.97796;5.60953;5.27701;4.97364;4.69146;4.41853;4.32867;4.03381;3.80578;3.55149;3.32367;3.13364;3.04329;2.91747;2.80319;2.65867;2.53161;2.43712;2.40266;2.33308;2.30758;2.32124;2.35748;2.40019;2.41218;2.46924;2.4892;2.54532;2.66495;2.69726;2.78716;2.91335;3.00633;3.07925;3.15214;3.27871;3.43847;3.62034;3.87728;4.07577;4.26023;4.35712;4.56313;4.86008;5.1331;5.3;5.56737;5.90751;6.27583;6.65585;6.92439;7.13068;7.43909;7.60323;7.91424;8.27813;8.66995;9.12038;9.19844;9.6748;9.94857;10.2914;10.7804;11.266;11.5395;11.8943;12.1425;12.6191;12.9871;13.3216;13.6164;13.8852;14.3418;14.6257;15",1.85457,"0;0.266667;0.733333"
38.5131,0.634169,2.30549,"1;0.999719;0.992607;0.957459;0.976986;0.943239;0.983684;0.769416;0.723505;0.755985;0.787889;0.724066;0.715213;0.782044;0.825097;0.882782;1.00633;1.08299;1.19817;1.35182;1.53141;1.62966;1.84379;2.02317;2.0899;2.25936;2.55265;2.83724;3.18933;3.49082;3.69568;4.0411;4.27663;4.57104;4.84463;5.05056;5.43858;5.80888;6.04367;6.43851;6.84459;7.14586;7.44911;7.72298;8.16536;8.51565;8.86835;9.1299;9.48488;9.65698;10.0654;10.2674;10.7624;11.1674;11.4901;11.8155;12.1897;12.5799;12.9451;13.401;13.8846;14.3631;14.7704;14.9753;15.353;15.7075;16.0921;16.3958;16.7504;17.0466;17.1254;17.4799;17.8475;18.1855;18.4991;18.8328;19.1116;19.355;19.409;19.6879;19.823;19.9673;20.1495;20.2931;20.4861;20.6031;20.737;20.8366;20.9609;21.007;21.1091;21.1906;21.2298;21.2269;21.2102;21.1823;21.1549;21.0977;21.0793;20.9874;20.9484;20.9633;20.981;21","15;14.6767;14.475;14.1448;13.7365;13.3997;13.1067;12.7784;12.3516;11.8783;11.548;11.215;10.8102;10.3524;10.1106;9.76493;9.36725;8.99711;8.52589;8.05934;7.62399;7.46097;7.11908;6.66811;6.55593;6.28946;5.89691;5.557;5.20508;4.8375;4.62357;4.30027;4.11309;3.89169;3.68388;3.55295;3.29432;3.08229;2.94671;2.76982;2.57364;2.4711;2.37535;2.293;2.1563;2.10174;2.04756;2.01363;1.96702;1.93788;1.87512;1.82385;1.78806;1.78188;1.7769;1.77383;1.7942;1.85588;1.9558;2.09059;2.21256;2.33633;2.46342;2.54956;2.72084;2.84153;3.05424;3.24109;3.49379;3.74153;3.81078;4.07569;4.3734;4.67638;5.00848;5.35897;5.64452;5.98274;6.05148;6.4277;6.63091;6.83115;7.16197;7.38366;7.81732;8.12861;8.49835;8.88848;9.30652;9.5685;9.9439;10.4225;10.8763;11.2963;11.6574;12.0111;12.4409;12.7655;13.1077;13.5641;13.9827;14.4235;14.7295;15",1.80409,"0;0.3;0.7"
