Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 20.1717,86.1769, 
-1,0,1, 53.6036,0.330123, 
0,0.614974,0.385026, 21.2442,2.05645, 0.383551
1,0.0321179,0.967882, 28.8684,0.517617, 0.0189861
2,0.979915,0.0200851, 20.4284,6.73427, 0.018964
3,0.111541,0.888459, 24.3846,0.773927, 0.0109823
4,0.781033,0.218967, 20.9113,2.58893, 0.00628954
5,0.202569,0.797431, 22.9393,1.00608, 0.00547845
6,0.994831,0.00516866, 20.2729,12.3582, 0.00355699
7,0.278201,0.721799, 22.0838,1.29341, 0.00270589
8,0.842281,0.157719, 20.6441,3.59886, 0.00242067
9,0.00469281,0.995307, 41.3712,0.360195, 0.0018578
10,0.361126,0.638874, 22.0365,1.31738, 0.00153257
11,0.900426,0.0995742, 20.5284,5.19742, 0.0013569
12,0.997801,0.00219897, 20.2103,24.9153, 0.00108464
13,0.00777094,0.992229, 37.9266,0.381144, 0.000642368
14,0.998988,0.00101165, 20.2095,36.4015, 0.000388701
15,0.00928449,0.990716, 36.631,0.391792, 0.000242115
16,0.00152685,0.998473, 44.9081,0.347379, 0.000235423
17,0.0343357,0.965664, 28.5022,0.530604, 0.000186746
18,0.367188,0.632812, 21.6732,1.52831, 0.000138204
19,0.433642,0.566358, 21.7643,1.49989, 0.000687299
20,0.00998175,0.990018, 36.1399,0.397193, 9.88777e-05
21,0.905351,0.0946487, 20.5918,4.21516, 9.10105e-05
22,0.895741,0.104259, 20.6054,3.88846, 8.92047e-05
23,0.0354543,0.964546, 27.6389,0.56215, 8.7792e-05
24,0.0389042,0.961096, 27.1419,0.580634, 0.000208041
25,0.0417831,0.958217, 26.7359,0.600153, 0.000148416
