Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0,0.10838,0.89162, 47.7595,0.974666,8.12487, 0.108237
3,0,0.989029,0.0109705, 26.46,0.205342,13.23, 0.00542101
4,0,0.244773,0.755227, 52.4281,0.769967,8.16494, 0.244452
5,0,0.00606804,0.993932, 43.5424,1.85008,8.03966, 0.00606007
6,0,0.977319,0.0226807, 24.0907,0.223895,12.0453, 0.0112464
7,0,0.199843,0.800157, 51.8491,0.818201,8.14847, 0.19958
8,0,0.95705,0.0429496, 22.2297,0.253767,11.1149, 0.0110117
9,0,0.945732,0.0542678, 21.9571,0.260602,10.9785, 0.0108806
10,0,0.943586,0.0564137, 21.7178,0.267573,10.8589, 0.0108558
12,0,0.00606804,0.993932, 40.681,2.57338,8.04708, 0.00603762
13,0,0.951922,0.0480778, 22.0678,0.257775,11.0339, 0.0121893
14,0,0.157032,0.842968, 46.0408,0.981848,8.07955, 0.156245
15,0,0.921064,0.0789359, 21.2877,0.283457,10.6438, 0.0117916
16,0,0.911177,0.0888225, 21.133,0.290565,10.5665, 0.0116642
20,0,0.512012,0.487988, 56.3146,0.685878,8.20611, 0.00585846
21,0,0.563951,0.436049, 57.0178,0.679414,8.20403, 0.00645988
22,0,0.559494,0.440506, 55.6733,0.709986,8.17477, 0.00640827
23,0,0.517376,0.482624, 55.258,0.744485,8.17687, 0.00592057
24,0,0.5289,0.4711, 56.5283,0.705828,8.18133, 0.00605401
25,0,0.528306,0.471694, 54.8637,0.746043,8.16765, 0.00604713
26,0,0.511884,0.488116, 55.8695,0.687549,8.22005, 0.00585698
28,0,0.983615,0.0163854, 24.8044,0.216819,12.4022, 0.00534165
29,0,0.980791,0.0192095, 24.5493,0.219095,12.2747, 0.00532441
31,0,0.95705,0.0429496, 22.5471,0.24673,11.2735, 0.00520797
32,0,0.167583,0.832417, 47.5153,0.910119,8.11454, 0.166353
36,0,0.00504267,0.994957, 43.1149,2.23738,8.07598, 0.00500566
