Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0, 1,0,0, 20.1367,121.776,10.0684, 0.0
0, 0,1,0, 38.8607,0.407743,19.4303, 0.0
0, 0,0,1, 35.9986,1.5862,2.12489, 0.0
0,0.707434,0.292566,0, 20.9192,2.51653,10.4596, 0.291587
1,0,0.655399,0.344601, 44.273,0.54721,2.23104, 0.306915
2,0.637945,0.0269584,0.335097, 23.5377,11.5563,2.94526, 0.279471
3,0.52702,0.217955,0.255025, 20.8645,2.66381,10.4323, 0.203216
4,0.568834,0.235247,0.19592, 20.8708,2.64555,10.4354, 0.156118
5,0.569239,0.235414,0.195347, 20.8649,2.66365,10.4325, 0.155662
6,0.568837,0.235248,0.195915, 20.8538,2.70245,10.4269, 0.156114
7,0.567996,0.234901,0.197103, 20.8446,2.72543,10.4223, 0.157061
8,0.567511,0.2347,0.19779, 20.9017,2.57074,10.4509, 0.157608
9,0.570965,0.236128,0.192907, 20.893,2.58445,10.4465, 0.153717
10,0.57064,0.235994,0.193366, 20.8951,2.57733,10.4475, 0.154083
11,0.570808,0.236064,0.193128, 20.8921,2.58568,10.4461, 0.153894
12,0.570611,0.235982,0.193407, 20.8447,2.71427,10.4223, 0.154116
13,0.567745,0.234797,0.197458, 20.8789,2.62707,10.4394, 0.157344
14,0.569655,0.235587,0.194759, 20.8595,2.68495,10.4297, 0.155193
15,0.568372,0.235056,0.196572, 20.9056,2.55111,10.4528, 0.156638
16,0.571436,0.236323,0.19224, 20.853,2.69709,10.4265, 0.153186
17,0.568111,0.234948,0.196941, 20.8842,2.60825,10.4421, 0.156932
18,0.570086,0.235765,0.19415, 20.8815,2.61476,10.4407, 0.154708
19,0.569936,0.235703,0.194362, 20.8743,2.64354,10.4371, 0.154877
20,0.569284,0.235433,0.195283, 20.8657,2.65672,10.4328, 0.155611
21,0.56899,0.235312,0.195698, 20.8941,2.57846,10.4471, 0.155942
22,0.570782,0.236052,0.193166, 20.8465,2.7356,10.4233, 0.153924
23,0.567299,0.234612,0.198089, 20.8842,2.60916,10.4421, 0.157847
24,0.570065,0.235756,0.19418, 20.9,2.57003,10.45, 0.154732
25,0.570982,0.236135,0.192883, 20.8828,2.61908,10.4414, 0.153698
26,0.569837,0.235662,0.194501, 20.8963,2.57534,10.4482, 0.154988
27,0.570855,0.236083,0.193062, 20.8844,2.60537,10.4422, 0.153841
28,0.570152,0.235792,0.194056, 20.8774,2.63019,10.4387, 0.154633
29,0.569584,0.235557,0.194859, 20.8661,2.65832,10.433, 0.155273
30,0.568955,0.235297,0.195748, 20.8762,2.62894,10.4381, 0.155982
31,0.569612,0.235569,0.194819, 20.9251,2.5008,10.4625, 0.155241
32,0.5713,0.236267,0.192433, 20.9133,2.52394,10.4567, 0.151966
33,0.572102,0.236599,0.191299, 20.8988,2.56933,10.4494, 0.152436
34,0.570998,0.236142,0.192859, 20.8689,2.64838,10.4345, 0.15368
35,0.569175,0.235388,0.195436, 20.8187,2.80906,10.4093, 0.155733
36,0.565817,0.233999,0.200184, 20.893,2.58514,10.4465, 0.159516
37,0.570624,0.235987,0.193389, 20.8506,2.70519,10.4253, 0.154101
38,0.567938,0.234876,0.197186, 20.8971,2.5748,10.4486, 0.157127
39,0.570868,0.236088,0.193043, 20.9184,2.51912,10.4592, 0.153826
40,0.572222,0.236648,0.19113, 20.8952,2.57457,10.4476, 0.152301
41,0.570874,0.236091,0.193036, 20.8868,2.60866,10.4434, 0.15382
