Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0,0.508983,0.491017, 37.5413,0.43633,0.375413, 0.487498
1,0.773127,0.226873,0, 21.5055,3.10857,0.215055, 0.217296
2,0.632898,0.186849,0.180253, 21.4419,3.28149,0.214419, 0.177854
3,0.982165,0.0178352,0, 20.7494,11.4999,0.207494, 0.0170823
4,0.0893489,0.910651,0, 25.9623,0.817008,0.259623, 0.0592544
5,0.913514,0.0864865,0, 21.0458,5.41513,0.210458, 0.0828358
6,0.420444,0.579556,0, 22.3766,1.80452,0.223766, 0.0369522
8,0.0427087,0.957291,0, 28.9114,0.623811,0.289114, 0.0283235
9,0.87313,0.12687,0, 21.1156,4.80678,0.211156, 0.121515
10,0.0377776,0.962222,0, 29.6783,0.592724,0.296783, 0.0250533
11,0.863208,0.136792,0, 21.2049,4.26713,0.212049, 0.131018
12,0.177385,0.822615,0, 24.1975,1.0724,0.241975, 0.0234989
14,0.148367,0.851633,0, 24.6966,0.977836,0.246966, 0.0212643
15,0.248728,0.751272,0, 23.4004,1.28197,0.234004, 0.0212215
17,0.678373,0.321627,0, 21.6413,2.74451,0.216413, 0.0199846
19,0.133078,0.866922,0, 24.8274,0.959894,0.248274, 0.0190087
20,0.327858,0.672142,0, 22.9797,1.45032,0.229797, 0.0186955
21,0.274574,0.725426,0, 23.2874,1.32685,0.232874, 0.0175614
22,0.148367,0.851633,0, 24.5608,1.00081,0.245608, 0.0174248
23,0.934045,0.0659549,0, 20.9373,6.68262,0.209373, 0.062708
24,0.197837,0.802163,0, 24.0226,1.10899,0.240226, 0.0252196
25,0.942176,0.0578236,0, 20.9568,6.31042,0.209568, 0.054977
27,0.35695,0.64305,0, 22.7459,1.5608,0.227459, 0.0184823
28,0.390057,0.609943,0, 22.6207,1.64214,0.226207, 0.017422
31,0.965539,0.0175398,0.0169207, 20.7472,11.7095,0.207472, 0.0166955
37,0.248728,0.751272,0, 23.5214,1.24419,0.235214, 0.0158309
38,0.949878,0.0501223,0, 20.8538,8.21508,0.208538, 0.0474428
