Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0,0.439384,0.560616, 23.17,103.84,3.29899, 0.355504
1,0,0.540294,0.459706, 23.5234,26.2259,4.02441, 0.291514
2,0,0.814309,0.185691, 25.3528,11.6084,3.58236, 0.117753
3,0,0.540294,0.459706, 24.188,12.3276,3.77244, 0.107938
4,0.809813,0.102757,0.0874301, 20.1826,31.3942,10.0913, 0.144553
5,0.769595,0.124486,0.105918, 20.1366,123.159,10.0683, 0.137375
6,0.773966,0.122125,0.103909, 20.1378,127.301,10.0689, 0.138155
7,0.777718,0.120097,0.102184, 20.1568,78.9979,10.0784, 0.138825
8,0.726438,0.147804,0.125758, 20.1697,61.2137,10.0849, 0.129671
9,0.701237,0.16142,0.137343, 20.2872,98.6685,10.1436, 0.125172
10,0.757438,0.131055,0.111507, 20.2279,34.2269,10.1139, 0.135204
11,0.654958,0.186424,0.158618, 20.1672,101.062,10.0836, 0.116912
12,0.753593,0.133132,0.113275, 20.2015,23.9729,10.1007, 0.134518
13,0.645464,0.191554,0.162982, 20.1485,72.4193,10.0743, 0.115217
14,0.716867,0.152975,0.130158, 20.1515,92.3059,10.0758, 0.127962
15,0.742838,0.138943,0.118219, 20.1775,52.0824,10.0888, 0.132598
16,0.686403,0.169434,0.144162, 20.1997,57.7053,10.0998, 0.122525
17,0.697426,0.163479,0.139095, 20.2195,38.1073,10.1098, 0.124492
18,0.662568,0.182312,0.155119, 20.3058,39.3479,10.1529, 0.11827
19,0.671122,0.177691,0.151187, 20.2292,38.9891,10.1146, 0.119797
20,0.665055,0.180969,0.153976, 20.1314,141.399,10.0657, 0.118714
21,0.789145,0.113924,0.0969314, 20.1569,75.634,10.0785, 0.140864
22,0.721877,0.150268,0.127855, 20.1768,115.316,10.0884, 0.128857
23,0.768647,0.124999,0.106354, 20.1271,143.842,10.0636, 0.137205
24,0.790857,0.112999,0.0961443, 20.1987,56.3852,10.0993, 0.14117
25,0.695168,0.164699,0.140133, 20.128,165.564,10.064, 0.124089
26,0.806473,0.104562,0.0889657, 20.1277,164.928,10.0638, 0.143957
27,0.806036,0.104798,0.0891664, 20.1281,153.085,10.0641, 0.143879
28,0.797826,0.109233,0.0929404, 20.149,75.4977,10.0745, 0.142414
29,0.721221,0.150623,0.128156, 20.1364,115.799,10.0682, 0.12874
30,0.767076,0.125847,0.107076, 20.1713,110.14,10.0857, 0.136925
31,0.763289,0.127894,0.108817, 20.1559,77.7126,10.078, 0.136249
32,0.72466,0.148765,0.126575, 20.1429,81.8838,10.0714, 0.129353
33,0.729442,0.146181,0.124377, 20.1246,151.786,10.0623, 0.130207
34,0.796726,0.109828,0.0934462, 20.1239,152.677,10.062, 0.142217
35,0.797344,0.109494,0.0931622, 20.2064,22.5122,10.1032, 0.142328
36,0.629284,0.200296,0.17042, 20.1565,69.1055,10.0783, 0.112329
37,0.712538,0.155314,0.132148, 20.179,35.1121,10.0895, 0.12719
38,0.653411,0.18726,0.159329, 20.1235,168.426,10.0617, 0.116635
39,0.808162,0.103649,0.0881889, 20.1288,133.78,10.0644, 0.144259
