Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769,10.0858, 0
-2,0,1, 0, 53.6036,0.330123,26.8018, 0
-1,0,0, 1, 25.0371,265.625,2.16954, 0
0,0,0.65868,0.34132, 24.9371,1.28294,3.08428, 0.313691
1,0.747267,0.00702542,0.245707, 20.9681,1.00673,10.484, 0.0746939
1,0.782375,0.217625,0, 20.717,1.01117,10.3585, 0.0703339
1,0,0.0331583,0.966842, 26.3161,3.03237,2.38155, 0.0331171
2,0.764933,0,0.235067, 21.3597,1.15666,10.6799, 0.0694301
2,0.558196,0.291008,0.150796, 21.0599,1.04964,9.15908, 0.0496237
2,0.538769,0.303804,0.157427, 22.085,1.15023,5.00792, 0.0478966
2,0.467871,0.394923,0.137206, 21.7897,1.07997,4.71874, 0.0369677
3,0.764933,0,0.235067, 20.4771,1.0046,10.2385, 0.0694301
3,0.51493,0.319506,0.165564, 20.688,0.9901,10.344, 0.0457774
3,0.885305,0.0755475,0.0391477, 20.8673,1.01855,10.4336, 0.0343717
3,0,0.0331583,0.966842, 26.2261,3.57294,2.23431, 0.0324117
4,0.764933,0,0.235067, 21.7298,1.14018,3.60944, 0.0694301
4,0.550379,0.296156,0.153464, 20.6274,1.03494,10.3137, 0.0489288
4,0.536426,0.305347,0.158227, 20.6115,1.0074,10.3058, 0.0476884
4,0.286911,0.496937,0.216152, 23.1561,1.31069,2.89905, 0.0226695
5,0.532156,0.30816,0.159684, 20.5192,1.00429,10.2596, 0.0473088
5,0.530781,0.309065,0.160154, 20.4623,0.993502,10.2312, 0.0471866
5,0.46545,0,0.53455, 22.4456,1.28895,3.00233, 0.0422472
5,0.532156,0.30816,0.159684, 21.2886,1.02327,10.6443, 0.0339959
6,0.523882,0.31361,0.162508, 21.1298,1.00882,10.5649, 0.0465732
6,0.519619,0.316418,0.163964, 22.4232,1.27664,5.64304, 0.0461942
6,0.861691,0,0.138309, 20.9638,0.992477,10.4819, 0.0408512
6,0.550379,0.296156,0.153464, 21.8769,1.10039,5.30074, 0.03516
7,0.764933,0,0.235067, 20.3944,1.03748,10.1972, 0.0694301
7,0.571132,0.282487,0.146381, 21.8818,1.11538,5.03529, 0.0507737
7,0.864116,0.0895041,0.0463799, 21.2612,1.02518,10.6306, 0.0407216
7,0.861691,0,0.138309, 20.4799,1.05771,10.2399, 0.0314449
8,0.764933,0,0.235067, 21.1003,1.03107,6.70639, 0.0694301
8,0.581953,0.27536,0.142688, 20.8129,1.11964,10.4065, 0.0517357
8,0.861691,0,0.138309, 20.593,1.03676,10.2965, 0.0314449
8,0.896135,0.0684136,0.035451, 20.7311,1.04223,10.3656, 0.031126
9,0.697415,0,0.302585, 20.737,1.00923,8.15239, 0.0633017
9,0.54684,0.298487,0.154672, 21.8795,1.12388,5.98741, 0.0486142
9,0.540054,0.302957,0.156989, 20.5748,1.01242,10.2874, 0.0480109
9,0.861691,0,0.138309, 21.4176,0.997681,8.8395, 0.0314449
10,0.735636,0,0.264364, 21.4114,1.06578,5.94432, 0.066771
10,0.528071,0.31085,0.161079, 20.257,0.993311,10.1285, 0.0469456
10,0.528071,0.31085,0.161079, 21.0577,1.0434,7.5173, 0.0357957
10,0.390708,0.401329,0.207964, 22.0526,1.09,5.38085, 0.034734
11,0.67556,0,0.32444, 22.6838,1.24546,5.32731, 0.061318
11,0.504765,0.326201,0.169033, 22.7344,1.10955,3.62645, 0.0448737
11,0.885332,0.0755298,0.0391386, 20.6085,0.99584,10.3043, 0.0343637
11,0.861691,0,0.138309, 20.6051,1.03993,10.3025, 0.0314449
12,0.728537,0,0.271463, 20.3572,0.993681,10.1786, 0.0661266
12,0.530476,0.309266,0.160258, 21.6295,1.03096,5.29898, 0.0471594
12,0.861691,0,0.138309, 21.9077,1.32671,4.51149, 0.0314449
13,0.764933,0,0.235067, 20.5588,0.984908,10.2794, 0.0694301
13,0.865264,0,0.134736, 20.6088,1.01972,10.3044, 0.0306327
13,0.435619,0.371746,0.192634, 22.0835,1.11935,4.13648, 0.0295288
13,0.54684,0.298487,0.154672, 21.8393,1.10321,3.71196, 0.029291
14,0.764933,0,0.235067, 22.3472,1.14665,3.27767, 0.0694301
14,0.861691,0,0.138309, 20.5176,1.08226,10.2588, 0.0314449
14,0.308894,0.455218,0.235888, 24.0852,1.14138,3.13249, 0.0274607
14,0.891986,0.0711469,0.0368674, 20.7037,0.991956,10.3519, 0.0268319
15,0.803964,0.129125,0.0669109, 21.1189,0.996979,10.5594, 0.0587478
15,0.451733,0,0.548267, 22.3502,1.22094,3.34386, 0.0410021
15,0.861691,0,0.138309, 20.3249,0.992904,10.1625, 0.0314449
15,0.566806,0.33915,0.0940443, 20.3779,0.991535,10.1889, 0.0253386
16,0.57017,0.28312,0.146709, 21.1767,1.01415,6.11857, 0.0506882
16,0.466413,0,0.533587, 22.2985,1.27639,3.13634, 0.0423346
