Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.933852,0.0452736,0.020874, 21.0063,209.525,0.219973, 0.0259211
1,0.813519,0.186481,0, 21.009,212.482,0.367661, 0.0225824
2,0.813519,0.186481,0, 21.0468,141.987,0.211355, 0.0225824
3,0.813519,0.186481,0, 20.9889,236.444,0.219617, 0.0225824
4,0.813519,0.186481,0, 21.0539,143.986,0.364193, 0.0225824
5,0.813519,0.186481,0, 20.9751,266.667,10.4876, 0.0225824
6,0.813519,0.186481,0, 20.9907,227.22,10.4953, 0.0225824
7,0.813519,0.186481,0, 21.0881,106.011,0.371064, 0.0225824
8,0.913234,0.0663529,0.0204132, 20.9839,241.795,0.217565, 0.00860326
9,0.913234,0.0663529,0.0204132, 20.9874,211.702,0.219318, 0.00860326
10,0.913234,0.0663529,0.0204132, 20.9832,238.078,0.219118, 0.00860326
11,0.913234,0.0663529,0.0204132, 20.9907,205.942,0.219349, 0.00860326
12,0.912623,0.0669774,0.0203995, 20.9875,214.487,0.218039, 0.00859751
13,0.913234,0.0663529,0.0204132, 20.991,227.294,0.219234, 0.00860326
14,0.913234,0.0663529,0.0204132, 20.9993,214.916,0.219527, 0.00860326
15,0.913234,0.0663529,0.0204132, 21.0562,147.962,0.367156, 0.00860326
16,0.846512,0.134566,0.0189217, 20.9705,284.865,0.218831, 0.0118076
17,0.846512,0.134566,0.0189217, 21.0096,179.486,0.217564, 0.0118076
18,0.846512,0.134566,0.0189217, 21.0471,122.974,0.364625, 0.0118076
19,0.846512,0.134566,0.0189217, 21.0359,130.708,0.3647, 0.0118076
20,0.713971,0.27007,0.0159591, 20.9915,197.053,0.219636, 0.0108115
21,0.846512,0.134566,0.0189217, 20.9856,223.65,0.217691, 0.0118076
22,0.846512,0.134566,0.0189217, 21.024,178.547,0.359487, 0.0118076
23,0.846512,0.134566,0.0189217, 20.9825,236.336,0.219136, 0.0118076
24,0.846512,0.134566,0.0189217, 21.0313,152.01,0.220235, 0.0118076
25,0.846512,0.134566,0.0189217, 21.0395,122.418,0.217671, 0.0118076
26,0.703148,0.281135,0.0157172, 20.9997,200.975,0.217841, 0.0113456
27,0.846512,0.134566,0.0189217, 21.0025,155.919,0.219924, 0.0118076
28,0.846512,0.134566,0.0189217, 21.0629,135.434,0.363815, 0.0118076
29,0.703148,0.281135,0.0157172, 21.0038,242.924,0.367544, 0.0113456
30,0.703148,0.281135,0.0157172, 21.01,165.648,0.218356, 0.0113456
31,0.703148,0.281135,0.0157172, 21.0285,124.844,0.219782, 0.0113456
32,0.703148,0.281135,0.0157172, 20.9754,257.4,0.219601, 0.0113456
33,0.703148,0.281135,0.0157172, 21.0015,193.195,0.218366, 0.0113456
34,0.703148,0.281135,0.0157172, 21.0437,167.113,0.219693, 0.0113456
35,0.703148,0.281135,0.0157172, 21.151,62.5895,0.376399, 0.0113456
36,0.703148,0.281135,0.0157172, 21.0153,145.273,0.218119, 0.0113456
37,0.703148,0.281135,0.0157172, 21.0165,209.024,0.219912, 0.0113456
38,0.703148,0.281135,0.0157172, 21.0653,121.961,0.219674, 0.0113456
39,0.703148,0.281135,0.0157172, 20.9763,246.45,0.217965, 0.0113456
