Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.623497,0.376503,0, 22.702,2.72204,11.351, 0.34712
1,0.60561,0.365702,0.028688, 22.6569,2.79384,0.304892, 0.318329
2,0.605961,0.365914,0.0281257, 22.5975,2.89751,0.31885, 0.31209
5,0,0.0483538,0.951646, 25.5365,1.15527,0.276204, 0.048255
7,0.962542,0.0374583,0, 21.4542,10.7498,10.7271, 0.034535
8,0.0805192,0.919481,0, 27.8764,0.84661,13.9382, 0.0448276
9,0.864198,0.135802,0, 21.857,5.44852,10.9285, 0.125204
10,0.253777,0.746223,0, 24.6166,1.38613,0.315884, 0.035309
11,0.961964,0.0353212,0.00271494, 21.4508,10.8404,0.30084, 0.0300516
12,0.395043,0.604957,0, 23.496,1.90956,11.748, 0.0282715
13,0.253777,0.746223,0, 24.536,1.41306,12.268, 0.0272435
14,0.925229,0.074771,0, 21.6236,7.64174,0.310952, 0.0678474
16,0.48846,0.51154,0, 23.0765,2.25629,0.238664, 0.0236176
17,0.0414256,0.958574,0, 30.808,0.66724,15.404, 0.0230629
18,0.816906,0.183094,0, 22.0559,4.38931,0.289861, 0.168805
19,0.9764,0.0236001,0, 21.3651,13.5126,10.6825, 0.0217583
20,0.0996308,0.900369,0, 27.1358,0.918636,0.288428, 0.0554676
21,0.877023,0.122977,0, 21.8762,5.28692,10.9381, 0.11338
22,0.324919,0.675081,0, 24.0255,1.61114,0.258661, 0.0405678
23,0.324919,0.675081,0, 23.8972,1.67277,0.323221, 0.0322693
24,0.937894,0.0621057,0, 21.5909,8.15775,0.350512, 0.0562341
26,0.0401719,0.959828,0, 30.8509,0.665491,0.338953, 0.0223649
