ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1936,49.5278,10.0968
1,0,1,0,43.9008,2.97585,21.9504
2,0,0,1,25.3565,101.833,2.2156
3,0,0.541557,0.458443,31.1601,2.89748,2.65008
4,0.647028,0.352972,0,21.0903,3.68448,10.5452
5,0.617638,0.207071,0.175291,21.1445,4.80589,10.5722
6,0.412142,0.138176,0.449683,22.919,7.00019,11.4595
7,0.43494,0.306012,0.259048,21.8249,4.27437,10.9124
8,0.458272,0.293376,0.248351,21.5593,4.82739,10.7797
9,0.451548,0.297018,0.251434,22.3486,3.09953,11.1743
10,0.471557,0.286182,0.242261,21.2955,3.34996,10.6477
11,0.429895,0.308744,0.261361,21.5307,3.64662,10.7653
12,0.441613,0.302399,0.255989,21.7869,2.81471,10.8934
13,0.445768,0.300148,0.254084,25.289,5.24043,2.7391
14,0.424334,0.311756,0.26391,21.1541,3.84945,10.577
15,0.428108,0.309712,0.26218,21.103,3.90122,10.5515
16,0.426493,0.310587,0.26292,21.7022,2.77911,10.8511
17,0.770283,0.124405,0.105312,20.6782,5.7586,10.3391
18,0.75327,0,0.24673,20.3355,135.845,10.1678
19,0.347557,0.440257,0.212186,21.528,2.87415,10.764
20,0.512826,0.171931,0.315243,24.6342,6.02658,3.01834
