cost1_length,cost2_smoothness
192.333,2.92802
192.333,2.92802
192.333,2.92802
192.333,2.92802
192.333,2.92802
192.333,2.92802
192.333,2.92802
192.333,2.92802
193.04,2.82576
187.383,2.39872
186.676,2.35926
186.676,2.30921
187.383,2.3303
200.111,2.27994
200.111,2.27994
200.111,2.27994
187.383,1.96051
187.383,1.96051
187.383,1.96051
210.011,1.93672
196.576,1.85537
196.576,1.85113
202.233,1.84975
202.94,1.84974
178.191,1.83732
178.191,1.83732
221.324,1.54747
212.132,1.35238
212.132,1.35238
212.132,1.35238
212.132,1.35238
226.274,1.34641
232.638,1.25388
236.881,1.29542
233.345,1.1599
233.345,1.1599
232.638,1.15689
241.831,1.02717
193.04,0.87859
193.04,0.87859
265.872,0.740309
235.467,0.582295
258.801,0.588108
248.902,0.44934
234.052,0.364592
251.73,0.368575
156.271,0.280479
223.446,0.243835
157.685,0.169505
241.123,0.056002
234.052,0.00330463
