X,Y,Z,pitch,yaw,owen_success,owen_length,owen_category,vana_success,vana_length,vana_category,vanaowen_success,vanaowen_length,vanaowen_category
-0.39291,-8.90959,-6.31307,-0.277549,-1.03651,1,13.168,M,1,13.4833,?,1,13.4833,L
8.31484,0.819635,-1.23246,-0.405566,-1.52159,1,9.13699,L,1,9.17215,?,1,9.17215,L
7.98553,1.42722,6.20955,-0.0110425,1.00463,1,12.9521,M,1,38.7425,?,1,38.7425,L
1.78424,-4.45461,-3.34796,0.0273479,-1.98708,1,6.98327,M,1,15.9683,?,1,15.9683,L
-1.40547,-6.20101,-2.16491,-0.0210934,0.0105278,1,8.96037,L,1,9.03667,?,1,9.03667,L
-7.94323,-6.37618,2.27742,0.298599,-0.177679,1,14.4048,L,1,14.4321,?,1,14.4321,L
-7.45151,-2.09736,-6.90398,-0.280598,0.603876,1,14.566,L,1,15.0844,?,1,15.0844,L
5.587,-0.566898,4.66936,0.342646,2.21454,1,9.73949,M,1,10.0896,?,1,10.0896,L
-6.4752,6.45397,-4.63956,0.472756,-1.45076,1,13.4745,L,1,14.0226,?,1,14.0226,L
-9.44334,9.43963,-9.62271,-0.0631181,-1.07659,1,20.0713,M,1,20.8449,?,1,20.8449,L
1.85298,5.86912,-2.79011,0.488519,2.62855,1,7.39838,L,1,7.79907,?,1,7.79907,L
9.47892,-3.58993,2.39578,-0.0767302,2.06185,1,12.3271,L,1,12.3895,?,1,12.3895,L
-1.8037,-6.1527,-9.57088,0.0204249,-0.0897048,1,19.9632,H,1,20.5486,?,1,20.5486,L
9.35531,5.66871,8.12914,-0.0466,0.585125,1,16.956,M,1,67.2711,?,1,67.2711,L
8.57428,-8.04446,2.40942,0.117711,-1.83945,1,12.27,L,1,12.2828,?,1,12.2828,L
5.65294,-1.65084,-4.43428,-0.269526,2.178,1,9.24916,M,1,9.76443,?,1,9.76443,L
5.83458,-7.53039,2.51218,0.123168,1.56446,1,12.0628,L,1,12.0957,?,1,12.0957,L
1.58,-8.34046,-6.9147,0.0461966,-0.669895,1,14.4229,M,1,18.7404,?,1,18.7404,L
-0.127825,8.0486,-8.97496,0.435922,-1.78393,1,18.7202,M,1,19.925,?,1,19.925,L
2.138,8.39151,5.85484,-0.089472,3.10919,1,12.2122,M,1,12.868,?,1,12.868,L
-8.81402,1.59597,-2.92442,0.0565324,-2.5847,1,12.3394,L,1,12.4319,?,1,12.4319,L
0.67026,1.90822,2.14848,0.455222,2.93453,1,4.48135,M,1,5.20048,?,1,5.20048,L
-3.96594,-3.17992,-6.54492,-0.283255,0.0518635,1,13.6516,M,1,14.1257,?,1,14.1257,L
-1.53867,-7.57256,-7.29922,-0.0306441,-2.56516,1,15.2249,M,1,15.7044,?,1,15.7044,L
6.99074,-2.97493,-8.94172,0.492753,-1.76979,1,18.6509,H,1,22.6851,?,1,20.2737,H
6.11986,-7.61355,-7.68382,0.367044,1.28691,1,16.0271,M,1,17.1252,?,1,17.1252,L
1.11165,-0.110242,2.40163,-0.11195,2.67375,1,7.15091,L,1,7.50083,?,1,7.50083,L
8.00591,-2.65472,-3.69438,0.437538,3.08904,1,11.8689,L,1,12.3172,?,1,12.3172,L
8.53683,-3.91348,8.47988,-0.0324288,-0.246134,1,17.6876,M,1,57.2609,?,1,57.2609,L
-8.03925,2.51286,-3.57474,-0.431413,0.657046,1,13.6423,L,1,13.7104,?,1,13.7104,L
