Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.2203,29.8171,10.1101, 0
-2,0,1, 0, 31.6455,3.057,2.9557, 0
-1,0,0, 1, 26.4619,52.3009,2.2283, 0
0,0.638535,0.128861,0.232605, 33.6186,4.94912,16.8093, 0.24727
1,0.586296,0.413704,0, 24.4526,11.4724,12.2263, 0.211675
1,0.798087,0,0.201913, 22.7146,71.2196,11.3573, 0.157411
1,0,0.0709897,0.92901, 34.4388,29.3302,17.2194, 0.0668403
2,0.798087,0,0.201913, 23.7501,25.0827,11.8751, 0.157411
2,0.414486,0.585514,0, 24.0522,27.08,12.0261, 0.149645
2,0,0.0709897,0.92901, 22.8004,61.0167,11.4002, 0.0668403
2,0.414486,0.585514,0, 26.3356,8.14991,13.1678, 0.0471514
2,0.723957,0.276043,0, 23.4917,39.7613,11.7459, 0.0445029
2,1,0,0, 28.9731,97.0505,14.4866, 0
2,0,0,1, 37.2838,7.49755,18.6419, 0
2,0,1,0, 23.9747,22.2088,11.9874, 0
3,0.586296,0.413704,0, 26.1553,46.5033,13.0776, 0.211675
3,0.798087,0,0.201913, 42.7028,23.9125,21.3514, 0.157411
3,0,0.0709897,0.92901, 24.0623,13.4655,12.0312, 0.0668403
3,0.414486,0.585514,0, 22.6353,8.82006,11.3177, 0.0471514
3,0.723957,0.276043,0, 24.7974,22.7293,12.3987, 0.0445029
3,0.723957,0.276043,0, 28.0317,10.1201,11.3822, 0.0445029
3,0.367223,0.632777,0, 22.3876,13.5801,11.1938, 0.0417748
3,0.367223,0.632777,0, 23.8718,8.93552,11.9359, 0.0111037
4,0.586296,0.413704,0, 24.858,9.68414,12.429, 0.211675
4,0.798087,0,0.201913, 24.3606,10.4205,12.1803, 0.157411
4,0,0.0709897,0.92901, 22.7621,15.9455,11.381, 0.0668403
4,0.407497,0.592503,0, 22.5574,21.9282,11.2787, 0.0463563
4,0.723957,0.276043,0, 24.526,11.7013,12.263, 0.0445029
4,0.723957,0.276043,0, 32.672,9.82682,16.336, 0.0445029
4,0.279025,0.720975,0, 26.7695,10.7863,13.3847, 0.036012
4,0.279025,0.720975,0, 23.7941,15.5281,11.897, 0.036012
5,0.798087,0,0.201913, 38.2167,10.6741,19.1084, 0.157411
5,0.724268,0.275732,0, 29.5273,24.8133,3.23037, 0.14108
5,0,0.0709897,0.92901, 23.5117,14.4398,11.7558, 0.0668403
5,0.724268,0.275732,0, 23.6254,47.6024,11.8127, 0.0488751
5,0.414486,0.585514,0, 34.6412,18.0021,17.3206, 0.0471514
5,0.414486,0.585514,0, 36.7768,5.18404,18.3884, 0.0471514
5,0.371373,0.628627,0, 24.8562,12.8184,12.4281, 0.0464497
5,0.723957,0.276043,0, 25.8591,8.30781,12.9295, 0.0445029
6,0.586296,0.413704,0, 24.2051,10.523,12.1025, 0.211675
6,0.798087,0,0.201913, 24.4109,15.9093,12.2054, 0.157411
6,0,0.0709897,0.92901, 31.1206,10.3951,4.20345, 0.0668403
6,0.724268,0.275732,0, 26.7274,25.339,13.3637, 0.0488751
6,0.724268,0.275732,0, 25.4346,8.08657,12.7173, 0.0488751
6,0.414486,0.585514,0, 24.6552,54.9344,12.3276, 0.0471514
6,0.414486,0.585514,0, 23.9525,19.3905,11.9763, 0.0471514
6,0.371373,0.628627,0, 23.4248,9.04175,11.7124, 0.0464497
7,0.798087,0,0.201913, 40.8729,8.14848,20.4364, 0.157411
7,0.377779,0.622221,0, 25.6703,34.2664,12.8351, 0.136392
7,0,0.0709897,0.92901, 24.2163,7.88792,12.1081, 0.0668403
7,0.377779,0.622221,0, 27.5207,8.69362,10.9995, 0.0507695
7,0.724268,0.275732,0, 26.8048,20.8713,13.4024, 0.0488751
7,0.724268,0.275732,0, 25.6893,9.31069,12.8446, 0.0488751
7,0.745527,0.254473,0, 29.3029,55.3803,4.69388, 0.0484655
7,0.414486,0.585514,0, 29.3089,9.91284,14.6545, 0.0471514
8,0.586296,0.413704,0, 25.8634,13.2742,10.7202, 0.211675
8,0.798087,0,0.201913, 39.283,6.53,19.6415, 0.157411
8,0,0.0709897,0.92901, 23.5254,49.1338,11.7627, 0.0668403
8,0.377779,0.622221,0, 23.8578,7.12216,11.9289, 0.0507695
8,0.377779,0.622221,0, 23.0664,8.41557,11.5332, 0.0507695
8,0.724268,0.275732,0, 22.1735,12.3804,11.0868, 0.0488751
8,0.724268,0.275732,0, 22.7848,20.4572,11.3924, 0.0488751
8,0.745527,0.254473,0, 22.4532,7.3341,11.2266, 0.0484655
