Parent Map for Subproblem Tree 25
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.95679, 15.2908) -> 0 (1, 15)
    2 (2.90764, 14.9811) -> 7027 (2.14933, 15.0794)
    3 (3.28724, 15.9062) -> 1456 (2.8805, 15.668)
    4 (3.41676, 14.1204) -> 9342 (2.96908, 14.1389)
    5 (4.20499, 13.505) -> 5906 (4.13472, 13.3581)
    6 (4.47092, 12.541) -> 6831 (3.88508, 12.3714)
    7 (5.39812, 12.1665) -> 3132 (5.06892, 12.1033)
    8 (6.0278, 11.3896) -> 3734 (5.21297, 11.6467)
    9 (3.83564, 16.7425) -> 5711 (3.4288, 16.4624)
    10 (5.84275, 10.4069) -> 8439 (5.52084, 10.5204)
    11 (6.30275, 9.51895) -> 5023 (5.56187, 10.0043)
    12 (4.80174, 17.0006) -> 6495 (4.34458, 16.536)
    13 (7.29543, 9.63969) -> 6217 (6.52069, 9.96737)
    14 (5.70802, 8.71503) -> 9714 (5.35541, 9.47155)
    15 (5.10329, 17.9541) -> 9625 (4.28981, 17.3784)
    16 (6.78728, 12.0401) -> 627 (5.94627, 12.0954)
    17 (5.89094, 18.5702) -> 4003 (5.68341, 18.2988)
    18 (7.5299, 8.66756) -> 8061 (6.90953, 9.0337)
    19 (4.76376, 8.38582) -> 7061 (4.27083, 9.21679)
    20 (8.50668, 8.45331) -> 9992 (8.48152, 8.482)
    21 (4.21736, 7.54829) -> 7562 (3.9345, 8.0243)
    22 (6.36789, 19.4491) -> 5353 (5.70595, 18.987)
    23 (9.19521, 7.7281) -> 8099 (9.14567, 7.73882)
    24 (9.49197, 6.77315) -> 5224 (9.18719, 7.08961)
    25 (10.3071, 6.19394) -> 8217 (9.3735, 6.49395)
    26 (7.19661, 20.0088) -> 22 (6.36789, 19.4491)
    27 (11.2965, 6.04851) -> 4821 (10.6455, 6.31635)
    28 (8.18711, 19.8712) -> 6461 (7.52536, 19.4519)
    29 (12.271, 6.27316) -> 9176 (11.5496, 6.60372)
    30 (12.9821, 6.9762) -> 8931 (12.7679, 6.98469)
    31 (13.786, 6.38142) -> 9728 (12.908, 6.78978)
    32 (14.6975, 5.97011) -> 9551 (13.954, 6.35267)
    33 (15.2926, 6.77376) -> 2257 (15.0077, 6.79233)
    34 (8.66952, 20.7472) -> 9317 (7.99421, 20.3931)
    35 (9.63017, 21.0249) -> 9756 (9.18267, 20.6767)
    36 (15.248, 7.77277) -> 9401 (14.3165, 7.70227)
    37 (15.3973, 5.25577) -> 5543 (14.6388, 5.39694)
    38 (10.5474, 20.6266) -> 9503 (10.5671, 20.6434)
    39 (15.8392, 8.5793) -> 7864 (15.4263, 8.30159)
    40 (11.4907, 20.2948) -> 8685 (11.2699, 19.8167)
    41 (12.4789, 20.4482) -> 9812 (12.5036, 20.4035)
    42 (4.59677, 14.3846) -> 9261 (3.79156, 14.5219)
    43 (8.01229, 21.5009) -> 9001 (7.98924, 21.2743)
    44 (7.19885, 22.0825) -> 9951 (7.04406, 21.9645)
    45 (9.92293, 5.2707) -> 9595 (9.45402, 5.92381)
    46 (15.8832, 8.86799) -> 2384 (14.9745, 8.66404)
    47 (16.051, 4.49903) -> 8958 (15.3809, 4.75448)
    48 (9.47537, 4.37644) -> 8649 (9.24647, 4.7722)
    49 (3.22418, 7.43174) -> 9840 (2.68238, 8.10161)
    50 (7.46217, 11.3022) -> 2509 (6.62528, 11.4544)
    51 (13.2226, 21.1167) -> 6597 (13.626, 20.3606)
    52 (7.52304, 23.0285) -> 3995 (7.32264, 22.8218)
    53 (16.03, 3.49925) -> 7969 (15.5451, 3.64794)
    54 (17.0415, 4.63663) -> 9400 (16.8373, 4.66665)
    55 (14.075, 21.6397) -> 9002 (14.0741, 20.8607)
    56 (11.53, 19.2955) -> 9759 (11.3613, 19.0839)
    57 (7.81593, 23.9847) -> 9057 (7.30043, 23.2243)
    58 (16.1725, 9.82523) -> 7763 (15.397, 9.23515)
    59 (13.5313, 5.41439) -> 8776 (13.39, 5.41627)
    60 (18.0415, 4.63411) -> 6359 (17.4167, 4.79861)
    61 (18.838, 4.02954) -> 9847 (18.0747, 4.16469)
    62 (7.5147, 12.7263) -> 7992 (7.43958, 12.7224)
    63 (2.84355, 6.50701) -> 9220 (2.66618, 7.12051)
    64 (7.90791, 24.9804) -> 9316 (7.49845, 24.5008)
    65 (17.0357, 10.33) -> 8337 (17.0243, 10.302)
    66 (17.8855, 10.8571) -> 6120 (17.3447, 10.5187)
    67 (6.94662, 25.256) -> 9652 (6.60089, 24.5402)
    68 (10.9523, 18.4792) -> 8026 (11.0454, 18.4387)
    69 (14.3331, 22.6058) -> 9403 (14.9203, 22.0952)
    70 (15.5104, 2.64486) -> 8499 (15.1437, 2.73732)
    71 (8.96855, 5.56928) -> 8257 (8.44877, 5.95818)
    72 (15.5989, 1.64878) -> 6587 (15.2865, 1.96583)
    73 (3.70422, 12.7615) -> 7042 (2.87377, 12.8986)
    74 (4.87406, 17.1378) -> 8456 (4.03537, 16.8873)
    75 (8.76528, 25.4951) -> 6751 (8.39883, 25.1194)
    76 (6.20256, 22.1686) -> 7750 (5.57617, 21.5535)
    77 (12.6122, 21.9088) -> 9961 (12.032, 21.564)
    78 (19.8232, 3.85806) -> 8368 (19.1323, 4.20951)
    79 (14.7819, 23.4995) -> 5721 (14.6617, 22.8726)
    80 (11.0193, 17.4815) -> 6231 (10.6453, 17.4304)
    81 (3.33091, 11.8338) -> 9395 (3.05299, 11.9435)
    82 (1.85453, 6.35926) -> 9710 (1.98076, 7.30692)
    83 (20.0526, 2.88471) -> 9219 (19.2999, 3.11284)
