Parent Map for Subproblem Tree 10
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.39291, 2.4352) -> 11 (5.94791, 12.836)
    2 (2.8124, 3.84411) -> 17 (13.3548, 6.52593)
    3 (3.49355, 5.72455) -> 169 (8.40788, 6.57171)
    4 (5.46501, 6.06124) -> 777 (7.54759, 6.87355)
    5 (6.99215, 7.35269) -> 0 (0, 1)
    6 (6.19415, 9.18658) -> 5 (6.99215, 7.35269)
    7 (1.79466, 6.77991) -> 13 (12.2048, 4.88956)
    8 (8.84061, 6.589) -> 584 (9.0687, 3.50671)
    9 (10.2208, 5.14155) -> 1767 (9.63105, 4.83114)
    10 (5.26338, 10.9568) -> 644 (4.77464, 10.273)
    11 (5.94791, 12.836) -> 1013 (6.45564, 13.6695)
    12 (1.58632, 6.32659) -> 1431 (3.39022, 6.37592)
    13 (12.2048, 4.88956) -> 545 (9.55903, 5.25031)
    14 (7.82424, 13.5284) -> 1192 (8.44789, 15.6298)
    15 (4.69234, 3.16158) -> 62 (7.82616, 9.81071)
    16 (8.29893, 5.83864) -> 1853 (7.34432, 5.01148)
    17 (13.3548, 6.52593) -> 2483 (13.0065, 5.42757)
    18 (9.01506, 15.1352) -> 1360 (8.31006, 14.6197)
    19 (8.86472, 11.8203) -> 2 (2.8124, 3.84411)
    20 (10.8081, 16.0212) -> 919 (10.8266, 13.9826)
    21 (4.52953, 14.2461) -> 4 (5.46501, 6.06124)
    22 (1.62626, 8.7728) -> 9 (10.2208, 5.14155)
    23 (4.68044, 16.2404) -> 4 (5.46501, 6.06124)
    24 (12.7836, 15.7092) -> 525 (10.3991, 13.6327)
    25 (15.0894, 5.53043) -> 903 (13.2746, 7.25783)
    26 (12.4363, 17.6788) -> 902 (11.7025, 15.7104)
    27 (13.8838, 14.0389) -> 2045 (12.3815, 13.45)
    28 (16.8964, 6.38769) -> 167 (12.9293, 7.31445)
    29 (10.984, 19.0539) -> 10 (5.26338, 10.9568)
    30 (10.3501, 10.4811) -> 29 (10.984, 19.0539)
    31 (15.6511, 14.9752) -> 166 (10.5275, 13.8266)
    32 (7.03781, 15.436) -> 1395 (8.03682, 13.728)
    33 (3.28199, 17.6702) -> 19 (8.86472, 11.8203)
    34 (6.36752, 11.1791) -> 1068 (3.95262, 11.1025)
    35 (16.9763, 16.4731) -> 30 (10.3501, 10.4811)
    36 (6.68377, 2.97662) -> 67 (11.7167, 7.67337)
    37 (18.2551, 7.85531) -> 58 (12.3158, 10.8498)
    38 (0.471607, 0.660038) -> 4 (5.46501, 6.06124)
    39 (16.1316, 16.9166) -> 19 (8.86472, 11.8203)
    40 (16.5001, 8.81458) -> 711 (14.28, 10.4729)
    41 (6.45412, 4.10821) -> 169 (8.40788, 6.57171)
    42 (1.28279, 17.6134) -> 10 (5.26338, 10.9568)
    43 (7.72716, 1.27036) -> 17 (13.3548, 6.52593)
    44 (14.6081, 8.08451) -> 2461 (15.0222, 8.21658)
    45 (18.9414, 16.1009) -> 80 (13.3406, 12.1141)
    46 (1.62308, 19.5843) -> 11 (5.94791, 12.836)
    47 (1.33023, 4.34306) -> 34 (6.36752, 11.1791)
