Length, Risk, TravelTime, Paths.x, Paths.y , Fitness, Weights
27.2765,4.03346,2.35059,"1;1.00974;0.993047;0.915359;0.908026;0.882507;0.776335;1.20592;1.55949;1.86473;2.19809;2.31669;2.705;2.84221;3.11015;3.51824;3.8785;4.27618;4.60037;4.98853;5.39597;5.88834;6.04304;6.53625;7.02634;7.48208;7.85323;8.21411;8.58149;8.98376;9.13371;9.45823;9.76711;10.1109;10.5816;10.813;11.1224;11.5099;11.7728;12.1639;12.5484;12.8532;13.1905;13.6521;14.0781;14.1908;14.6491;15.1409;15.4016;15.6806;16.0408;16.5196;16.9246;17.2518;17.481;17.7831;18.255;18.5558;18.9262;19.3768;19.6946;20.0882;20.3442;20.5175;20.8787;21.2275;21.5885;21.715;21.9884;21.8873;21.7857;21.6609;21.4814;21.2119;21","15;14.538;14.4758;14.0175;13.7956;13.3039;12.9032;12.697;12.3577;12.2444;11.8756;11.8947;11.8932;11.8947;11.9928;12.0311;12.0303;11.9189;11.7861;11.7676;11.6537;11.5962;11.56;11.5822;11.4854;11.3551;11.4302;11.409;11.307;11.2661;11.257;11.1186;11.086;11.0352;10.9686;11.0007;11.0569;10.8848;10.9778;11.0632;11.1131;11.116;11.0966;11.1718;11.1493;11.1525;11.2695;11.2485;11.2708;11.207;11.0612;11.0946;11.0663;11.184;11.1674;11.0836;11.2113;11.2893;11.3839;11.3567;11.6884;11.7774;11.567;11.7298;12.0712;12.2313;12.2832;12.508;12.6849;13.0927;13.5208;13.8372;14.2858;14.6675;15",2.35059,"0;0;1"
24.3664,1.78741,2.29166,"1;1.23386;1.44253;1.51195;1.60394;1.65629;1.66309;1.97873;2.19844;2.58728;2.9987;3.46044;3.91078;4.10672;4.46131;4.87293;5.21448;5.43906;5.87464;6.17001;6.56655;7.05345;7.26367;7.53559;7.96545;8.34016;8.75825;9.00678;9.45573;9.8966;10.3493;10.8219;11.0941;11.5235;11.6525;11.9909;12.4268;12.849;13.0471;13.4022;13.8987;14.144;14.6242;14.8341;15.2036;15.6439;16.0983;16.5781;16.8754;17.2001;17.3844;17.8251;18.2559;18.5649;19.0385;19.3645;19.8135;20.2155;20.6171;21.0455;21.2145;21.2911;21.2449;21.1786;21.1045;21.1006;21","15;14.6226;14.1849;13.8474;13.409;13.0592;12.9092;12.888;12.8618;12.8645;12.7468;12.6189;12.4107;12.3941;12.362;12.2676;12.2635;12.288;12.3524;12.3886;12.4775;12.4683;12.5285;12.6788;12.6006;12.5558;12.5354;12.578;12.6201;12.8305;12.9383;12.9738;12.895;12.936;12.8871;12.7322;12.7405;12.7596;12.6985;12.6379;12.5962;12.4987;12.5836;12.6494;12.7298;12.6351;12.8438;12.7031;12.5931;12.5913;12.6311;12.6943;12.6672;12.672;12.7551;12.6872;12.6218;12.7269;12.8741;12.941;12.9862;13.1985;13.6797;13.9312;14.1981;14.5757;15",2.27485,"0;0.0333333;0.966667"
24.8183,1.79142,2.35862,"1;1.16325;1.30088;1.52689;1.59554;1.71221;1.62958;2.05086;2.39329;2.73461;3.06773;3.37036;3.78905;4.12874;4.37576;4.82212;5.07482;5.38735;5.78897;6.09544;6.54324;6.95865;7.13101;7.42615;7.91519;8.34021;8.66639;9.10353;9.52253;9.82422;10.127;10.599;11.0453;11.5234;11.9856;12.1606;12.5926;12.767;13.2262;13.6204;13.7325;14.1875;14.594;14.9055;15.3246;15.7901;16.156;16.6158;16.6985;17.1253;17.3615;17.6303;18.0126;18.3638;18.7138;18.9643;19.4235;19.7729;20.2182;20.6068;20.9154;21.3035;21.3884;21.5039;21.3713;21.2984;21.1034;20.962;21","15;14.7704;14.4528;14.1699;13.7863;13.336;12.8839;12.827;12.7559;12.6764;12.6014;12.5034;12.4561;12.4408;12.4154;12.2272;12.1641;12.0637;12.0785;12.1407;12.222;12.2392;12.2716;12.3098;12.3149;12.3726;12.3551;12.2369;12.1925;12.3276;12.3696;12.4831;12.5703;12.5861;12.5949;12.7176;12.7907;12.763;12.6132;12.5192;12.553;12.5377;12.5992;12.6564;12.6886;12.6145;12.3369;12.3737;12.3958;12.4764;12.5134;12.6194;12.5358;12.538;12.5853;12.5811;12.5607;12.5082;12.6701;12.8142;12.929;12.8603;12.9289;13.3341;13.6555;14.045;14.5037;14.8129;15",2.32081,"0;0.0666667;0.933333"
24.3417,2.01774,2.25462,"1;1.17126;1.27391;1.35072;1.41976;1.57761;1.83695;2.08;2.34992;2.78028;3.17514;3.51816;3.75655;4.14876;4.46023;4.73589;5.18586;5.48505;5.94408;6.10322;6.48431;6.92268;7.16269;7.64619;7.96649;8.23404;8.64103;9.06406;9.43656;9.86032;10.206;10.4218;10.8996;11.2829;11.7412;12.1638;12.5356;12.9288;13.3674;13.6622;14.0776;14.2994;14.7261;14.8918;15.3153;15.6177;15.994;16.2242;16.5998;17.0227;17.3078;17.6262;18.0086;18.2207;18.6894;19.167;19.5862;19.9049;20.2808;20.768;20.9749;21.074;20.9858;20.9692;21.0468;21","15;14.5302;14.1351;13.6722;13.3063;12.9105;12.9326;12.989;12.9226;12.8691;12.8414;12.789;12.6327;12.6514;12.7679;12.7549;12.8189;12.8169;12.6521;12.5793;12.43;12.262;12.2688;12.1556;12.0597;12.0338;11.8931;11.9037;11.873;11.8447;11.8181;11.8379;11.8899;12.0367;12.0614;11.9961;11.9755;11.8906;11.8138;12.0307;12.0932;12.1826;12.223;12.2918;12.3097;12.4459;12.4321;12.4463;12.4494;12.2849;12.2992;12.3311;12.447;12.4644;12.5936;12.5331;12.4942;12.6066;12.7197;12.7937;12.83;13.1672;13.6131;14.0974;14.5728;15",2.23093,"0;0.1;0.9"
23.9218,1.71974,2.29453,"1;1.20043;1.44101;1.50073;1.57183;1.6841;1.74968;1.96426;2.32102;2.51619;2.82271;3.13712;3.50249;3.7999;4.06893;4.38323;4.73384;5.17249;5.49079;5.84338;6.24437;6.45423;6.88017;7.11305;7.4219;7.76177;8.25957;8.50766;8.92552;9.15164;9.56579;9.91274;10.2789;10.7222;11.0774;11.2313;11.7262;12.1481;12.3192;12.6483;13.1016;13.5214;13.9888;14.2799;14.7341;15.0301;15.3985;15.7181;16.1688;16.4334;16.7698;17.191;17.5328;17.9208;18.3355;18.8105;19.0042;19.3127;19.7782;20.2518;20.47;20.9388;20.9677;21.0239;20.8928;20.9095;20.9824;21","15;14.73;14.3167;14.0159;13.7021;13.2162;12.9352;12.8917;12.6939;12.666;12.5982;12.6898;12.6872;12.7063;12.6457;12.7683;12.8333;12.7304;12.7123;12.7048;12.6393;12.625;12.7266;12.803;12.7667;12.7279;12.7278;12.6599;12.8443;12.8655;12.7601;12.7728;12.7322;12.5526;12.5561;12.5954;12.5303;12.4831;12.5492;12.6212;12.6935;12.7971;12.7694;12.7338;12.6962;12.6656;12.735;12.6583;12.6809;12.6528;12.6985;12.5974;12.5663;12.7041;12.7619;12.6229;12.6373;12.6517;12.8114;12.8353;12.8531;12.9708;13.2395;13.7234;14.1944;14.4165;14.796;15",2.21789,"0;0.133333;0.866667"
24.7269,1.54424,2.36863,"1;1.24605;1.52929;1.63346;1.85357;1.92672;1.98486;1.9828;2.41072;2.81117;3.23374;3.60852;4.08579;4.20527;4.6548;5.09959;5.24574;5.6404;5.8697;6.02993;6.51827;6.93372;7.32458;7.75951;8.07381;8.48399;8.75713;9.18476;9.66614;10.1507;10.5282;10.9579;11.4078;11.7926;11.9614;12.2371;12.5398;12.8044;13.1905;13.6765;14.036;14.4313;14.682;15.104;15.5709;15.6322;16.1204;16.3184;16.7515;17.1964;17.4916;17.5223;18.0098;18.3629;18.723;19.0577;19.4705;19.8223;20.2143;20.6117;21.0448;21.2695;21.2545;21.2675;21.269;21.1614;21.063;21","15;14.7705;14.4184;14.1517;13.7332;13.4879;13.1252;12.9395;12.6849;12.8322;12.8283;12.625;12.523;12.5173;12.4739;12.4759;12.5031;12.4224;12.302;12.1481;12.1101;12.0561;12.0565;12.0675;11.9395;11.8152;11.8504;11.7704;11.8347;11.8413;11.8225;11.889;11.8525;11.8637;11.9554;12.1219;12.0886;12.0826;12.1173;12.2166;12.4135;12.5621;12.6795;12.6948;12.7569;12.7367;12.8389;12.7847;12.6755;12.7666;12.7409;12.7529;12.6446;12.6322;12.6624;12.5134;12.3721;12.574;12.7859;12.7915;12.9288;12.7692;13.1775;13.4624;13.8836;14.2463;14.678;15",2.23123,"0;0.166667;0.833333"
24.0064,1.96525,2.28684,"1;1.13218;1.1338;1.19818;1.38446;1.56666;1.76508;1.92287;2.22355;2.66544;3.03259;3.51106;3.99566;4.25842;4.50763;4.84141;5.14349;5.52481;6.01429;6.49945;6.83614;7.12078;7.49221;7.85216;8.24036;8.73034;9.12546;9.57673;9.97893;10.4323;10.8113;11.1386;11.4584;11.8213;12.1803;12.6481;12.6908;12.9596;13.3777;13.6318;14.0939;14.1965;14.6193;14.9189;15.2496;15.6914;16.1378;16.5233;16.973;17.3777;17.7585;17.8725;18.2226;18.4139;18.879;19.3062;19.7808;20.2326;20.547;20.9913;20.9764;20.9468;20.8916;20.9361;21.014;21","15;14.766;14.4717;14.0959;13.7424;13.2952;12.9198;12.8926;12.6691;12.7013;12.6164;12.5188;12.4786;12.409;12.3503;12.3801;12.3725;12.3903;12.3798;12.3071;12.3636;12.434;12.1754;12.1554;12.1175;12.2098;12.2249;12.2423;12.2026;12.291;12.3277;12.2363;12.2128;12.1178;12.2331;12.2191;12.2312;12.2253;12.1285;12.063;12.0903;12.1296;12.1529;12.2663;12.2748;12.2611;12.1895;12.2113;12.2957;12.2957;12.3804;12.4576;12.5751;12.6015;12.6636;12.7344;12.7874;12.9002;12.9014;12.918;13.2604;13.7477;14.1833;14.4052;14.8541;15",2.22252,"0;0.2;0.8"
24.6513,2.06928,2.34055,"1;1.05372;1.1593;1.2612;1.39337;1.51207;1.74453;1.91554;2.17826;2.16003;2.15027;2.30371;2.68673;3.10167;3.38043;3.55124;3.75903;4.1046;4.27014;4.70059;5.08195;5.53348;5.63871;6.09483;6.52072;6.96631;7.31575;7.63946;7.80089;8.18784;8.577;8.87268;9.10274;9.53972;10.0394;10.1861;10.489;10.9487;11.3609;11.7709;12.1343;12.5643;12.9747;13.2926;13.6683;14.0929;14.4266;14.911;15.3955;15.7707;16.1817;16.3809;16.8354;17.219;17.6897;18.08;18.3642;18.8585;19.0931;19.4978;19.7795;20.2127;20.4676;20.6569;20.599;20.6683;20.8418;20.8913;21.0458;21","15;14.8625;14.5027;14.0393;13.6071;13.1289;12.9808;12.8771;12.7225;12.4861;12.4163;12.232;12.3174;12.2999;12.4697;12.5967;12.6398;12.6996;12.6724;12.6328;12.5456;12.4938;12.4883;12.4964;12.5897;12.6175;12.5473;12.4582;12.403;12.4284;12.458;12.5674;12.5252;12.5856;12.5892;12.5662;12.8177;12.8223;12.6447;12.5303;12.6016;12.8204;12.8195;12.7777;12.7357;12.7829;12.721;12.6844;12.6917;12.7843;12.624;12.6937;12.4882;12.4392;12.4633;12.4142;12.367;12.4078;12.3859;12.3223;12.2442;12.3634;12.5108;12.9412;13.2989;13.6238;14.0215;14.2398;14.5477;15",2.27726,"0;0.233333;0.766667"
25.2273,1.7343,2.39144,"1;1.30051;1.40963;1.42237;1.46849;1.67055;1.83263;1.95314;2.3201;2.73194;2.97293;3.18311;3.51641;3.89665;4.3445;4.51182;4.92791;5.27941;5.51828;5.9973;6.43071;6.73934;6.8433;7.3321;7.75702;8.08383;8.45474;8.79275;9.26686;9.70216;10.014;10.238;10.6838;11.0179;11.1641;11.575;11.8701;12.2961;12.6115;12.7738;12.9881;13.4822;13.7973;14.2254;14.5275;14.6617;15.1032;15.4376;15.6648;15.7832;16.2454;16.65;16.8332;17.2931;17.6842;18.0644;18.3025;18.5917;18.9962;19.4442;19.8078;20.2248;20.4523;20.6693;20.9449;20.9147;21.0265;21.1358;21.1972;21.1121;21","15;14.8263;14.4833;14.2783;13.9406;13.4894;13.1113;12.8021;12.5531;12.5171;12.828;12.8038;12.7247;12.6069;12.4426;12.4051;12.4853;12.4424;12.3526;12.2759;12.3167;12.3195;12.2672;12.2959;12.3908;12.3245;12.3648;12.3662;12.2963;12.4793;12.4277;12.6385;12.651;12.4207;12.021;11.7643;11.6586;11.5638;11.741;11.7324;11.7114;11.766;11.8368;11.669;11.8013;11.9446;12.1494;12.0831;12.1197;12.1141;12.0891;12.1458;12.0591;12.0114;12.2422;12.3374;12.3932;12.4295;12.2663;12.331;12.2521;12.2746;12.593;12.7832;12.9666;13.3286;13.8042;14.0631;14.5406;14.8385;15",2.21621,"0;0.266667;0.733333"
23.8467,1.50534,2.48374,"1;1.12136;1.35498;1.55093;1.77421;1.91137;2.05796;2.08889;2.19953;2.6273;3.05091;3.53521;3.77155;4.13301;4.5129;4.75257;5.07023;5.4205;5.66864;6.03151;6.26895;6.76276;7.18984;7.61936;8.1098;8.43856;8.76928;9.15551;9.41326;9.81255;10.1813;10.6316;11.0269;11.4304;11.7585;12.1356;12.5576;12.9898;13.4454;13.7077;14.0179;14.4772;14.7419;15.1635;15.4476;15.7098;16.1718;16.6592;17.0901;17.4266;17.8745;18.1483;18.4149;18.6953;19.0933;19.5448;20.0187;20.459;20.6007;20.6398;20.6699;20.6888;20.8243;20.6744;21","15;14.9667;14.5921;14.2756;13.9265;13.7666;13.3102;13.2248;12.8168;12.7317;12.766;12.8223;12.699;12.5288;12.6929;12.6306;12.4781;12.2638;12.1527;12.1676;12.1597;12.0939;11.9637;11.908;12.0054;12.0459;12.0586;12.1141;12.1961;12.1343;12.267;12.3577;12.4201;12.3674;12.4186;12.3799;12.1643;12.2045;12.07;12.0591;11.9431;11.9232;12.0457;12.0803;12.1101;12.0843;12.1554;12.2662;12.2308;12.3335;12.4339;12.4252;12.5094;12.5683;12.6754;12.7179;12.7415;12.7541;13.2134;13.3362;13.8166;13.8948;14.3761;14.7033;15",2.19022,"0;0.3;0.7"
