Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
0.976643,38.3851,0.792557,"1;2.01452;2.98744;4.37354;5.40292;6.17976;7.4786;8.56842;8.94777;10.0713;10.8218;11.5315;12.6722;13.3659;14.6332;15.952;16.3386;17.674;18.6985;19.476;20.2602;20.8301;21","15;14.1883;13.5207;12.7815;12.339;12.0754;11.7075;11.4776;11.4322;11.3438;11.3166;11.3184;11.4086;11.4973;11.7179;12.0861;12.2108;12.7786;13.3347;13.8246;14.3652;14.8422;15",0.792557,"0;0;1"
1.55964,5.8301,1.02443,"1;1.22817;1.67507;2.01243;2.24566;2.40707;2.80706;3.16747;3.47832;3.78425;4.14295;4.812;5.06519;5.3896;5.71082;6.11444;6.38645;6.8448;7.22504;7.79622;7.9393;8.52604;8.77462;9.66064;10.0688;11.4069;11.9695;12.7427;12.9336;13.869;15.0676;15.4698;16.2078;17.0372;17.9128;18.295;19.2187;19.5991;19.8285;20.304;20.5588;20.8421;21.2308;21.5037;21.5516;21.6071;21.6211;21.6099;21.5054;21.4068;21.1693;21","15;14.695;13.5837;12.2223;11.2026;10.5275;9.21479;8.28743;7.64006;7.12418;6.58602;5.88483;5.66687;5.41722;5.1716;4.9151;4.74926;4.53291;4.387;4.19372;4.14764;3.99899;3.93928;3.798;3.73528;3.6666;3.68523;3.74407;3.7642;3.91979;4.20363;4.34598;4.64095;5.04029;5.57693;5.86923;6.6762;7.11284;7.39974;8.04694;8.44505;9.0154;9.97588;10.9716;11.3106;11.8435;12.5731;12.7783;13.6961;14.0886;14.7024;15",1.50499,"0;0.1;0.9"
1.62812,5.57123,1.06476,"1;1.24471;1.47015;1.64194;1.85917;2.18633;2.40908;2.59499;2.9724;3.33635;3.5253;3.79992;4.17388;4.452;4.92047;5.47303;5.59683;6.23864;6.78831;7.15595;8.26573;9.48752;10.2391;10.5798;11.2877;11.7418;12.4757;12.8603;13.4064;13.7784;13.9885;14.454;15.2979;16.501;16.8128;17.7518;18.0726;18.6739;19.3607;19.9459;20.1749;20.7144;21.0807;21.4666;21.8446;22.0498;22.1229;22.2235;22.2819;22.294;22.2948;22.2036;22.163;21.97;21.9487;21.6456;21.2282;21","15;14.6982;14.2651;13.8568;12.9889;11.4153;10.39;9.66907;8.46792;7.59182;7.1957;6.70519;6.0954;5.74992;5.30436;4.86317;4.77841;4.43289;4.18587;4.05095;3.73746;3.55263;3.48767;3.46782;3.462;3.4657;3.50495;3.54824;3.61662;3.67394;3.71128;3.80435;4.00313;4.35431;4.47095;4.89957;5.08158;5.45599;5.99152;6.46279;6.69135;7.2783;7.7563;8.36759;9.19457;9.73343;9.96655;10.4443;10.8064;11.7227;11.8821;12.6466;12.8581;13.4458;13.5108;14.109;14.7408;15",1.96605,"0;0.2;0.8"
1.66635,5.4999,1.0891,"1;1.32626;1.61551;1.70878;1.97982;2.13792;2.42416;2.5935;2.76077;3.28693;3.54906;3.99116;4.38689;5.0184;5.41319;5.70724;6.55724;6.82798;7.42916;7.95421;8.84524;10.6011;11.4919;12.285;12.9239;14.1607;14.6794;15.79;17.2123;18.2545;18.7292;19.009;19.4394;20.1678;20.8947;21.4097;22.1253;22.4658;22.673;22.7239;22.7397;22.7102;22.5486;22.3507;22.1928;21.8043;21.5664;21.4247;21.1834;21","15;14.6147;13.8766;13.57;12.4466;11.6966;10.1767;9.52699;8.97898;7.49458;6.90511;6.1674;5.6283;5.0062;4.73192;4.56265;4.16603;4.05173;3.8416;3.71437;3.56449;3.42159;3.40669;3.44083;3.4848;3.62875;3.73689;3.99185;4.46687;4.97608;5.22084;5.37886;5.65993;6.19788;6.84252;7.47189;8.66777;9.45872;10.1785;10.7389;11.7048;11.9538;12.6547;13.2592;13.5686;14.1984;14.4712;14.6273;14.8478;15",2.41234,"0;0.3;0.7"
1.69117,5.46564,1.10642,"1;1.23973;1.44972;1.6048;1.88237;1.98971;2.34124;2.42131;2.68613;2.89467;3.11641;3.46041;3.81579;4.46353;4.6612;4.88767;5.25036;5.8117;6.03998;6.45226;7.34845;8.67003;9.56952;10.0454;10.7309;11.2607;11.844;12.0723;13.3325;14.0009;14.7537;15.0284;15.5024;16.1733;16.7174;17.1596;17.9916;18.3345;18.6306;19.0441;19.6405;20.2392;20.9246;21.1003;21.5848;21.8907;22.2908;22.6315;22.8838;22.9968;23.0113;23.071;23.0918;23.1014;23.0675;22.9894;22.9426;22.8208;22.6396;22.47;22.1347;21.8599;21","15;14.7727;14.42;14.0685;12.9856;12.4315;10.6807;10.3152;9.21231;8.48249;7.82639;6.97433;6.26985;5.38607;5.20064;4.99597;4.73199;4.40131;4.29454;4.12955;3.84487;3.56917;3.48665;3.45591;3.42294;3.41477;3.43565;3.44895;3.55246;3.6518;3.76995;3.82158;3.92453;4.0905;4.25841;4.41127;4.73815;4.90258;5.05118;5.27915;5.65372;6.07555;6.68277;6.8488;7.37711;7.78586;8.38072;9.00357;9.68044;10.1298;10.2027;10.5352;10.9196;11.1502;11.6704;12.2012;12.39;12.761;13.1924;13.5032;13.9734;14.2677;15",2.85011,"0;0.4;0.6"
1.71577,5.44463,1.12353,"1;1.33658;1.3836;1.57009;1.71727;1.92269;2.19259;2.40564;2.62017;2.66852;2.80003;2.9285;3.22334;3.55459;3.67771;3.88749;4.20277;4.35485;4.60398;5.14034;6.08584;6.91099;7.38441;7.74142;8.33362;8.72998;9.56175;10.3424;10.5419;11.145;12.3759;13.595;14.79;16.0903;16.9861;17.5932;18.3141;18.8003;19.2766;20.1395;20.7165;21.4093;21.8629;22.1108;22.4252;22.9499;23.1617;23.2402;23.349;23.4595;23.4564;23.3823;23.2624;23.0736;22.8129;22.6992;22.1929;21.8437;21","15;14.5943;14.4954;14.1015;13.6691;12.7917;11.4905;10.3903;9.44616;9.26355;8.78531;8.33499;7.50955;6.81202;6.55576;6.19532;5.73583;5.52523;5.2097;4.75347;4.21168;3.91263;3.7836;3.71053;3.6058;3.544;3.46066;3.4055;3.40151;3.40029;3.42159;3.51935;3.71354;4.03235;4.31352;4.53501;4.82783;5.04234;5.29618;5.84409;6.2767;6.88031;7.33808;7.64447;8.09455;8.9382;9.45091;9.66726;10.0696;11.0885;11.4743;11.9662;12.4145;12.9086;13.3451;13.5026;14.0988;14.4018;15",3.28408,"0;0.5;0.5"
1.74112,5.42887,1.14208,"1;1.21767;1.36728;1.52497;1.6449;1.95086;2.25916;2.64454;2.90395;3.16677;3.58724;3.85302;4.24746;4.35154;4.50046;4.91205;5.29357;5.50243;6.0837;6.61587;7.31729;7.94398;8.7526;9.88389;10.5241;11.8019;12.6193;13.3623;13.822;14.2639;14.8798;15.2086;16.2539;17.5215;18.0308;18.6962;19.903;20.7323;21.4272;21.6336;22.1794;22.9351;23.2191;23.5025;23.6903;23.7699;23.7974;23.7752;23.7049;23.499;23.1997;22.5619;22.3483;21.0768;21","15;14.7706;14.5461;14.2347;13.9091;12.6104;10.9971;9.2931;8.39437;7.58715;6.53942;6.08554;5.51676;5.38383;5.21855;4.87952;4.62073;4.49049;4.22026;4.02965;3.80005;3.65882;3.53463;3.41731;3.39208;3.38447;3.4301;3.49638;3.55254;3.61821;3.73341;3.81061;4.08255;4.48069;4.68716;4.96676;5.5759;6.11983;6.67651;6.85386;7.41043;8.38923;8.84598;9.52095;10.2154;10.6776;10.9766;11.5476;11.9405;12.7627;13.239;13.9519;14.1484;14.9595;15",3.71416,"0;0.6;0.4"
1.75564,5.42366,1.15243,"1;1.10849;1.35245;1.60936;1.75297;1.83563;2.03735;2.21031;2.58074;2.93211;3.07291;3.15599;3.36629;3.62759;4.22306;4.59037;5.06296;5.43917;5.77919;6.33144;7.12419;8.38757;9.18292;9.57052;10.3384;11.3421;12.4818;13.1683;14.2424;15.1476;15.8851;16.5294;17.1172;17.7456;18.4933;19.4474;19.7557;20.2231;20.8518;21.4047;21.6652;21.9637;22.3657;22.5669;23.0968;23.4581;23.6475;23.7993;23.8963;23.9146;23.9955;23.9984;23.9894;23.8823;23.7391;23.329;23.2535;23.2024;22.8773;22.4831;22.0569;21.6775;21","15;14.8999;14.6082;14.0326;13.5611;13.2147;12.1921;11.1665;9.45852;8.22462;7.83997;7.62532;7.08547;6.48239;5.55464;5.1371;4.71787;4.4451;4.27772;4.03742;3.81647;3.55483;3.46655;3.43213;3.38267;3.36007;3.42607;3.47529;3.62127;3.79494;3.96964;4.12927;4.29892;4.50303;4.81171;5.29018;5.46285;5.73526;6.15888;6.59407;6.80839;7.07393;7.47616;7.70198;8.40371;9.0123;9.39183;9.76707;10.1046;10.171;10.7424;10.8947;11.3562;12.1472;12.5349;13.2184;13.3268;13.3946;13.7345;14.1022;14.3936;14.6209;15",4.14229,"0;0.7;0.3"
1.77558,5.41825,1.16851,"1;1.1358;1.21514;1.39232;1.70671;1.85252;2.1524;2.3705;2.63015;2.65198;2.75031;2.89952;3.12441;3.41415;3.51517;3.73791;3.92956;4.2315;4.67358;5.09575;5.88969;6.06713;6.6424;7.28099;7.85074;8.55873;8.75676;9.78813;11.3035;12.1036;13.3542;14.6392;15.5351;16.5401;16.7018;17.7192;18.3968;18.5278;18.9101;19.5153;20.3373;20.9157;21.3196;21.8767;22.2816;22.53;22.7417;22.7501;22.9836;23.3727;23.5691;23.6377;24.0319;24.127;24.2332;24.2992;24.2957;24.2413;24.0884;23.8795;23.754;23.4179;23.0717;22.6828;22.1083;21","15;14.8443;14.744;14.4583;13.7453;13.1948;11.529;10.4762;9.34548;9.25642;8.86765;8.30668;7.63498;6.91227;6.67341;6.22658;5.89951;5.49558;5.06568;4.68076;4.25455;4.17412;3.94468;3.7817;3.67104;3.54677;3.52167;3.42822;3.38945;3.40419;3.50945;3.66807;3.85759;4.1257;4.17041;4.5094;4.7626;4.81766;4.98982;5.29032;5.76611;6.1577;6.45774;6.90654;7.29225;7.53532;7.7695;7.77935;8.04579;8.54089;8.85513;8.96905;9.74147;10.0251;10.4853;10.9512;11.7151;11.9775;12.4737;12.8955;13.1298;13.516;13.8186;14.1288;14.4684;15",4.5683,"0;0.8;0.2"
1.79622,5.41535,1.18419,"1;1.04241;1.29562;1.40233;1.60067;1.80646;2.14457;2.33343;2.4564;2.6325;2.92747;3.44355;3.64895;3.93788;4.06531;4.2889;4.77107;4.87818;5.22598;6.09987;6.78387;7.3082;7.78376;8.14358;9.26114;9.97017;11.0385;11.2558;12.4371;12.8224;13.8451;15.1241;16.6985;17.6565;18.9443;19.9894;20.8459;21.99;22.3008;22.3772;22.734;23.4761;23.9177;24.1752;24.5322;24.6314;24.5404;24.3601;24.0095;23.8345;23.4256;23.2753;22.8938;22.405;21.9072;21","15;14.9689;14.7059;14.4921;14.0449;13.3862;11.741;10.7325;10.0906;9.30762;8.24395;6.75086;6.32069;5.80852;5.61975;5.34211;4.85795;4.77378;4.5041;4.11572;3.91105;3.78856;3.67393;3.6062;3.48463;3.42762;3.39234;3.38811;3.43527;3.45541;3.56268;3.77425;4.16649;4.49296;5.02239;5.54317;6.05337;6.89257;7.1705;7.2428;7.59659;8.42161;9.02303;9.57109;10.5174;11.0549;11.8827;12.4353;13.017;13.2885;13.6992;13.8271;14.087;14.3528;14.6044;15",4.99224,"0;0.9;0.1"
