idx,Length,Risk,TravelTime,label,weight_Length,weight_Risk,weight_TravelTime
0,0.530092,0.841234,0.12467,convex,convex,0.0,0.0,1.0
1,0.632437,0.300905,0.1325,convex,convex,0.0,0.0333333,0.966667
2,0.685021,0.172632,0.13861,concave,concave,0.0,0.0666667,0.933333
3,0.712449,0.131206,0.142118,convex,convex,0.0,0.1,0.9
4,0.737237,0.105879,0.145384,concave,concave,0.0,0.133333,0.866667
5,0.754024,0.0933156,0.147635,convex,convex,0.0,0.166667,0.833333
6,0.762873,0.0877428,0.148865,concave,concave,0.0,0.2,0.8
7,0.773113,0.0824081,0.150308,convex,convex,0.0,0.233333,0.766667
8,0.786299,0.0772018,0.152085,concave,concave,0.0,0.266667,0.733333
9,0.792102,0.074637,0.15302,convex,convex,0.0,0.3,0.7
10,0.796419,0.0734976,0.153544,concave,concave,0.0,0.333333,0.666667
11,0.806779,0.070488,0.155104,concave,concave,0.0,0.366667,0.633333
12,0.811005,0.0694346,0.15576,convex,convex,0.0,0.4,0.6
13,0.816644,0.0682496,0.156588,convex,convex,0.0,0.433333,0.566667
14,0.821222,0.0674675,0.157273,concave,concave,0.0,0.466667,0.533333
15,0.826605,0.0666155,0.158035,concave,concave,0.0,0.5,0.5
16,0.831659,0.0658404,0.158843,concave,concave,0.0,0.533333,0.466667
17,0.835641,0.0652592,0.159478,concave,concave,0.0,0.566667,0.433333
18,0.840692,0.064609,0.160354,convex,convex,0.0,0.6,0.4
19,0.842069,0.0644303,0.160758,concave,concave,0.0,0.633333,0.366667
20,0.848553,0.0638182,0.16173,convex,convex,0.0,0.666667,0.333333
21,0.852246,0.0636867,0.1622,concave,concave,0.0,0.7,0.3
22,0.855374,0.0633625,0.162781,convex,convex,0.0,0.733333,0.266667
23,0.857473,0.063229,0.163194,concave,concave,0.0,0.766667,0.233333
24,0.862251,0.0629349,0.164117,concave,concave,0.0,0.8,0.2
25,0.871993,0.0625138,0.165864,concave,concave,0.0,0.833333,0.166667
26,0.873393,0.0624368,0.166169,convex,convex,0.0,0.866667,0.133333
27,0.883332,0.0622173,0.168055,convex,convex,0.0,0.9,0.1
28,0.892694,0.0620161,0.170136,convex,convex,0.0,0.933333,0.0666667
29,0.868321,0.0416309,0.709143,convex,convex,0.0,0.966667,0.0333333
30,1.00003,0.0384961,1.00388,convex,convex,0.0,1.0,0.0
31,0.522764,0.886144,0.124811,convex,convex,0.0333333,0.0,0.966667
32,0.614087,0.36775,0.130528,convex,convex,0.0333333,0.0333333,0.933333
33,0.66563,0.210315,0.136317,convex,convex,0.0333333,0.0666667,0.9
34,0.699853,0.147729,0.140535,convex,convex,0.0333333,0.1,0.866667
35,0.723684,0.118417,0.143621,concave,concave,0.0333333,0.133333,0.833333
36,0.738671,0.10473,0.145546,concave,concave,0.0333333,0.166667,0.8
37,0.751125,0.0949962,0.14729,concave,concave,0.0333333,0.2,0.766667
38,0.764825,0.0870689,0.149059,concave,concave,0.0333333,0.233333,0.733333
39,0.774667,0.0818749,0.150456,convex,convex,0.0333333,0.266667,0.7
40,0.779179,0.0796597,0.151141,convex,convex,0.0333333,0.3,0.666667
41,0.784913,0.0772686,0.151957,convex,convex,0.0333333,0.333333,0.633333
42,0.794081,0.0739678,0.153383,concave,concave,0.0333333,0.366667,0.6
43,0.796581,0.0731932,0.153684,concave,concave,0.0333333,0.4,0.566667
44,0.808869,0.0699799,0.155418,concave,concave,0.0333333,0.433333,0.533333
45,0.810251,0.0694698,0.155742,convex,convex,0.0333333,0.466667,0.5
46,0.814783,0.0688202,0.156276,concave,concave,0.0333333,0.5,0.466667
47,0.8205,0.0673645,0.157327,concave,concave,0.0333333,0.533333,0.433333
48,0.823211,0.0669597,0.157646,convex,convex,0.0333333,0.566667,0.4
49,0.827164,0.066346,0.15826,concave,concave,0.0333333,0.6,0.366667
50,0.83029,0.0658029,0.158793,convex,convex,0.0333333,0.633333,0.333333
51,0.8356,0.0651287,0.159619,concave,concave,0.0333333,0.666667,0.3
52,0.841932,0.0644171,0.160715,concave,concave,0.0333333,0.7,0.266667
53,0.84296,0.0643923,0.160819,concave,concave,0.0333333,0.733333,0.233333
54,0.845795,0.0640368,0.161304,convex,convex,0.0333333,0.766667,0.2
55,0.851057,0.0635756,0.1623,convex,convex,0.0333333,0.8,0.166667
56,0.853505,0.0634257,0.162774,concave,concave,0.0333333,0.833333,0.133333
57,0.858486,0.0630791,0.163577,convex,convex,0.0333333,0.866667,0.1
58,0.864203,0.0627976,0.164508,convex,convex,0.0333333,0.9,0.0666667
59,0.836072,0.0434995,0.666694,convex,convex,0.0333333,0.933333,0.0333333
60,0.891685,0.0397974,0.799756,convex,convex,0.0333333,0.966667,0.0
61,0.513082,0.944681,0.125329,convex,convex,0.0666667,0.0,0.933333
62,0.599418,0.431485,0.129053,convex,convex,0.0666667,0.0333333,0.9
63,0.653765,0.238383,0.134947,convex,convex,0.0666667,0.0666667,0.866667
64,0.685952,0.169986,0.138783,convex,convex,0.0666667,0.1,0.833333
65,0.710166,0.133654,0.141877,convex,convex,0.0666667,0.133333,0.8
66,0.725765,0.116346,0.143871,convex,convex,0.0666667,0.166667,0.766667
67,0.739122,0.103977,0.145649,convex,convex,0.0666667,0.2,0.733333
68,0.751568,0.0948977,0.147355,concave,concave,0.0666667,0.233333,0.7
69,0.762713,0.0876887,0.148869,convex,convex,0.0666667,0.266667,0.666667
70,0.766997,0.085348,0.149495,concave,concave,0.0666667,0.3,0.633333
71,0.776414,0.0810107,0.150745,concave,concave,0.0666667,0.333333,0.6
72,0.781219,0.0787699,0.151471,concave,concave,0.0666667,0.366667,0.566667
73,0.788803,0.0757216,0.152576,convex,convex,0.0666667,0.4,0.533333
74,0.793754,0.0741375,0.153277,concave,concave,0.0666667,0.433333,0.5
75,0.798835,0.0724783,0.154056,concave,concave,0.0666667,0.466667,0.466667
76,0.804697,0.0709086,0.154822,convex,convex,0.0666667,0.5,0.433333
77,0.807564,0.0701307,0.155348,concave,concave,0.0666667,0.533333,0.4
78,0.812961,0.0690549,0.156025,convex,convex,0.0666667,0.566667,0.366667
79,0.81787,0.0679337,0.156891,concave,concave,0.0666667,0.6,0.333333
80,0.820806,0.0672984,0.157372,convex,convex,0.0666667,0.633333,0.3
81,0.825421,0.0665335,0.158145,concave,concave,0.0666667,0.666667,0.266667
82,0.828735,0.0659896,0.15867,convex,convex,0.0666667,0.7,0.233333
83,0.827394,0.0663365,0.158311,concave,concave,0.0666667,0.733333,0.2
84,0.836097,0.0650377,0.159832,concave,concave,0.0666667,0.766667,0.166667
85,0.835518,0.0650845,0.159671,convex,convex,0.0666667,0.8,0.133333
86,0.842066,0.0643747,0.160786,convex,convex,0.0666667,0.833333,0.1
87,0.844466,0.0641261,0.161133,convex,convex,0.0666667,0.866667,0.0666667
88,0.812415,0.0462685,0.625823,convex,convex,0.0666667,0.9,0.0333333
89,0.854816,0.0416623,0.723113,convex,convex,0.0666667,0.933333,0.0
90,0.512233,0.948045,0.125396,convex,convex,0.1,0.0,0.9
91,0.581365,0.518541,0.127434,convex,convex,0.1,0.0333333,0.866667
92,0.64327,0.266673,0.133762,convex,convex,0.1,0.0666667,0.833333
93,0.679057,0.182031,0.137962,convex,convex,0.1,0.1,0.8
94,0.699045,0.148669,0.140493,concave,concave,0.1,0.133333,0.766667
95,0.715853,0.127256,0.142569,convex,convex,0.1,0.166667,0.733333
96,0.727834,0.114085,0.144189,concave,concave,0.1,0.2,0.7
97,0.739599,0.103517,0.145767,concave,concave,0.1,0.233333,0.666667
98,0.748706,0.0968593,0.146917,convex,convex,0.1,0.266667,0.633333
99,0.75736,0.0907806,0.148194,concave,concave,0.1,0.3,0.6
100,0.76613,0.0858182,0.149348,convex,convex,0.1,0.333333,0.566667
101,0.774078,0.0817787,0.150494,convex,convex,0.1,0.366667,0.533333
102,0.7804,0.0790122,0.151394,convex,convex,0.1,0.4,0.5
103,0.784511,0.0772807,0.152012,convex,convex,0.1,0.433333,0.466667
104,0.789966,0.0755036,0.152679,concave,concave,0.1,0.466667,0.433333
105,0.793508,0.0741629,0.153272,concave,concave,0.1,0.5,0.4
106,0.798918,0.0724378,0.154026,convex,convex,0.1,0.533333,0.366667
107,0.802688,0.0714162,0.154616,concave,concave,0.1,0.566667,0.333333
108,0.808488,0.0699282,0.155522,concave,concave,0.1,0.6,0.3
109,0.812028,0.0690546,0.156027,convex,convex,0.1,0.633333,0.266667
110,0.815733,0.0682436,0.15663,convex,convex,0.1,0.666667,0.233333
111,0.816878,0.0680352,0.156768,convex,convex,0.1,0.7,0.2
112,0.82103,0.067331,0.15735,concave,concave,0.1,0.733333,0.166667
113,0.825179,0.0666394,0.158038,concave,concave,0.1,0.766667,0.133333
114,0.826549,0.0663294,0.158369,convex,convex,0.1,0.8,0.1
115,0.830844,0.0657054,0.15904,concave,concave,0.1,0.833333,0.0666667
116,0.79877,0.0485084,0.599205,convex,convex,0.1,0.866667,0.0333333
117,0.825,0.0445538,0.659426,convex,convex,0.1,0.9,0.0
118,0.506232,0.98162,0.126121,convex,convex,0.133333,0.0,0.866667
119,0.56761,0.592793,0.126465,convex,convex,0.133333,0.0333333,0.833333
120,0.625629,0.322774,0.131853,convex,convex,0.133333,0.0666667,0.8
121,0.664002,0.212809,0.136232,convex,convex,0.133333,0.1,0.766667
122,0.68731,0.166978,0.139041,convex,convex,0.133333,0.133333,0.733333
123,0.707029,0.137552,0.141521,convex,convex,0.133333,0.166667,0.7
124,0.72092,0.12122,0.143287,concave,concave,0.133333,0.2,0.666667
125,0.731925,0.110406,0.144714,concave,concave,0.133333,0.233333,0.633333
126,0.743373,0.100489,0.146272,convex,convex,0.133333,0.266667,0.6
127,0.749769,0.0959082,0.147183,concave,concave,0.133333,0.3,0.566667
128,0.754677,0.0926372,0.147779,convex,convex,0.133333,0.333333,0.533333
129,0.764267,0.0869712,0.149136,concave,concave,0.133333,0.366667,0.5
130,0.771167,0.0832243,0.150099,concave,concave,0.133333,0.4,0.466667
131,0.777496,0.0802463,0.150988,convex,convex,0.133333,0.433333,0.433333
132,0.779244,0.0796517,0.151208,concave,concave,0.133333,0.466667,0.4
133,0.786352,0.0767425,0.152187,concave,concave,0.133333,0.5,0.366667
134,0.79113,0.0749792,0.152913,concave,concave,0.133333,0.533333,0.333333
135,0.794183,0.0740872,0.153314,concave,concave,0.133333,0.566667,0.3
136,0.800493,0.071955,0.154365,convex,convex,0.133333,0.6,0.266667
137,0.804014,0.0709682,0.154858,convex,convex,0.133333,0.633333,0.233333
138,0.807375,0.0701836,0.155363,concave,concave,0.133333,0.666667,0.2
139,0.809002,0.0698015,0.155584,concave,concave,0.133333,0.7,0.166667
140,0.812957,0.0688189,0.15622,convex,convex,0.133333,0.733333,0.133333
141,0.819843,0.0674915,0.157199,convex,convex,0.133333,0.766667,0.1
142,0.820721,0.0672959,0.157414,convex,convex,0.133333,0.8,0.0666667
143,0.780908,0.0523379,0.566852,convex,convex,0.133333,0.833333,0.0333333
144,0.805289,0.0472851,0.620988,convex,convex,0.133333,0.866667,0.0
145,0.502897,0.997537,0.126713,convex,convex,0.166667,0.0,0.833333
146,0.551888,0.686475,0.125538,convex,convex,0.166667,0.0333333,0.8
147,0.617868,0.350977,0.130991,convex,convex,0.166667,0.0666667,0.766667
148,0.652495,0.241404,0.134815,convex,convex,0.166667,0.1,0.733333
149,0.679935,0.179761,0.138154,convex,convex,0.166667,0.133333,0.7
150,0.696747,0.151855,0.140231,convex,convex,0.166667,0.166667,0.666667
151,0.713187,0.129708,0.142327,convex,convex,0.166667,0.2,0.633333
152,0.722202,0.119717,0.143446,convex,convex,0.166667,0.233333,0.6
