Children Map for Subproblem Tree 23
======================================
Parent ID (x, y) -> [List of Children IDs (x, y)]
    0 (1, 15) -> [ 1 (1.90666, 14.5781); 536 (1.81235, 14.9664); 892 (1.11815, 14.6935); 1275 (1.64137, 14.5777); 1367 (1.18624, 14.3158); 1759 (1.00135, 14.4998); 2156 (1.57369, 14.3484); 2274 (1.23271, 14.5359); 2387 (0.746512, 14.4939); 2526 (1.08279, 14.7206); 2605 (0.639062, 14.7359); 2831 (1.17772, 14.6409); 2914 (1.12261, 14.041); 3039 (1.54981, 15.1768); 3251 (0.559551, 14.3845); 3386 (1.20922, 15.6585); 3780 (0.26662, 14.8612); 3889 (0.773004, 14.5879); 4366 (0.655026, 15.6767); 4632 (0.934491, 15.1947); 4809 (1.32933, 14.9078); 4953 (1.20964, 15.9156); 4969 (0.301342, 15.2766); 5147 (1.60276, 14.5448); 5174 (0.70217, 15.3533); 5209 (0.795675, 14.2394); 5301 (0.494109, 14.7756); 5538 (1.60914, 14.4703); 6120 (0.609126, 14.4655); 6346 (1.27463, 15.1064); 6916 (1.42897, 15.1056); 7726 (1.62117, 14.6191); 7805 (0.955136, 14.738); 7942 (0.724842, 14.7303); 8206 (1.79465, 14.4473); 8376 (1.71462, 15.1209); 8693 (0.424322, 15.3947); 8966 (1.53656, 14.8348); 9051 (1.29504, 14.8554); 9094 (0.596023, 14.9091); 9475 (1.04977, 15.1092); 9645 (1.0353, 15.561); 9726 (0.592647, 15.1432); 10091 (0.519131, 14.6489); 10249 (0.753432, 14.1123); 10625 (1.02268, 14.5137); 10713 (0.765792, 15.5185); 10802 (0.847834, 15.8572); 10984 (0.230616, 14.4638); 11099 (1.49481, 15.5204); 11336 (1.2745, 15.7659); 11466 (0.895268, 15.0229); 11584 (1.56742, 15.7065); 11599 (0.278599, 14.3958); 11671 (0.40504, 14.6594); 11971 (1.86897, 15.3016); 12015 (1.2056, 14.7317); 12027 (0.629757, 15.3144); 12040 (1.41604, 14.814); 12058 (0.701571, 14.435); 12513 (0.281934, 14.7526); 12696 (1.87979, 14.9286); 12777 (1.06648, 15.1254); 12853 (0.647662, 15.1387); 13036 (0.619401, 14.3967); 13522 (1.08237, 14.4301); 13643 (0.631127, 14.3467); 14088 (1.42239, 14.2195); 14205 (0.103234, 15.3873); 14266 (0.795847, 15.0308); 14318 (0.580105, 15.0731); 14441 (1.38715, 14.8364); 14466 (1.16741, 15.4166); 14550 (0.658221, 15.2216); 14711 (0.616717, 14.4751); 14748 (1.07949, 15.4498); 14749 (0.910584, 14.8709); 14916 (1.84069, 14.7018); 15163 (0.826813, 15.7318); 15322 (1.23355, 15.1969); 15386 (0.952644, 14.6219); 15401 (0.885424, 15.9155); 15571 (0.440113, 15.0761); 15664 (1.97424, 14.815); 15833 (1.79515, 15.1264); 16000 (1.36027, 14.3844); 16001 (0.507072, 14.6788); 16062 (0.181502, 15.4571); 16304 (0.331566, 15.6435); 16755 (0.59496, 14.9087); 16856 (0.464522, 15.837); 17497 (1.65716, 15.0031); 17741 (1.01053, 14.2107); 17748 (1.86498, 15.0698); 17815 (0.482975, 15.5474); 18228 (1.60485, 15.3019); 18649 (1.24264, 14.6305); 18835 (0.0865509, 15.0325); 19686 (0.0869089, 14.8772); 19770 (1.00793, 15.4203); 20346 (0.297521, 14.5265); 20853 (1.2627, 14.1128); 21375 (0.189055, 15.2042); 21882 (1.46974, 15.0436); 22325 (0.994731, 15.7); 22655 (0.939174, 15.0223); 23518 (0.233563, 14.4844); 23620 (1.34513, 14.9557); 23921 (1.02733, 14.9763); 23975 (1.5211, 15.2274); 24409 (0.460379, 14.7656); 24606 (1.59627, 14.9896); 24632 (1.6385, 14.7628); 24677 (1.63358, 15.4175); 24833 (1.14799, 14.0655); 25825 (1.42539, 15.2332); 26239 (1.4581, 15.7716); 27854 (1.47422, 14.6648); 28027 (0.420332, 14.2787); 28271 (0.295804, 15.4999); 29055 (1.51405, 15.0448); 29089 (0.326273, 15.7235); 29839 (0.676092, 14.115); 30046 (1.00525, 15.8373); 30349 (0.525378, 15.1829); 30573 (0.849619, 15.8311); 30576 (0.103207, 14.9485); 30830 (0.477529, 15.3998); 30970 (0.137476, 14.6548); 31176 (1.36224, 15.6359); 31273 (1.56012, 15.1666); 31737 (0.542433, 14.6476); 31908 (1.11337, 14.3272); 32493 (0.0847917, 15.2685); 32537 (0.792412, 14.2466); 32795 (0.628199, 15.9178); 32949 (0.964734, 15.8938); 33290 (1.84123, 14.5716); 33712 (0.369364, 14.7783); 34271 (1.75401, 14.5932); 34922 (0.746468, 15.0198); 34970 (0.137623, 15.2885); 35392 (1.94095, 15.1252); 35891 (0.2283, 14.7728); 36026 (1.63685, 15.3532); 36067 (1.3331, 14.3607); 36159 (0.955944, 15.7775); 36962 (1.6372, 14.7057); 37033 (1.17572, 14.4995); 37139 (1.12917, 15.4311); 37849 (0.182398, 14.9125); 38033 (1.04033, 14.8958); 38215 (0.364344, 14.7675); 39174 (0.451618, 15.427); 39262 (1.77045, 15.4533); 39502 (0.770095, 15.349); 40211 (1.08492, 14.9815); 40895 (1.87678, 15.4453); 41073 (1.2896, 14.1324); 41166 (0.114238, 14.7869); 41666 (1.59429, 14.6731); 41715 (0.243215, 15.4026); 42175 (1.03528, 14.8272); 42426 (1.17981, 15.2692); 42547 (1.32682, 15.726); 43751 (1.07121, 15.0292); 43880 (1.54207, 15.1252); 44608 (0.111789, 15.437); 44665 (1.75311, 14.8557); 44982 (1.54597, 14.8447); 44992 (1.69269, 15.652); 45910 (1.26176, 14.9591); 45917 (1.6043, 14.4494); 45928 (0.938868, 14.2359); 46209 (1.88124, 14.6361); 46296 (1.55993, 15.6286); 47186 (0.828699, 14.2347); 47351 (0.279203, 14.7914); 47476 (0.0945773, 14.6125); 47939 (0.31628, 15.6557); 48177 (0.921352, 14.6951); 48388 (0.868373, 15.5601); 48977 (0.92209, 14.705); 49303 (1.33751, 15.1028); 49472 (1.35325, 14.4786); 50607 (0.340073, 15.5878); 50890 (0.579947, 15.2746); 50957 (0.0636812, 14.8541); 51124 (0.8316, 14.8085); 51366 (0.575964, 14.6636); 52590 (1.39959, 14.6111); 52925 (1.15085, 15.5441); 53065 (0.908047, 14.8635); 53838 (1.34273, 14.6741); 54339 (1.73981, 14.6325); 54928 (0.567763, 15.4401); 55493 (1.20577, 14.1309); 55532 (1.88103, 14.533); 55576 (0.441248, 15.1482); 55787 (1.11642, 15.0892); 55797 (0.475262, 15.4579); 56314 (1.27519, 14.8978); 56324 (1.25689, 14.3945); 56758 (0.683542, 15.9004); 56760 (0.484572, 15.0802); 56894 (1.24516, 15.1803); 57118 (1.26842, 14.6668); 57205 (0.336227, 14.8273); 57345 (1.13139, 15.3205); 58941 (0.575361, 14.8386); 61024 (0.535121, 14.7234); 61089 (1.67885, 14.5521); 61126 (1.96796, 14.9435); 61375 (0.796933, 15.1214); 62036 (0.608719, 15.1708); 62340 (1.74879, 14.6053); 62414 (1.66967, 15.2401); 62593 (0.887261, 14.7742); 62943 (0.396771, 15.0892); 62970 (1.583, 14.5824); 63151 (0.472884, 15.7664); 63976 (0.403988, 15.2725); 64265 (1.65761, 14.8389); 65227 (0.0805745, 15.043); 65275 (0.689623, 15.4986); 66145 (1.10063, 15.4031); 66225 (1.71521, 15.2473); 66323 (0.496361, 14.8049); 67099 (0.71895, 15.3263); 67299 (0.501809, 14.3651); 67485 (0.5167, 14.7538); 67524 (0.59533, 15.2207); 68369 (1.32288, 14.8117); 68371 (0.324481, 14.6152); 69044 (1.28143, 14.8058); 69683 (0.341968, 14.7501); 70443 (1.68386, 15.692); 70500 (1.1305, 14.6946); 70615 (1.02765, 14.4979); 70626 (0.754175, 15.1786); 70678 (1.67606, 15.2124); 70956 (1.36032, 15.0268); 71269 (1.1634, 15.6152); 71391 (0.973573, 14.7829); 72043 (1.48304, 15.2041); 72062 (1.96902, 14.9682); 72363 (0.486228, 15.3211); 72587 (0.660605, 15.8596); 72855 (1.81263, 15.0247); 73480 (1.31036, 15.5416); 74037 (1.26161, 14.4623); 74396 (1.81138, 14.55); 74983 (0.540084, 15.6977); 75169 (0.40141, 14.2178); 75197 (1.54935, 15.36); 75376 (0.805798, 14.5802); 76001 (0.722597, 14.2393); 76718 (0.224557, 14.4691); 76806 (0.392687, 14.6005); 77137 (1.70637, 14.4915); 77321 (0.235253, 15.4011); 77453 (0.539031, 15.1453); 77689 (0.538297, 15.7647); 77719 (0.83884, 15.5315); 77917 (0.359461, 15.1083); 78085 (0.709099, 15.0695); 78106 (1.53853, 14.8512); 79046 (1.58117, 15.5337); 79218 (0.183638, 14.5658); 79482 (1.7216, 14.9942); 79527 (0.381532, 14.7177); 79824 (1.61261, 15.4265); 79893 (1.36865, 15.4963); 80330 (1.25101, 14.5085); 80447 (0.0981748, 15.2799); 80535 (0.481808, 15.6438); 81455 (0.337719, 14.6672); 81886 (0.576585, 14.9767); 82388 (0.79383, 14.2195); 82423 (1.24214, 14.3465); 82534 (1.24793, 15.0774); 82635 (0.644176, 14.6979); 82884 (1.67734, 14.3787); 82958 (1.08881, 15.9217); 83263 (0.473424, 14.623); 83720 (1.71937, 14.5757); 84042 (0.859163, 15.8072); 84294 (0.538977, 15.0711); 84338 (0.95757, 14.6818); 84584 (0.595455, 14.5103); 84605 (0.858728, 14.9745); 84860 (1.53853, 14.3739); 85190 (0.411179, 14.5531); 85438 (0.587145, 14.8628); 86309 (1.15612, 15.4313); 86358 (0.0499388, 14.878); 86575 (1.44988, 14.5613); 86579 (0.931523, 15.0505); 86699 (1.18721, 15.2936); 86934 (1.83595, 14.4799); 87014 (1.3679, 15.4922); 88234 (0.624761, 14.9649); 88690 (0.536543, 14.2131); 89172 (1.15528, 15.721); 89177 (1.46339, 14.3905); 90624 (1.80231, 15.2714); 90625 (1.27794, 14.6638); 90629 (1.30855, 15.8674); 90787 (1.10586, 14.5737); 90974 (0.931244, 15.9169); 91656 (0.826028, 14.416); 91740 (0.737863, 15.8396); 92453 (0.800363, 15.7977); 94017 (1.40138, 15.4734); 94093 (0.613505, 14.6632); 94180 (1.02392, 14.4251); 94757 (0.944101, 14.0292); 95017 (1.22749, 14.7023); 95934 (1.37933, 14.3471); 95958 (0.472021, 15.4613); 96385 (0.398398, 15.3019); 96631 (1.01946, 14.1381); 96760 (0.547333, 14.2674); 96777 (0.246326, 14.5782); 96785 (1.5557, 15.1778); 97534 (0.674948, 15.7173); 98460 (0.235447, 14.7379); 98622 (1.86638, 14.9458); 99457 (0.170416, 15.4877); 99652 (1.37389, 15.1712); 99709 (0.705775, 14.6977); 99808 (1.40939, 15.1826); ]
    1 (1.90666, 14.5781) -> [ 636 (2.59442, 14.286); 34692 (2.4506, 14.3262); 91897 (2.44955, 14.3263); ]
    2 (2.50184, 15.3817) -> [ ]
    3 (1.77697, 13.5866) -> [ ]
    4 (2.43139, 12.8304) -> [ 95460 (3.21597, 12.7544); ]
    5 (2.38414, 16.3748) -> [ ]
    6 (3.33107, 16.6962) -> [ ]
    7 (3.42254, 12.6977) -> [ ]
    8 (4.25275, 12.1402) -> [ 74598 (5.08058, 12.1417); 76526 (4.49981, 12.1187); 92233 (5.09174, 12.1387); ]
    9 (5.01553, 11.4936) -> [ ]
    10 (5.88125, 10.993) -> [ ]
    11 (3.14571, 17.6789) -> [ ]
    12 (6.57651, 10.2743) -> [ ]
    13 (6.35848, 9.29835) -> [ ]
    14 (3.87009, 18.3683) -> [ ]
    15 (7.31019, 8.99137) -> [ ]
    16 (5.94096, 8.38968) -> [ ]
    17 (8.18435, 9.47701) -> [ 53210 (8.77191, 10.074); ]
    18 (5.36305, 7.57358) -> [ ]
    19 (5.9977, 6.80077) -> [ 48752 (6.66345, 6.91345); 95485 (6.76402, 6.96133); ]
    20 (6.80764, 6.21427) -> [ ]
    21 (9.1307, 9.15388) -> [ ]
    22 (4.76416, 18.8162) -> [ ]
    23 (5.69441, 19.1831) -> [ ]
    24 (6.67292, 19.3893) -> [ ]
    25 (9.95619, 9.71831) -> [ ]
    26 (4.63451, 6.88857) -> [ ]
    27 (7.49914, 5.49189) -> [ ]
    28 (8.14289, 4.72666) -> [ ]
    29 (6.82033, 20.3784) -> [ ]
    30 (7.81913, 20.3295) -> [ 93894 (7.97472, 20.3648); 94969 (7.94903, 20.3623); ]
    31 (7.39661, 5.40002) -> [ ]
    32 (8.78678, 20.5818) -> [ ]
    33 (9.18664, 21.4984) -> [ ]
    34 (10.1863, 21.4731) -> [ ]
    35 (4.07631, 6.05887) -> [ ]
    36 (10.9503, 9.61043) -> [ ]
    37 (8.61783, 22.3209) -> [ ]
    38 (3.69654, 5.13379) -> [ ]
    39 (7.80922, 3.78397) -> [ ]
    40 (7.93708, 23.0534) -> [ ]
    41 (7.04394, 3.14027) -> [ 99693 (7.77333, 3.20539); ]
    42 (8.71414, 3.35838) -> [ ]
    43 (1.58388, 16.9744) -> [ 94081 (1.95288, 17.8472); ]
    44 (9.66024, 3.0345) -> [ ]
    45 (10.6538, 3.14804) -> [ ]
    46 (3.28542, 6.67084) -> [ ]
    47 (10.7667, 2.15443) -> [ ]
    48 (6.15271, 21.1229) -> [ ]
    49 (2.86648, 6.17998) -> [ ]
    50 (3.11221, 4.32227) -> [ ]
    51 (11.0942, 21.8924) -> [ ]
    52 (11.9186, 22.4583) -> [ ]
    53 (12.9001, 22.65) -> [ ]
    54 (11.6793, 8.9259) -> [ ]
    55 (6.05, 11.5469) -> [ ]
    56 (1.00313, 13.712) -> [ 20249 (1.00695, 13.498); 23355 (1.06992, 13.0485); 32924 (1.14549, 12.8283); 39558 (0.997249, 13.3481); 42476 (1.00951, 13.5549); 85284 (0.983779, 13.0181); ]
    57 (8.22786, 24.0102) -> [ 97109 (8.80315, 24.3365); ]
    58 (10.5956, 1.16918) -> [ ]
    59 (13.8031, 22.2204) -> [ ]
    60 (14.4847, 22.9522) -> [ ]
    61 (11.6535, 3.17285) -> [ ]
    62 (3.67616, 13.665) -> [ ]
    63 (8.35492, 25.0021) -> [ ]
    64 (2.68558, 3.41784) -> [ ]
    65 (3.25661, 19.158) -> [ ]
    66 (12.4307, 3.8021) -> [ ]
    67 (13.3889, 4.08809) -> [ ]
    68 (14.1028, 3.38786) -> [ ]
    69 (6.0573, 19.9184) -> [ ]
    70 (13.2554, 2.85691) -> [ ]
    71 (9.73443, 0.660932) -> [ ]
    72 (10.7698, 22.8383) -> [ ]
    73 (15.3828, 22.5123) -> [ ]
    74 (13.6523, 1.93905) -> [ ]
    75 (3.42226, 19.4961) -> [ 34310 (3.59291, 19.742); 70406 (3.75384, 19.8909); 85715 (3.79219, 19.9404); ]
    76 (8.68381, 25.9464) -> [ ]
    78 (9.66952, 25.778) -> [ ]
    79 (5.57294, 21.9377) -> [ ]
    80 (2.80933, 12.653) -> [ ]
    81 (10.2446, 26.596) -> [ ]
    82 (11.292, 23.2126) -> [ ]
    83 (12.5143, 9.47625) -> [ ]
    84 (13.512, 9.54389) -> [ ]
    85 (3.86013, 14.6256) -> [ ]
    86 (14.316, 1.19106) -> [ ]
    87 (7.85475, 26.5056) -> [ ]
    88 (14.7182, 0.275515) -> [ ]
    89 (8.0737, 9.20775) -> [ ]
    90 (1.84014, 12.024) -> [ ]
    91 (16.1086, 21.8245) -> [ ]
    92 (7.27953, 25.7554) -> [ ]
    93 (6.15603, 2.68025) -> [ ]
    94 (6.49434, 4.96886) -> [ ]
    95 (11.239, 26.7022) -> [ ]
    96 (10.6933, 1.85457) -> [ ]
    98 (16.9871, 22.3023) -> [ ]
    99 (0.721119, 13.8969) -> [ ]
    100 (13.7522, 0.0173115) -> [ ]
    101 (7.07875, 7.1643) -> [ 71118 (7.31097, 7.25885); ]
    102 (4.60877, 22.203) -> [ ]
    103 (6.29876, 25.9505) -> [ ]
    104 (13.0549, 1.66753) -> [ ]
    105 (1.89538, 6.38818) -> [ ]
    106 (14.4559, 9.87405) -> [ ]
    107 (17.9667, 22.1012) -> [ ]
    108 (14.1522, 2.58869) -> [ ]
    109 (15.7182, 0.28235) -> [ ]
    110 (12.5601, 21.8169) -> [ ]
    111 (4.4585, 12.5899) -> [ ]
    112 (2.5998, 20.0649) -> [ 65821 (2.98846, 20.7423); 94098 (2.96812, 20.8236); ]
    113 (15.1184, 9.53877) -> [ ]
    114 (16.0805, 20.8249) -> [ ]
    115 (18.5406, 21.2824) -> [ ]
    116 (15.9732, 9.01985) -> [ ]
    117 (15.1025, 3.36289) -> [ ]
    118 (2.28343, 15.7841) -> [ ]
    119 (2.06774, 2.63154) -> [ ]
    120 (16.5718, -0.238591) -> [ ]
    121 (9.09006, 2.21298) -> [ ]
    122 (17.0124, -1.13632) -> [ ]
    123 (1.4499, 1.84524) -> [ 58616 (1.59048, 1.67894); ]
    124 (16.7456, 8.38466) -> [ ]
    125 (1.07191, 13.8196) -> [ ]
    126 (5.74654, 26.7842) -> [ ]
    127 (1.80135, 7.38374) -> [ ]
    128 (17.6792, 8.02639) -> [ ]
    129 (5.1526, 27.5887) -> [ ]
    130 (18.6785, 7.98908) -> [ ]
    131 (11.9941, 21.8121) -> [ ]
    132 (8.46661, 25.9501) -> [ ]
    133 (18.0091, -1.05592) -> [ ]
    134 (10.4589, 2.00891) -> [ ]
    135 (10.224, 27.5958) -> [ ]
    136 (17.6895, -1.45241) -> [ ]
    137 (3.17893, 6.76903) -> [ ]
    138 (10.5929, 27.9919) -> [ ]
    139 (15.6753, 10.3269) -> [ ]
    140 (19.5449, 7.48974) -> [ ]
    141 (4.97565, 21.1979) -> [ ]
    142 (20.3684, 6.92235) -> [ ]
    143 (18.3446, 23.0271) -> [ ]
    144 (19.3179, 20.6532) -> [ ]
    145 (15.3949, 11.2868) -> [ ]
    146 (3.0504, 12.1349) -> [ ]
    147 (11.5919, 7.92973) -> [ ]
    148 (4.99847, 8.72392) -> [ ]
    149 (15.6502, 2.7087) -> [ ]
    150 (13.6232, 10.4058) -> [ ]
    151 (15.438, 4.30493) -> [ ]
    152 (20.9213, 7.75557) -> [ ]
    153 (4.30034, 27.0656) -> [ ]
    154 (16.5686, 19.9521) -> [ ]
    155 (2.2212, 1.20876) -> [ ]
    156 (2.56007, 8.03516) -> [ ]
    157 (18.4991, -0.184194) -> [ ]
    158 (20.0302, 19.9514) -> [ ]
    159 (3.03655, 0.6298) -> [ ]
    160 (14.482, 1.30165) -> [ ]
    161 (20.633, 19.1535) -> [ ]
    162 (16.5603, 19.4129) -> [ ]
    163 (0.832061, 1.05893) -> [ ]
    164 (20.0459, 5.97578) -> [ ]
    165 (9.43774, 19.8227) -> [ ]
    166 (16.0122, 7.70481) -> [ ]
    167 (20.6103, 5.15031) -> [ ]
    168 (12.9351, 0.506434) -> [ ]
    169 (2.52001, 18.0014) -> [ 50560 (3.10511, 18.7796); ]
    170 (21.4059, 19.788) -> [ ]
    171 (16.2018, 11.1159) -> [ ]
    172 (19.1716, 23.5893) -> [ ]
    173 (4.85425, 23.1724) -> [ 84381 (5.10374, 23.4254); 95786 (5.09429, 23.4055); ]
    174 (2.19378, 20.9788) -> [ ]
    175 (17.499, 23.5609) -> [ ]
    176 (6.6634, 12.3367) -> [ ]
    177 (0.21422, 0.27263) -> [ ]
    178 (8.81091, 0.27739) -> [ ]
    179 (3.26759, -0.343146) -> [ ]
    180 (16.2802, -1.81742) -> [ ]
    181 (13.0473, -0.399396) -> [ ]
    182 (18.2108, -2.30579) -> [ ]
    183 (3.27863, 1.60006) -> [ ]
    184 (19.0012, -1.18189) -> [ ]
    185 (10.3189, 21.8494) -> [ ]
    186 (16.6471, 2.78721) -> [ ]
    187 (10.5112, 3.48679) -> [ 99473 (10.6282, 3.56107); ]
    188 (16.1512, 18.5004) -> [ ]
    189 (18.8909, -3.03888) -> [ ]
    190 (21.0219, 8.7505) -> [ ]
    191 (6.86445, 20.2244) -> [ 88862 (7.66439, 20.4921); ]
    192 (4.94066e-324, 6.9533e-310) -> [ 47847 (0.065454, -0.870733); 79437 (0.00999053, -0.584451); 96610 (0.0518371, -0.807875); ]
    194 (13.8099, 9.01195) -> [ ]
    195 (19.7972, 24.3694) -> [ ]
    196 (20.6869, 4.15325) -> [ ]
    197 (4.77831, 15.0218) -> [ 61828 (5.51191, 15.0113); 75250 (5.58521, 15.0094); ]
    198 (5.58153, 22.382) -> [ 56074 (6.27613, 22.9796); ]
    199 (22.1831, 19.1589) -> [ ]
    200 (14.1665, 8.22585) -> [ ]
    201 (3.2329, -1.34254) -> [ ]
    202 (19.5599, 25.3409) -> [ ]
    203 (4.32514, 26.0659) -> [ 58413 (4.71638, 26.8825); ]
    204 (4.1194, 12.9841) -> [ 62903 (4.80764, 13.6189); 97995 (4.4944, 13.2111); ]
    205 (5.12868, 19.5355) -> [ ]
    206 (8.49842, -0.67253) -> [ ]
    207 (10.8104, 7.30587) -> [ 94032 (10.9445, 7.63306); ]
    208 (9.12165, 19.9046) -> [ ]
    209 (19.8256, -3.39438) -> [ ]
    210 (4.58531, 6.25184) -> [ ]
    211 (21.6097, 5.11579) -> [ ]
    212 (10.9465, 20.8233) -> [ 79038 (11.373, 21.0588); ]
    213 (20.4359, 25.8233) -> [ ]
    214 (18.4456, 24.2771) -> [ ]
    215 (13.0469, -1.3994) -> [ ]
    216 (4.9922, 17.8426) -> [ ]
    217 (6.71915, 7.25219) -> [ ]
    219 (13.4597, -2.17115) -> [ ]
    220 (21.3823, 25.5004) -> [ ]
    221 (19.7796, 26.5778) -> [ ]
    222 (15.6478, 17.6364) -> [ ]
    223 (4.81699, 20.2766) -> [ ]
    224 (9.55376, 26.738) -> [ ]
