Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 20.2746,12.5188, 
-1,0,1, 49.889,0.341217, 
0,0.621026,0.378974, 21.2996,2.11903, 0.368644
1,0.198597,0.801403, 23.39,0.942713, 0.0965977
2,0.0829538,0.917046, 24.5725,0.76432, 0.0279781
3,0.975867,0.024133, 20.574,5.22716, 0.0192356
4,0.0624429,0.937557, 24.936,0.737461, 0.00835668
5,0.944664,0.055336, 20.5937,4.20278, 0.00747969
6,0.921662,0.0783383, 21.1522,5.20827, 0.0038589
7,0.989803,0.0101967, 20.629,5.13923, 0.00346505
8,0.059516,0.940484, 26.0973,0.669949, 0.00148361
9,0.0521892,0.947811, 26.9067,0.602426, 0.00323264
10,0.043331,0.956669, 26.7386,0.609456, 0.00354155
