Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 0.353998,24.6087, 
-1,0,1, 30.7785,2.23326, 
0,0.47912,0.52088, 0.558803,2.40412, 0.47361
1,0.00702199,0.992978, 2.01413,2.27283, 0.00684149
2,0.992679,0.00732066, 0.357858,22.1335, 0.00656067
3,0.101393,0.898607, 0.767269,2.3149, 0.0039731
4,0.00171767,0.998282, 3.48857,2.25543, 0.00121468
5,0.0404888,0.959511, 1.14191,2.27545, 0.000911896
6,0.348669,0.651331, 0.61914,2.36064, 0.000888051
7,0.991922,0.00807761, 0.348836,22.601, 0.00061091
8,0.00101509,0.998985, 4.52977,2.25767, 0.000368517
9,0.278642,0.721358, 0.685669,2.33351, 0.000334897
10,0.991757,0.0082435, 0.358164,21.2441, 0.000137234
11,0.991557,0.00844294, 0.497683,2.83792, 0.000153928
12,0.898754,0.101246, 0.549686,2.50523, 0.00149056
13,0.221971,0.778029, 0.671008,2.34356, 0.00013137
14,0.998755,0.00124545, 0.346946,23.7354, 0.000104086
15,0.994583,0.00541688, 0.3472,22.7096, 8.55535e-05
