Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.9825,3.17793, 10.4912
-2,0,1, 0, 49.8371,0.359599, 24.9185
-1,0,0, 1, 25.694,28.6674, 2.24216
0,0,0.271304,0.728696, 37.5269,0.67613,2.33683, 0.267901
1,0.455484,0.112439,0.432077, 25.3204,4.7698,2.78492, 0.151701
2,0.441229,0.151597,0.407174, 25.8055,3.15835,2.50405, 0.146475
3,0.112891,0.854846,0.032263, 23.9204,0.86556,11.9602, 0.0898261
4,0.707211,0.079435,0.213354, 20.8325,3.71505,10.4163, 0.076751
5,0.441229,0.151597,0.407174, 25.2925,3.41375,2.88941, 0.146475
6,0.707258,0.0794222,0.21332, 21.103,2.51733,10.5515, 0.0767385
7,0.438774,0.152263,0.408963, 24.8272,4.10841,2.85824, 0.14566
8,0.717886,0.0765387,0.205575, 20.653,3.8618,10.3265, 0.0739525
9,0.43792,0.152495,0.409585, 27.8798,3.00321,2.57402, 0.145376
10,0.627538,0.101051,0.271412, 20.6483,4.45355,10.3242, 0.0976363
11,0.441229,0.151597,0.407174, 25.3152,3.22944,2.96741, 0.146475
12,0.716326,0.076962,0.206712, 20.3577,9.73918,10.1789, 0.0743615
13,0.441229,0.151597,0.407174, 25.7556,3.37689,2.97189, 0.146475
14,0.694775,0.082809,0.222416, 20.5627,4.58326,10.2813, 0.0800109
15,0.441229,0.151597,0.407174, 24.707,6.53018,2.79823, 0.146475
16,0.721118,0.0756619,0.20322, 20.5266,5.11153,10.2633, 0.0731053
17,0.441229,0.151597,0.407174, 25.5696,3.59517,2.98184, 0.146475
18,0.700864,0.0811569,0.217979, 20.8259,5.76857,10.4129, 0.0784147
19,0.441229,0.151597,0.407174, 25.0129,3.70462,2.9853, 0.146475
20,0.780365,0,0.219635, 20.5272,35.9967,10.2636, 0.0727085
21,0.726218,0.0742783,0.199504, 20.7128,3.49489,10.3564, 0.0717685
22,0.436361,0.152918,0.410722, 25.3378,4.0033,2.52304, 0.144858
23,0.720433,0.0758479,0.203719, 20.5423,5.48637,10.2712, 0.073285
24,0.441229,0.151597,0.407174, 25.7463,4.08459,2.74887, 0.146475
25,0.695016,0.0827436,0.222241, 21.5418,3.64671,10.7709, 0.0799477
26,0.441229,0.151597,0.407174, 26.5217,3.17394,3.33146, 0.146475
27,0.653272,0.094069,0.252659, 20.7077,3.80363,10.3538, 0.0908904
28,0.438952,0.152215,0.408833, 24.6988,4.64704,3.00202, 0.145719
29,0.756394,0,0.243606, 21.2461,3.00782,10.6231, 0.0715085
30,0.77786,0,0.22214, 20.5005,7.69016,10.2503, 0.0735378
31,0.755136,0,0.244864, 23.5276,68.9516,3.23843, 0.0713896
32,0.733372,0.0723373,0.19429, 20.6796,4.42983,10.3398, 0.0698931
