Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.780017,0.219983,0, 20.8334,2.76703,10.4167, 0.219314
1,0.612117,0.018142,0.369741, 23.4927,12.3177,2.94635, 0.167638
2,0.529919,0.149449,0.320632, 24.3089,4.85631,2.96152, 0.136776
3,0.808964,0,0.191036, 20.1401,93.8015,10.07, 0.0780359
4,0.597025,0,0.402975, 23.1033,200.464,2.79118, 0.16461
5,0.830325,0,0.169675, 20.1289,151.068,10.0644, 0.0693102
6,0.596966,0,0.403034, 22.96,202.992,2.9394, 0.164594
7,0.655066,0.184744,0.16019, 20.7254,3.18091,10.3627, 0.0683342
8,0.52755,0.148781,0.323669, 24.2598,5.11859,2.85546, 0.136165
9,0.834344,0,0.165656, 20.1355,115.989,10.0678, 0.0676682
10,0.597025,0,0.402975, 22.8997,239.193,2.95713, 0.16461
12,0.836964,0,0.163036, 20.1363,136.125,10.0682, 0.0665982
13,0.597025,0,0.402975, 22.9575,197.081,3.0336, 0.16461
14,0.832624,0,0.167376, 20.1269,137.479,10.0635, 0.0683711
15,0.596893,0,0.403107, 23.0299,199.716,2.8129, 0.164573
16,0.833405,0,0.166595, 20.1303,140.838,10.0652, 0.068052
17,0.597021,0,0.402979, 22.8622,220.609,3.05211, 0.164609
18,0.836989,0,0.163011, 20.127,162.35,10.0635, 0.0665877
19,0.596898,0,0.403102, 23.0871,245.257,2.81707, 0.164575
20,0.83059,0,0.16941, 20.132,133.65,10.066, 0.0692016
21,0.597025,0,0.402975, 22.9361,189.454,3.01167, 0.16461
22,0.834112,0,0.165888, 20.1352,119.831,10.0676, 0.0677632
23,0.597025,0,0.402975, 22.9471,261.546,2.98916, 0.16461
24,0.834009,0,0.165991, 20.1353,123.171,10.0677, 0.0678051
25,0.597025,0,0.402975, 23.152,187.139,2.79177, 0.16461
26,0.828014,0,0.171986, 20.137,124.773,10.0685, 0.0702541
27,0.597025,0,0.402975, 22.883,239.736,3.04519, 0.16461
28,0.836083,0,0.163917, 20.1396,120.084,10.0698, 0.0669579
29,0.597025,0,0.402975, 22.9219,187.501,3.10243, 0.16461
31,0.661273,0.186494,0.152234, 20.7853,2.91922,10.3927, 0.0649402
32,0.52882,0.149139,0.322041, 24.3475,4.93556,2.76356, 0.136492
34,0.830653,0.018142,0.151205, 20.3155,8.91998,10.1577, 0.0503026
35,0.814133,0.00869335,0.177174, 20.2517,13.6432,10.1259, 0.0450762
36,0.828014,0,0.171986, 20.1349,121.475,10.0675, 0.0445834
37,0.828014,0,0.171986, 20.1425,87.4355,10.0712, 0.0445834
38,0.828014,0,0.171986, 20.1456,118.438,10.0728, 0.0445834
39,0.828014,0,0.171986, 20.1275,139.036,10.0637, 0.0445834
