Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769,10.0858, 0
-2,0,1, 0, 53.6036,0.330123,26.8018, 0
-1,0,0, 1, 25.0371,265.625,2.16954, 0
0,0,0.65868,0.34132, 33.9621,3.31786,16.981, 0.313691
1,0,0.358819,0.641181, 23.5405,5.83414,11.7702, 0.358373
1,0,0.304206,0.695794, 35.4665,3.25131,17.7332, 0.213292
2,0,0.268073,0.731927, 26.8712,3.33353,13.4356, 0.267739
2,0,0.358819,0.641181, 24.8547,3.51222,12.4274, 0.251583
3,0,0.298585,0.701415, 23.3717,3.2586,11.6858, 0.298214
3,0,0.279465,0.720535, 24.855,3.2504,12.4275, 0.195945
4,0,0.26442,0.73558, 23.6838,4.03899,11.8419, 0.264092
4,0,0.279267,0.720733, 26.6786,18.4667,13.3393, 0.195806
5,0,0.268181,0.731819, 24.0543,4.33546,12.0271, 0.267847
5,0,0.309341,0.690659, 25.2602,6.89915,11.8876, 0.216892
6,0,0.272145,0.727855, 26.2147,3.14973,13.1073, 0.271806
6,0,0.271274,0.728726, 29.2302,16.0658,11.6047, 0.190202
7,0,0.292284,0.707716, 25.1273,5.68226,12.5637, 0.291921
7,0,0.272567,0.727433, 24.8937,99.9227,12.4469, 0.191109
8,0,0.283817,0.716183, 23.7594,8.73394,11.8797, 0.283465
8,0,0.358819,0.641181, 24.3082,3.07686,12.1541, 0.251583
9,0,0.272522,0.727478, 23.0058,5.71397,11.5029, 0.272184
9,0,0.27373,0.72627, 23.5315,3.29866,11.7658, 0.191924
10,0,0.262478,0.737522, 27.9834,4.05022,13.9917, 0.262152
10,0,0.268073,0.731927, 26.3054,12.5892,13.1527, 0.187957
11,0,0.309356,0.690644, 21.8874,58.4473,10.9437, 0.308972
11,0,0.300787,0.699213, 23.8411,4.46937,11.9206, 0.210895
12,0,0.29564,0.70436, 24.2937,5.42193,12.1469, 0.295272
12,0,0.270098,0.729902, 24.2815,3.26638,12.1407, 0.189377
13,0,0.275373,0.724627, 28.4513,5.75493,14.2257, 0.275031
13,0,0.273608,0.726392, 30.8631,51.7857,15.4316, 0.191838
14,0,0.314968,0.685032, 28.3744,6.71978,14.1872, 0.314577
14,0,0.358819,0.641181, 26.0462,14.3143,13.0231, 0.251583
15,0,0.315082,0.684918, 22.7584,12.5868,11.3792, 0.31469
15,0,0.299731,0.700269, 26.7238,3.67817,13.3619, 0.210154
16,0,0.265092,0.734908, 25.7918,4.52621,12.8959, 0.264762
16,0,0.297487,0.702513, 35.2516,2.61646,17.6258, 0.208581
17,0,0.289343,0.710657, 23.4119,27.554,11.7059, 0.288983
17,0,0.358819,0.641181, 27.8933,3.32508,13.9466, 0.251583
18,0,0.284177,0.715823, 25.0056,19.2,12.5028, 0.283824
18,0,0.307951,0.692049, 23.1471,4.00682,11.5735, 0.215918
19,0,0.293577,0.706423, 27.2085,30.481,10.8271, 0.293212
19,0,0.26608,0.73392, 24.2357,9.27836,12.1179, 0.18656
20,0,0.267343,0.732657, 35.801,2.68959,17.9005, 0.267011
20,0,0.277778,0.722222, 22.6558,29.8535,11.3279, 0.194762
21,0,0.37223,0.62777, 25.4945,36.2357,12.7473, 0.371768
21,0,0.277965,0.722035, 29.6445,2.49984,14.8223, 0.194893
22,0,0.313662,0.686338, 23.0271,4.21993,11.5136, 0.313272
22,0,0.322754,0.677246, 24.3754,15.4844,12.1877, 0.226297
23,0,0.26159,0.73841, 23.5795,21.3168,11.7898, 0.261265
23,0,0.284142,0.715858, 22.3969,5.32434,11.1984, 0.199224
24,0,0.280709,0.719291, 23.4751,3.02565,11.7375, 0.28036
24,0,0.26267,0.73733, 28.4855,2.74835,14.2427, 0.184169
