Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.587425,0.329149,0.0834257, 22.5919,2.9019,0.270936, 0.328426
1,0.956445,0.043555,0, 21.4707,10.313,10.7354, 0.0326794
2,0.070647,0.929353,0, 28.418,0.802792,0.292266, 0.0392308
3,0.826607,0.173393,0, 21.9502,4.88432,0.279733, 0.130097
4,0.213478,0.786522,0, 24.8647,1.31479,0.266455, 0.0322032
5,0.95874,0.0329166,0.00834299, 21.4336,11.3668,0.292694, 0.0303268
6,0.344552,0.655448,0, 23.7812,1.7334,0.267022, 0.0265219
7,0.905069,0.0757354,0.0191958, 21.6862,6.94924,0.254436, 0.0259433
9,0.424053,0.575947,0, 23.3823,1.99001,0.31478, 0.023076
10,0.463312,0.536688,0, 23.2011,2.13945,11.6005, 0.0213744
12,0.973251,0.0267487,0, 21.3996,12.4527,10.6998, 0.0200696
13,0.0844464,0.915554,0, 27.6264,0.869085,0.290435, 0.0468937
14,0.842141,0.157859,0, 21.9767,4.75085,0.273827, 0.118442
15,0.269456,0.730544,0, 24.3368,1.48271,12.1684, 0.0364748
16,0.425462,0.574538,0, 23.4063,1.97417,11.7031, 0.0283896
17,0.269456,0.730544,0, 24.3286,1.48553,0.321371, 0.028352
19,0.508683,0.491317,0, 23.0284,2.30781,11.5142, 0.0240767
20,0.552561,0.447439,0, 22.9699,2.36736,0.244361, 0.0218027
21,0.560126,0.439874,0, 22.8928,2.45967,11.4464, 0.0214106
22,0.570249,0.429751,0, 22.7468,2.65762,0.334555, 0.0208859
23,0.972545,0.0274551,0, 21.395,12.5597,0.300623, 0.0205996
27,0.972545,0.0274551,0, 21.3948,12.6743,0.3015, 0.0201947
30,0.973251,0.0267487,0, 21.3502,14.4642,0.300977, 0.0197094
32,0.344552,0.655448,0, 23.7292,1.76392,11.8646, 0.0184543
33,0.0336973,0.966303,0, 32.0832,0.618926,16.0416, 0.0183809
34,0.180072,0.819928,0, 25.3259,1.19939,12.6629, 0.0411072
37,0.0327519,0.967248,0, 32.1804,0.615459,16.0902, 0.0178668
39,0.0770324,0.922968,0, 28.0879,0.828735,14.0439, 0.0169244
40,0.567223,0.432777,0, 22.8105,2.56947,0.270274, 0.0168704
41,0.534018,0.465982,0, 22.9571,2.38844,11.4785, 0.0183097
43,0.878271,0.104056,0.0176732, 21.7546,6.20807,0.254486, 0.0168281
44,0.0743802,0.92562,0, 28.1074,0.826882,0.290778, 0.0165044
45,0.111207,0.888793,0, 26.5987,0.982157,0.277382, 0.0161528
46,0.115837,0.884163,0, 26.6083,0.981176,13.3042, 0.0160482
48,0.112615,0.887385,0, 26.6984,0.969764,0.324127, 0.0156824
50,0.142468,0.857532,0, 26.0441,1.06275,13.0221, 0.0154469
52,0.137021,0.862979,0, 26.1673,1.0434,13.0836, 0.0151578
53,0.156178,0.843822,0, 25.6556,1.13208,12.8278, 0.0151374
55,0.149237,0.850763,0, 25.8732,1.09148,0.340553, 0.0148952
56,0.167208,0.832792,0, 25.5021,1.16313,0.328607, 0.0148883
