Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.304206,0.695794, 25.5823,43.4169,12.7911, 0.355969
1,0,0.321451,0.678549, 27.7305,2.39777,13.8652, 0.371932
2,0,0.305726,0.694274, 26.9223,2.62293,13.4612, 0.357376
3,0,0.298493,0.701507, 28.4995,4.77973,14.2498, 0.350681
4,0,0.314591,0.685409, 22.8358,8.00877,11.4179, 0.365582
5,0,0.262424,0.737576, 24.7254,3.04305,12.3627, 0.317296
6,0,0.277835,0.722165, 25.7805,3.43231,12.8903, 0.33156
7,0,0.288376,0.711624, 24.1987,3.2773,12.0994, 0.341317
8,0,0.27279,0.72721, 23.4942,5.87262,11.7471, 0.326891
9,0,0.267628,0.732372, 37.7227,2.8241,18.8614, 0.322112
10,0,0.386307,0.613693, 25.5502,6.01227,12.7751, 0.431962
11,0,0.288189,0.711811, 25.7646,6.14226,12.8823, 0.341144
12,0,0.29036,0.70964, 27.2186,3.06659,13.6093, 0.343153
13,0,0.301585,0.698415, 28.7283,2.27783,14.3642, 0.353543
14,0,0.314565,0.685435, 26.0407,2.26989,13.0203, 0.365558
15,0,0.289946,0.710054, 24.3571,7.93367,12.1785, 0.34277
16,0,0.277948,0.722052, 28.3614,2.32722,14.1807, 0.331665
17,0,0.311346,0.688654, 24.9222,7.56154,12.4611, 0.362578
18,0,0.283277,0.716723, 25.4408,2.70369,12.7204, 0.336597
19,0,0.284544,0.715456, 28.0018,2.7971,14.0009, 0.33777
