Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.721547,0.278453,0, 20.9354,2.47075,10.4677, 0.277591
1,0.531904,0.0205213,0.447575, 23.628,13.4438,2.74188, 0.20147
2,0.449978,0.173651,0.376371, 24.6961,3.94458,2.80436, 0.161142
3,0.807478,0,0.192522, 20.1269,143.703,10.0634, 0.07847
4,0.516556,0,0.483444, 23.3125,207.477,2.54979, 0.196842
5,0.825525,0,0.174475, 20.1389,108.779,10.0694, 0.071114
6,0.516816,0,0.483184, 23.0855,228.492,2.74718, 0.196941
7,0.832266,0,0.167734, 20.1334,120.326,10.0667, 0.0683666
8,0.516769,0,0.483231, 22.9973,244.839,2.825, 0.196923
9,0.834992,0,0.165008, 20.1316,136.216,10.0658, 0.0672555
10,0.516712,0,0.483288, 23.0303,196.074,2.90196, 0.196901
11,0.831918,0,0.168082, 20.1346,117.683,10.0673, 0.0685083
12,0.516808,0,0.483192, 23.0431,218.802,2.82424, 0.196937
13,0.832806,0,0.167194, 20.139,87.6958,10.0695, 0.0681464
14,0.516816,0,0.483184, 23.1371,186.063,2.71141, 0.196941
15,0.830517,0,0.169483, 20.1367,130.916,10.0683, 0.0690794
16,0.516816,0,0.483184, 23.0543,223.342,2.8367, 0.196941
17,0.832032,0,0.167968, 20.1428,124.369,10.0714, 0.0684621
18,0.516816,0,0.483184, 22.9097,151.217,3.09663, 0.196941
19,0.834003,0,0.165997, 20.1465,114.018,10.0733, 0.0676585
20,0.516816,0,0.483184, 23.2117,127.93,2.68489, 0.196941
21,0.827551,0,0.172449, 20.1297,144.627,10.0649, 0.0702885
22,0.51665,0,0.48335, 22.9921,241.64,2.84046, 0.196878
23,0.834946,0,0.165054, 20.1386,128.096,10.0693, 0.0672742
24,0.516816,0,0.483184, 23.2227,230.038,2.65251, 0.196941
25,0.827662,0,0.172338, 20.1289,126.161,10.0644, 0.0702433
26,0.516622,0,0.483378, 23.0043,213.627,2.84979, 0.196867
27,0.834178,0,0.165822, 20.1293,136.515,10.0646, 0.0675873
28,0.516634,0,0.483366, 23.166,184.731,2.69073, 0.196871
29,0.829563,0,0.170437, 20.1353,112.401,10.0676, 0.0694681
