Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
0,0.763158,0.236842,0, 20.8343,2.7461,10.4172, 0.236308
1,0.587244,0.0182182,0.394538, 23.4754,14.1468,2.92061, 0.178379
2,0.50447,0.15656,0.338969, 24.5252,4.26982,2.84646, 0.144957
3,0.810038,0,0.189962, 20.126,161.887,10.063, 0.0777645
4,0.572585,0,0.427415, 22.9618,240.274,2.92541, 0.17497
5,0.640686,0.198834,0.160481, 20.7915,2.89238,10.3958, 0.0686281
6,0.503491,0.156256,0.340253, 24.5171,4.34763,2.73177, 0.144671
7,0.834244,0,0.165756, 20.1361,115.86,10.068, 0.0678551
8,0.572585,0,0.427415, 22.8241,316.697,3.11611, 0.17497
9,0.643019,0.199558,0.157423, 20.7693,2.97292,10.3846, 0.0673203
10,0.502944,0.156086,0.34097, 24.5426,4.42777,2.56055, 0.14451
11,0.83736,0,0.16264, 20.1369,128.167,10.0684, 0.0665797
12,0.572585,0,0.427415, 23.0002,286.308,2.84582, 0.17497
13,0.83392,0,0.16608, 20.1264,154.17,10.0632, 0.0679877
14,0.572585,0,0.427415, 22.8791,271.849,2.99051, 0.17497
15,0.83705,0,0.16295, 20.1296,155.682,10.0648, 0.0667063
16,0.572585,0,0.427415, 23.0673,269.893,2.74892, 0.17497
17,0.832567,0,0.167433, 20.1299,136.793,10.065, 0.0685416
18,0.572585,0,0.427415, 22.9414,288.445,2.89267, 0.17497
19,0.83587,0,0.16413, 20.1264,163.844,10.0632, 0.0671894
20,0.572585,0,0.427415, 23.0555,257.784,2.77501, 0.17497
21,0.832626,0,0.167374, 20.1284,143.26,10.0642, 0.0685174
22,0.572585,0,0.427415, 22.9533,322.035,2.86744, 0.17497
23,0.835775,0,0.164225, 20.1315,138.338,10.0657, 0.0672286
24,0.572585,0,0.427415, 23.0375,328.234,2.76041, 0.17497
25,0.833763,0,0.166237, 20.1293,130.947,10.0646, 0.0680521
26,0.572585,0,0.427415, 22.9614,240.43,2.90795, 0.17497
27,0.834601,0,0.165399, 20.1289,149.709,10.0645, 0.0677089
28,0.572585,0,0.427415, 22.8917,288.121,2.9826, 0.17497
29,0.836577,0,0.163423, 20.1286,164.943,10.0643, 0.0669
