Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
25.6827,178.387,2.23374,"1;0.816137;0.821504;0.844495;0.825823;1.02685;1.5321;2.05542;2.54975;3.41802;4.13361;4.56021;5.14693;5.68671;6.47948;7.11494;8.02472;8.96512;9.74103;10.1414;10.9407;11.8829;12.5624;13.3736;14.2462;15.0224;15.8008;16.3848;17.1123;17.7825;18.6739;19.5283;20.2141;21.0636;20.9253;20.9546;21","15;14.2462;13.5441;13.2092;12.8472;12.585;12.5197;12.3671;12.2116;11.9088;11.7619;11.7617;11.4438;11.3487;11.1192;10.7792;10.4766;10.342;10.1238;9.89564;9.85125;9.99391;10.1659;10.5811;10.8383;11.2347;11.6042;11.7042;11.7351;12.0047;12.211;12.6189;12.6906;12.9005;13.8773;14.3918;15",2.23374,"0;0;1"
29.8055,3.33572,2.45153,"1;1.10368;1.75193;1.93381;2.02641;2.41445;2.70311;3.12943;3.68389;3.97807;4.35709;4.84497;5.26171;5.74834;6.12261;6.6834;6.73797;7.54109;8.32459;8.96368;9.58159;9.89486;10.4515;10.8312;11.7064;12.2422;12.7393;13.3583;14.3213;15.0552;15.901;16.0902;16.6445;17.113;17.5601;18.2588;18.8635;19.3325;19.6571;20.1861;20.8085;20.8499;20.9223;21","15;14.9909;14.3055;13.766;12.9828;12.6759;12.3395;11.7847;11.1777;10.7724;9.97743;9.33609;8.73093;8.16384;7.86055;7.49249;7.43167;6.89628;6.37005;6.06999;5.95536;5.91767;5.86354;5.8773;5.73235;5.72496;5.61139;5.68621;5.86643;6.22375;6.70357;6.83338;7.23767;7.76796;8.33658;8.99415;9.70852;10.1638;10.9098;11.6852;12.3586;13.2452;14.1598;15",2.62836,"0;0.2;0.8"
32.7955,3.21144,2.78871,"1;1.66344;1.84823;2.30916;2.61002;3.17025;3.31847;3.44533;3.56505;3.864;4.1515;4.57641;5.12553;5.51477;5.70382;6.11129;7.03482;7.89965;8.58877;8.94008;9.77273;10.0744;10.9248;11.2247;12.0214;12.3113;13.2042;14.0647;14.9031;15.5852;16.3611;17.1698;17.5737;17.9476;18.6992;18.8558;19.581;19.8293;20.3224;20.9143;21.3297;21.2692;21.2879;21.2543;20.9838;21.1972;21.3338;21","15;14.859;14.4206;13.8047;13.2788;12.4924;12.1267;11.6853;10.7535;10.2778;9.59578;9.25485;8.61598;7.90764;7.19416;6.41279;6.12173;6.28052;6.00235;5.52083;5.83721;5.64765;5.85003;5.66807;5.7542;5.90051;5.79598;5.92179;6.05545;6.2478;6.35244;6.5258;6.76087;7.15386;7.40779;7.6891;8.21744;8.4603;8.83152;9.50194;10.3403;10.8452;11.5699;12.2154;13.076;14.0006;14.5211;15",2.9578,"0;0.4;0.6"
31.2874,3.10701,2.80833,"1;1.62377;2.22884;2.79976;3.00753;3.60435;4.02967;4.10583;4.22239;4.60618;4.94502;5.44961;6.06239;6.49734;7.10957;7.88859;8.57057;8.88293;9.44936;10.1565;11.0938;11.524;11.9144;12.896;13.1228;13.8352;14.7213;15.4734;16.2148;16.6031;17.3608;17.7673;18.2256;18.3965;18.9122;19.2359;19.5808;20.0024;20.4499;20.3714;20.7886;20.8179;20.8616;21.1773;21","15;14.846;14.3746;13.5557;12.9158;12.2586;11.4606;11.3267;10.3511;9.5633;8.97529;8.12455;7.45624;7.06196;6.47384;6.00376;5.54425;5.50013;5.43639;5.25331;5.38017;5.50947;5.45405;5.57159;5.52783;6.10921;6.03785;6.65555;6.63551;6.70357;7.24439;7.38526;7.92278;8.42131;8.86866;9.2367;10.1387;10.5354;11.3923;12.1262;12.759;13.6026;13.7563;14.5804;15",2.98754,"0;0.6;0.4"
31.856,3.0938,2.90502,"1;1.70128;2.5712;3.04003;3.34059;3.26991;3.5655;3.65326;3.96152;4.27587;4.60332;5.30346;5.73182;6.38691;7.2127;7.94813;8.35321;8.90771;9.64864;10.5668;10.9899;11.8681;12.6184;13.4467;14.2215;15.1967;15.8785;16.5146;16.8873;17.4702;17.9448;18.6484;19.2191;19.6468;20.1479;20.4389;20.6497;20.7678;20.7363;20.8771;20.8493;20.9215;21","15;14.7642;14.3473;13.5564;13.088;12.1715;11.5536;11.2705;10.3797;9.6973;8.89492;8.20751;7.45629;7.14796;6.61779;6.16328;6.01986;5.71594;5.19363;4.85923;4.98767;5.18902;5.13172;5.44769;5.4335;5.63845;6.00309;6.2175;6.54235;6.86906;7.3067;7.82448;8.26344;8.50134;9.35133;10.08;10.6674;11.1748;11.9834;12.8397;13.5633;14.5427;15",3.05604,"0;0.8;0.2"
42.0385,3.04761,21.0192,"1;1.77818;1.92277;2.33199;2.70089;2.96848;3.52753;3.86638;3.98551;4.2864;4.21913;4.55349;4.96591;5.07026;5.35762;5.32261;5.74158;6.29113;6.64369;6.98629;7.32575;7.48111;8.2989;8.82662;9.4629;9.9012;10.4988;11.4271;11.6211;12.5664;12.6259;13.2272;13.8298;13.9525;14.9086;15.7671;16.3553;17.243;17.7194;18.492;18.9071;19.7561;20.3423;20.5656;20.9864;21.2237;21.7555;22.2009;22.5146;22.7521;22.9991;23.2957;23.485;23.57;23.4787;23.1508;22.9506;22.7648;22.5264;22.0843;21.7967;21.2483;21","15;15.4452;15.5419;15.8529;16.257;16.7187;17.4753;18.3902;19.3293;20.2427;20.9825;21.4812;22.3056;23.1313;23.8057;24.2227;24.8346;25.5478;26.4793;26.9301;27.5139;27.8138;28.2726;28.4829;28.8964;29.1129;29.2325;29.3304;29.3849;29.3833;29.3396;29.203;29.0611;28.9454;28.6854;28.3268;28.3496;28.0088;27.8051;27.2599;27.0071;26.6954;26.4617;25.8356;25.2905;25.0567;24.3571;23.9967;23.5605;23.1466;22.8082;22.0465;21.3862;20.8367;19.924;19.2805;18.6048;17.9926;17.0393;16.8124;16.1708;15.3875;15",3.04761,"0;1;0"
25.8429,10.3409,2.26086,"1;1.01612;1.01383;1.21759;2.05281;2.804;3.32357;4.15123;4.42624;5.22645;5.71916;6.42815;7.21984;7.79833;8.08898;8.93165;9.50244;10.4044;11.2095;11.9292;12.6623;13.2382;13.9554;14.7434;15.3396;16.0068;16.6251;17.3206;18.0164;18.3859;18.913;19.6861;20.0954;20.8968;20.8854;20.9635;21","15;14.264;13.7377;13.0136;12.842;12.6069;12.2237;11.779;11.6039;11.2791;11.015;10.6641;10.2606;9.77602;9.614;9.18991;9.25888;9.0857;9.12382;9.2192;9.12466;9.17856;9.425;9.87491;10.2967;10.7751;10.9573;11.2496;11.459;11.5564;11.5995;12.1085;12.2592;12.7679;13.1815;14.035;15",6.97727,"0.2;0;0.8"
27.1207,4.2249,2.53812,"1;1.22067;1.78977;2.22569;2.55323;3.40337;4.01071;4.52666;5.09482;5.3602;5.9302;6.27535;6.92605;7.72153;8.06237;8.7371;9.20285;9.60212;10.4994;11.1099;12.0061;12.6118;13.2065;13.6852;14.2404;14.6262;15.5137;16.4552;17.1118;17.6223;18.0097;18.3545;18.8222;19.4548;20.0406;20.1976;20.29;20.4338;20.6206;21","15;14.7711;13.9921;13.3244;12.4733;11.961;11.2809;10.7494;10.1144;9.8279;9.55115;9.41628;8.99155;8.57396;8.412;8.4678;8.07613;7.76956;7.60167;7.54528;7.65707;7.77473;7.83942;8.05521;8.11756;8.62615;8.72971;8.84241;9.11147;9.63897;10.0667;10.2725;10.7868;11.1832;11.654;12.1924;13.0927;13.8786;14.6382;15",7.792,"0.2;0.2;0.6"
27.1656,3.85222,2.80065,"1;1.73959;2.23346;2.4533;2.78159;3.58802;4.06591;4.69302;4.86203;5.49831;5.98742;6.8262;7.66425;8.24993;8.64744;9.36947;9.93478;10.6913;11.534;11.9342;12.2268;12.9168;13.7629;14.5207;14.8328;15.6831;16.605;17.2142;17.7579;18.2105;18.5266;18.7245;19.3043;19.5636;20.0569;20.7084;20.909;21","15;14.6341;13.7977;12.9809;12.4535;12.0823;11.3726;10.7131;10.5257;9.82461;9.13749;8.7122;8.27109;8.28263;7.67859;7.25022;7.13991;7.16225;7.18668;7.34871;7.4325;7.63275;7.77839;8.15793;8.37174;8.8702;9.13455;9.78989;10.2763;10.6325;11.3583;12.0757;12.766;13.02;13.6574;14.1854;14.7151;15",8.09427,"0.2;0.4;0.4"
28.1017,3.5724,2.50584,"1;1.57696;1.78165;2.16091;2.30974;2.70989;3.01131;3.27097;3.78181;4.48648;5.23845;5.82421;6.54327;6.88515;7.45608;7.8496;7.97316;8.75076;9.20745;10.1795;10.6586;11.5866;12.3541;13.161;13.6537;14.1042;14.4413;15.0356;15.6163;16.298;16.611;17.2821;17.6436;18.196;18.7435;19.0622;19.4409;20.3228;20.5904;20.7951;20.8559;21","15;14.6395;14.3927;13.621;13.0361;12.4701;11.718;11.4758;11.0424;10.408;9.77979;9.35175;8.90035;8.42091;7.82951;7.55653;7.48281;7.05188;6.80929;6.7925;6.7539;6.57496;6.61024;6.91861;7.18573;7.47291;7.68892;8.2023;8.52087;8.61735;8.84423;9.32499;9.46546;9.84074;10.505;11.109;11.4507;11.8847;12.6735;13.5147;14.287;15",8.26495,"0.2;0.6;0.2"
